method,seed,normalized_auc,rates,steps
TASK_ONLY,211,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 32768, 65536, 131072, 262144, 524288]"
TASK_ONLY,223,0.4287109375,"[0.0, 0.0, 0.0, 0.0, 0.6015625, 0.8125]","[0, 32768, 65536, 131072, 262144, 524288]"
TASK_ONLY,227,0.4140625,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.90625]","[0, 32768, 65536, 131072, 262144, 524288]"
TASK_ONLY,229,0.23046875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.921875]","[0, 32768, 65536, 131072, 262144, 524288]"
TASK_ONLY,233,0.409423828125,"[0.0, 0.0, 0.0, 0.0, 0.482421875, 0.9140625]","[0, 32768, 65536, 131072, 262144, 524288]"
TASK_ONLY,239,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 32768, 65536, 131072, 262144, 524288]"
TASK_ONLY,241,0.6524658203125,"[0.0, 0.0, 0.0, 0.755859375, 0.6953125, 1.0]","[0, 32768, 65536, 131072, 262144, 524288]"
TASK_ONLY,251,0.615478515625,"[0.0, 0.0, 0.0, 0.6875, 0.740234375, 0.8359375]","[0, 32768, 65536, 131072, 262144, 524288]"
COUNT_PBRS,211,0.3896484375,"[0.0, 0.0, 0.0, 0.125, 0.4921875, 0.7265625]","[0, 32768, 65536, 131072, 262144, 524288]"
COUNT_PBRS,223,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 32768, 65536, 131072, 262144, 524288]"
COUNT_PBRS,227,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 32768, 65536, 131072, 262144, 524288]"
COUNT_PBRS,229,0.535400390625,"[0.0, 0.0, 0.0, 0.0, 0.833984375, 0.890625]","[0, 32768, 65536, 131072, 262144, 524288]"
COUNT_PBRS,233,0.38330078125,"[0.0, 0.0, 0.0, 0.0, 0.4921875, 0.794921875]","[0, 32768, 65536, 131072, 262144, 524288]"
COUNT_PBRS,239,0.265625,"[0.0, 0.0, 0.0, 0.0, 0.125, 0.875]","[0, 32768, 65536, 131072, 262144, 524288]"
COUNT_PBRS,241,0.58154296875,"[0.0, 0.0, 0.125, 0.4765625, 0.71875, 0.84375]","[0, 32768, 65536, 131072, 262144, 524288]"
COUNT_PBRS,251,0.6805419921875,"[0.0, 0.0, 0.0, 0.681640625, 0.875, 0.8984375]","[0, 32768, 65536, 131072, 262144, 524288]"
COUNT_EVENTS_PBRS,211,0.4052734375,"[0.0, 0.0, 0.0, 0.0, 0.4765625, 0.90625]","[0, 32768, 65536, 131072, 262144, 524288]"
COUNT_EVENTS_PBRS,223,0.20703125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.828125]","[0, 32768, 65536, 131072, 262144, 524288]"
COUNT_EVENTS_PBRS,227,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 32768, 65536, 131072, 262144, 524288]"
COUNT_EVENTS_PBRS,229,0.5517578125,"[0.0, 0.0, 0.0, 0.0, 0.8671875, 0.90625]","[0, 32768, 65536, 131072, 262144, 524288]"
