method,seed,first_observed_step,last_observed_step,reached,right_censored,validated_at_step,role
TASK_ONLY,211,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
TASK_ONLY,223,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
TASK_ONLY,227,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
TASK_ONLY,229,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
TASK_ONLY,233,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
TASK_ONLY,239,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
TASK_ONLY,241,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
TASK_ONLY,251,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
COUNT_PBRS,211,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
COUNT_PBRS,223,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
COUNT_PBRS,227,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
COUNT_PBRS,229,262144,,True,False,524288,SECONDARY_NOT_CHECKPOINT_SELECTION
COUNT_PBRS,233,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
COUNT_PBRS,239,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
COUNT_PBRS,241,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
COUNT_PBRS,251,262144,,True,False,524288,SECONDARY_NOT_CHECKPOINT_SELECTION
COUNT_EVENTS_PBRS,211,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
COUNT_EVENTS_PBRS,223,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
COUNT_EVENTS_PBRS,227,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
COUNT_EVENTS_PBRS,229,262144,,True,False,524288,SECONDARY_NOT_CHECKPOINT_SELECTION
COUNT_EVENTS_PBRS,233,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
COUNT_EVENTS_PBRS,239,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
COUNT_EVENTS_PBRS,241,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
COUNT_EVENTS_PBRS,251,262144,,True,False,524288,SECONDARY_NOT_CHECKPOINT_SELECTION
GEOM_COUNT_EVENTS_PBRS,211,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
GEOM_COUNT_EVENTS_PBRS,223,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
GEOM_COUNT_EVENTS_PBRS,227,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
GEOM_COUNT_EVENTS_PBRS,229,262144,,True,False,524288,SECONDARY_NOT_CHECKPOINT_SELECTION
GEOM_COUNT_EVENTS_PBRS,233,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
GEOM_COUNT_EVENTS_PBRS,239,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
GEOM_COUNT_EVENTS_PBRS,241,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
GEOM_COUNT_EVENTS_PBRS,251,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
GRAPH_COST_PBRS,211,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
GRAPH_COST_PBRS,223,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
GRAPH_COST_PBRS,227,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
GRAPH_COST_PBRS,229,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
GRAPH_COST_PBRS,233,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
GRAPH_COST_PBRS,239,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
GRAPH_COST_PBRS,241,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
GRAPH_COST_PBRS,251,262144,,True,False,524288,SECONDARY_NOT_CHECKPOINT_SELECTION
GRAPH_FULL_PBRS,211,262144,,True,False,524288,SECONDARY_NOT_CHECKPOINT_SELECTION
GRAPH_FULL_PBRS,223,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
GRAPH_FULL_PBRS,227,262144,,True,False,524288,SECONDARY_NOT_CHECKPOINT_SELECTION
GRAPH_FULL_PBRS,229,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
GRAPH_FULL_PBRS,233,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
GRAPH_FULL_PBRS,239,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
GRAPH_FULL_PBRS,241,,524288,False,True,,SECONDARY_NOT_CHECKPOINT_SELECTION
GRAPH_FULL_PBRS,251,262144,,True,False,524288,SECONDARY_NOT_CHECKPOINT_SELECTION
