job_id,kind,method,draw,policy_seed,run_seed,status,claim_index,environment_steps,gradient_updates,failure
SMOKE_TASK,smoke,TASK_ONLY_ZERO_V1,"","",47394433,COMPLETE,1,512,20,""
SMOKE_GEOM,smoke,GEOM_COUNT_EVENTS_PBRS_V1,"","",47394433,COMPLETE,2,512,20,""
SMOKE_FLAT,smoke,FLAT_CONTRACT_PBRS_V1,"","",47394433,COMPLETE,3,512,20,""
SMOKE_GRAPH1,smoke,PATHGRAPH_MODEL_FULL_PBRS_V1,"","",47394433,COMPLETE,4,512,20,""
SMOKE_RW2,smoke,PATHGRAPH_REMAINING_WORK_PBRS_V2,"","",47394433,COMPLETE,5,512,20,""
A_s317_TASK,formal,TASK_ONLY_ZERO_V1,A,317,451753751,COMPLETE,6,524288,20480,""
A_s317_GEOM,formal,GEOM_COUNT_EVENTS_PBRS_V1,A,317,451753751,COMPLETE,7,524288,20480,""
A_s317_FLAT,formal,FLAT_CONTRACT_PBRS_V1,A,317,451753751,COMPLETE,8,524288,20480,""
A_s317_GRAPH1,formal,PATHGRAPH_MODEL_FULL_PBRS_V1,A,317,451753751,COMPLETE,9,524288,20480,""
A_s317_RW2,formal,PATHGRAPH_REMAINING_WORK_PBRS_V2,A,317,451753751,COMPLETE,10,524288,20480,""
A_s331_GEOM,formal,GEOM_COUNT_EVENTS_PBRS_V1,A,331,370360612,COMPLETE,11,524288,20480,""
A_s331_FLAT,formal,FLAT_CONTRACT_PBRS_V1,A,331,370360612,COMPLETE,12,524288,20480,""
A_s331_GRAPH1,formal,PATHGRAPH_MODEL_FULL_PBRS_V1,A,331,370360612,COMPLETE,13,524288,20480,""
A_s331_RW2,formal,PATHGRAPH_REMAINING_WORK_PBRS_V2,A,331,370360612,COMPLETE,14,524288,20480,""
A_s331_TASK,formal,TASK_ONLY_ZERO_V1,A,331,370360612,COMPLETE,15,524288,20480,""
A_s347_FLAT,formal,FLAT_CONTRACT_PBRS_V1,A,347,223372076,COMPLETE,16,524288,20480,""
A_s347_GRAPH1,formal,PATHGRAPH_MODEL_FULL_PBRS_V1,A,347,223372076,COMPLETE,17,524288,20480,""
A_s347_RW2,formal,PATHGRAPH_REMAINING_WORK_PBRS_V2,A,347,223372076,COMPLETE,18,524288,20480,""
A_s347_TASK,formal,TASK_ONLY_ZERO_V1,A,347,223372076,COMPLETE,19,524288,20480,""
A_s347_GEOM,formal,GEOM_COUNT_EVENTS_PBRS_V1,A,347,223372076,COMPLETE,20,524288,20480,""
A_s359_GRAPH1,formal,PATHGRAPH_MODEL_FULL_PBRS_V1,A,359,481004527,COMPLETE,21,524288,20480,""
A_s359_RW2,formal,PATHGRAPH_REMAINING_WORK_PBRS_V2,A,359,481004527,COMPLETE,22,524288,20480,""
A_s359_TASK,formal,TASK_ONLY_ZERO_V1,A,359,481004527,COMPLETE,23,524288,20480,""
A_s359_GEOM,formal,GEOM_COUNT_EVENTS_PBRS_V1,A,359,481004527,COMPLETE,24,524288,20480,""
A_s359_FLAT,formal,FLAT_CONTRACT_PBRS_V1,A,359,481004527,COMPLETE,25,524288,20480,""
B_s317_RW2,formal,PATHGRAPH_REMAINING_WORK_PBRS_V2,B,317,1664702197,COMPLETE,26,524288,20480,""
B_s317_TASK,formal,TASK_ONLY_ZERO_V1,B,317,1664702197,COMPLETE,27,524288,20480,""
B_s317_GEOM,formal,GEOM_COUNT_EVENTS_PBRS_V1,B,317,1664702197,COMPLETE,28,524288,20480,""
B_s317_FLAT,formal,FLAT_CONTRACT_PBRS_V1,B,317,1664702197,COMPLETE,29,524288,20480,""
B_s317_GRAPH1,formal,PATHGRAPH_MODEL_FULL_PBRS_V1,B,317,1664702197,COMPLETE,30,524288,20480,""
B_s331_TASK,formal,TASK_ONLY_ZERO_V1,B,331,658642864,COMPLETE,31,524288,20480,""
B_s331_GEOM,formal,GEOM_COUNT_EVENTS_PBRS_V1,B,331,658642864,COMPLETE,32,524288,20480,""
B_s331_FLAT,formal,FLAT_CONTRACT_PBRS_V1,B,331,658642864,COMPLETE,33,524288,20480,""
B_s331_GRAPH1,formal,PATHGRAPH_MODEL_FULL_PBRS_V1,B,331,658642864,COMPLETE,34,524288,20480,""
B_s331_RW2,formal,PATHGRAPH_REMAINING_WORK_PBRS_V2,B,331,658642864,COMPLETE,35,524288,20480,""
B_s347_GEOM,formal,GEOM_COUNT_EVENTS_PBRS_V1,B,347,1378903031,COMPLETE,36,524288,20480,""
B_s347_FLAT,formal,FLAT_CONTRACT_PBRS_V1,B,347,1378903031,COMPLETE,37,524288,20480,""
B_s347_GRAPH1,formal,PATHGRAPH_MODEL_FULL_PBRS_V1,B,347,1378903031,COMPLETE,38,524288,20480,""
B_s347_RW2,formal,PATHGRAPH_REMAINING_WORK_PBRS_V2,B,347,1378903031,COMPLETE,39,524288,20480,""
B_s347_TASK,formal,TASK_ONLY_ZERO_V1,B,347,1378903031,COMPLETE,40,524288,20480,""
B_s359_FLAT,formal,FLAT_CONTRACT_PBRS_V1,B,359,1761699062,COMPLETE,41,524288,20480,""
B_s359_GRAPH1,formal,PATHGRAPH_MODEL_FULL_PBRS_V1,B,359,1761699062,COMPLETE,42,524288,20480,""
B_s359_RW2,formal,PATHGRAPH_REMAINING_WORK_PBRS_V2,B,359,1761699062,COMPLETE,43,524288,20480,""
B_s359_TASK,formal,TASK_ONLY_ZERO_V1,B,359,1761699062,COMPLETE,44,524288,20480,""
B_s359_GEOM,formal,GEOM_COUNT_EVENTS_PBRS_V1,B,359,1761699062,COMPLETE,45,524288,20480,""
C_s317_GRAPH1,formal,PATHGRAPH_MODEL_FULL_PBRS_V1,C,317,434845053,COMPLETE,46,524288,20480,""
C_s317_RW2,formal,PATHGRAPH_REMAINING_WORK_PBRS_V2,C,317,434845053,COMPLETE,47,524288,20480,""
C_s317_TASK,formal,TASK_ONLY_ZERO_V1,C,317,434845053,COMPLETE,48,524288,20480,""
C_s317_GEOM,formal,GEOM_COUNT_EVENTS_PBRS_V1,C,317,434845053,COMPLETE,49,524288,20480,""
C_s317_FLAT,formal,FLAT_CONTRACT_PBRS_V1,C,317,434845053,COMPLETE,50,524288,20480,""
C_s331_RW2,formal,PATHGRAPH_REMAINING_WORK_PBRS_V2,C,331,786837695,COMPLETE,54,524288,20480,""
C_s331_TASK,formal,TASK_ONLY_ZERO_V1,C,331,786837695,COMPLETE,55,524288,20480,""
C_s331_GEOM,formal,GEOM_COUNT_EVENTS_PBRS_V1,C,331,786837695,COMPLETE,56,524288,20480,""
C_s331_FLAT,formal,FLAT_CONTRACT_PBRS_V1,C,331,786837695,COMPLETE,57,524288,20480,""
C_s331_GRAPH1,formal,PATHGRAPH_MODEL_FULL_PBRS_V1,C,331,786837695,COMPLETE,58,524288,20480,""
C_s347_TASK,formal,TASK_ONLY_ZERO_V1,C,347,1612408300,COMPLETE,59,524288,20480,""
C_s347_GEOM,formal,GEOM_COUNT_EVENTS_PBRS_V1,C,347,1612408300,COMPLETE,60,524288,20480,""
C_s347_FLAT,formal,FLAT_CONTRACT_PBRS_V1,C,347,1612408300,COMPLETE,61,524288,20480,""
C_s347_GRAPH1,formal,PATHGRAPH_MODEL_FULL_PBRS_V1,C,347,1612408300,COMPLETE,62,524288,20480,""
C_s347_RW2,formal,PATHGRAPH_REMAINING_WORK_PBRS_V2,C,347,1612408300,COMPLETE,63,524288,20480,""
C_s359_GEOM,formal,GEOM_COUNT_EVENTS_PBRS_V1,C,359,1823676033,COMPLETE,65,524288,20480,""
C_s359_FLAT,formal,FLAT_CONTRACT_PBRS_V1,C,359,1823676033,COMPLETE,66,524288,20480,""
C_s359_GRAPH1,formal,PATHGRAPH_MODEL_FULL_PBRS_V1,C,359,1823676033,COMPLETE,67,524288,20480,""
C_s359_RW2,formal,PATHGRAPH_REMAINING_WORK_PBRS_V2,C,359,1823676033,COMPLETE,68,524288,20480,""
C_s359_TASK,formal,TASK_ONLY_ZERO_V1,C,359,1823676033,COMPLETE,69,524288,20480,""
