pair_id,side,action,name
1310000_slot00,left,2,ADVANCE_0
1310000_slot00,left,3,PLACE_0
1310000_slot00,left,4,START_RECOVERY_0
1310000_slot00,left,5,REGRASP_0
1310000_slot00,left,6,RELEASE_0
1310000_slot00,left,8,ADVANCE_1
1310000_slot00,left,9,PLACE_1
1310000_slot00,left,10,START_RECOVERY_1
1310000_slot00,left,11,REGRASP_1
1310000_slot00,left,12,RELEASE_1
1310000_slot00,left,13,ACQUIRE_2
1310000_slot00,left,14,ADVANCE_2
1310000_slot00,left,15,PLACE_2
1310000_slot00,left,16,START_RECOVERY_2
1310000_slot00,left,17,REGRASP_2
1310000_slot00,left,18,RELEASE_2
1310000_slot00,left,19,ACQUIRE_3
1310000_slot00,left,20,ADVANCE_3
1310000_slot00,left,21,PLACE_3
1310000_slot00,left,22,START_RECOVERY_3
1310000_slot00,left,23,REGRASP_3
1310000_slot00,left,24,RELEASE_3
1310000_slot00,left,25,ACQUIRE_4
1310000_slot00,left,26,ADVANCE_4
1310000_slot00,left,27,PLACE_4
1310000_slot00,left,28,START_RECOVERY_4
1310000_slot00,left,29,REGRASP_4
1310000_slot00,left,30,RELEASE_4
1310000_slot00,left,31,ACQUIRE_5
1310000_slot00,left,32,ADVANCE_5
1310000_slot00,left,33,PLACE_5
1310000_slot00,left,34,START_RECOVERY_5
1310000_slot00,left,35,REGRASP_5
1310000_slot00,left,36,RELEASE_5
1310000_slot01,left,2,ADVANCE_0
1310000_slot01,left,3,PLACE_0
1310000_slot01,left,4,START_RECOVERY_0
1310000_slot01,left,5,REGRASP_0
1310000_slot01,left,6,RELEASE_0
1310000_slot01,left,8,ADVANCE_1
1310000_slot01,left,9,PLACE_1
1310000_slot01,left,10,START_RECOVERY_1
1310000_slot01,left,11,REGRASP_1
1310000_slot01,left,12,RELEASE_1
1310000_slot01,left,13,ACQUIRE_2
1310000_slot01,left,14,ADVANCE_2
1310000_slot01,left,15,PLACE_2
1310000_slot01,left,16,START_RECOVERY_2
1310000_slot01,left,17,REGRASP_2
1310000_slot01,left,18,RELEASE_2
1310000_slot01,left,19,ACQUIRE_3
1310000_slot01,left,20,ADVANCE_3
1310000_slot01,left,21,PLACE_3
1310000_slot01,left,22,START_RECOVERY_3
1310000_slot01,left,23,REGRASP_3
1310000_slot01,left,24,RELEASE_3
1310000_slot01,left,25,ACQUIRE_4
1310000_slot01,left,26,ADVANCE_4
1310000_slot01,left,27,PLACE_4
1310000_slot01,left,28,START_RECOVERY_4
1310000_slot01,left,29,REGRASP_4
1310000_slot01,left,30,RELEASE_4
1310000_slot01,left,31,ACQUIRE_5
1310000_slot01,left,32,ADVANCE_5
1310000_slot01,left,33,PLACE_5
1310000_slot01,left,34,START_RECOVERY_5
1310000_slot01,left,35,REGRASP_5
1310000_slot01,left,36,RELEASE_5
1310000_slot02,left,2,ADVANCE_0
1310000_slot02,left,3,PLACE_0
1310000_slot02,left,4,START_RECOVERY_0
1310000_slot02,left,5,REGRASP_0
1310000_slot02,left,6,RELEASE_0
1310000_slot02,left,8,ADVANCE_1
1310000_slot02,left,9,PLACE_1
1310000_slot02,left,10,START_RECOVERY_1
1310000_slot02,left,11,REGRASP_1
1310000_slot02,left,12,RELEASE_1
1310000_slot02,left,13,ACQUIRE_2
1310000_slot02,left,14,ADVANCE_2
1310000_slot02,left,15,PLACE_2
1310000_slot02,left,16,START_RECOVERY_2
1310000_slot02,left,17,REGRASP_2
1310000_slot02,left,18,RELEASE_2
1310000_slot02,left,19,ACQUIRE_3
1310000_slot02,left,20,ADVANCE_3
1310000_slot02,left,21,PLACE_3
1310000_slot02,left,22,START_RECOVERY_3
1310000_slot02,left,23,REGRASP_3
1310000_slot02,left,24,RELEASE_3
1310000_slot02,left,25,ACQUIRE_4
1310000_slot02,left,26,ADVANCE_4
1310000_slot02,left,27,PLACE_4
1310000_slot02,left,28,START_RECOVERY_4
1310000_slot02,left,29,REGRASP_4
1310000_slot02,left,30,RELEASE_4
1310000_slot02,left,31,ACQUIRE_5
1310000_slot02,left,32,ADVANCE_5
1310000_slot02,left,33,PLACE_5
1310000_slot02,left,34,START_RECOVERY_5
1310000_slot02,left,35,REGRASP_5
1310000_slot02,left,36,RELEASE_5
1310000_slot03,left,2,ADVANCE_0
1310000_slot03,left,3,PLACE_0
1310000_slot03,left,4,START_RECOVERY_0
1310000_slot03,left,5,REGRASP_0
1310000_slot03,left,6,RELEASE_0
1310000_slot03,left,8,ADVANCE_1
1310000_slot03,left,9,PLACE_1
1310000_slot03,left,10,START_RECOVERY_1
1310000_slot03,left,11,REGRASP_1
1310000_slot03,left,12,RELEASE_1
1310000_slot03,left,13,ACQUIRE_2
1310000_slot03,left,14,ADVANCE_2
1310000_slot03,left,15,PLACE_2
1310000_slot03,left,16,START_RECOVERY_2
1310000_slot03,left,17,REGRASP_2
1310000_slot03,left,18,RELEASE_2
1310000_slot03,left,19,ACQUIRE_3
1310000_slot03,left,20,ADVANCE_3
1310000_slot03,left,21,PLACE_3
1310000_slot03,left,22,START_RECOVERY_3
1310000_slot03,left,23,REGRASP_3
1310000_slot03,left,24,RELEASE_3
1310000_slot03,left,25,ACQUIRE_4
1310000_slot03,left,26,ADVANCE_4
1310000_slot03,left,27,PLACE_4
1310000_slot03,left,28,START_RECOVERY_4
1310000_slot03,left,29,REGRASP_4
1310000_slot03,left,30,RELEASE_4
1310000_slot03,left,31,ACQUIRE_5
1310000_slot03,left,32,ADVANCE_5
1310000_slot03,left,33,PLACE_5
1310000_slot03,left,34,START_RECOVERY_5
1310000_slot03,left,35,REGRASP_5
1310000_slot03,left,36,RELEASE_5
1310000_slot04,left,2,ADVANCE_0
1310000_slot04,left,3,PLACE_0
