rollout_id,family_id,family_seed,rollout_seed,case_id,trace_complete,frame_manifest_complete,detector_job_complete,numeric_health_pass,pre_hold_verified,physical_loss_confirmed,state,reference_action,resolvable,commanded_release,force_start_time,loss_onset_time_abs,loss_confirmed_time_abs,peak_relative_separation_m,reference_path,physics_trace_path,candidate_input_path
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,L2RAR2_RGB_CONF_00_882000,882000,88300009,C10_brief_hold_strong_loss,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,0.7000000000000004,0.7400000000000004,0.8400000000000005,32.78126211812695,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss/candidate_input
L2RAR2_RGB_CONF_00_882000__C11_transport_strong_loss,L2RAR2_RGB_CONF_00_882000,882000,88300010,C11_transport_strong_loss,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.300000000000001,1.340000000000001,1.440000000000001,38.157833718895944,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C11_transport_strong_loss/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C11_transport_strong_loss/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C11_transport_strong_loss/candidate_input
L2RAR2_RGB_CONF_00_882000__C12_commanded_release,L2RAR2_RGB_CONF_00_882000,882000,88300011,C12_commanded_release,True,True,True,True,True,False,COMMANDED_RELEASE,none,True,True,,,,0.6621644133382595,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C12_commanded_release/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C12_commanded_release/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C12_commanded_release/candidate_input
L2RAR2_RGB_CONF_00_882000__C1_hold_request_ends_without_hold,L2RAR2_RGB_CONF_00_882000,882000,88300000,C1_hold_request_ends_without_hold,True,True,True,True,False,False,MISSED_HOLD_RESOLVED,retry_grasp,True,False,,,,,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C1_hold_request_ends_without_hold/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C1_hold_request_ends_without_hold/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C1_hold_request_ends_without_hold/candidate_input
L2RAR2_RGB_CONF_00_882000__C2_touch_request_completes_without_hold,L2RAR2_RGB_CONF_00_882000,882000,88300001,C2_touch_request_completes_without_hold,True,True,True,True,False,False,TOUCH_ONLY_RESOLVED,none,True,False,,,,,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C2_touch_request_completes_without_hold/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C2_touch_request_completes_without_hold/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C2_touch_request_completes_without_hold/candidate_input
L2RAR2_RGB_CONF_00_882000__C3_stable_hold_clean,L2RAR2_RGB_CONF_00_882000,882000,88300002,C3_stable_hold_clean,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,,,9.104167278263542e-15,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C3_stable_hold_clean/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C3_stable_hold_clean/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C3_stable_hold_clean/candidate_input
L2RAR2_RGB_CONF_00_882000__C4_stable_hold_camera_jitter,L2RAR2_RGB_CONF_00_882000,882000,88300003,C4_stable_hold_camera_jitter,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,,,9.104167278263542e-15,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C4_stable_hold_camera_jitter/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C4_stable_hold_camera_jitter/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C4_stable_hold_camera_jitter/candidate_input
L2RAR2_RGB_CONF_00_882000__C5_weld_off_no_force_outcome_control,L2RAR2_RGB_CONF_00_882000,882000,88300004,C5_weld_off_no_force_outcome_control,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,,1.1000000000000008,1.300000000000001,0.24015436353221672,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C5_weld_off_no_force_outcome_control/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C5_weld_off_no_force_outcome_control/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C5_weld_off_no_force_outcome_control/candidate_input
L2RAR2_RGB_CONF_00_882000__C6_weak_intervention_outcome,L2RAR2_RGB_CONF_00_882000,882000,88300005,C6_weak_intervention_outcome,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.1000000000000008,1.1400000000000008,1.2500000000000009,20.61878698535436,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C6_weak_intervention_outcome/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C6_weak_intervention_outcome/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C6_weak_intervention_outcome/candidate_input
L2RAR2_RGB_CONF_00_882000__C7_medium_intervention_outcome,L2RAR2_RGB_CONF_00_882000,882000,88300006,C7_medium_intervention_outcome,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.1000000000000008,1.1400000000000008,1.2400000000000009,26.73840195065507,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C7_medium_intervention_outcome/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C7_medium_intervention_outcome/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C7_medium_intervention_outcome/candidate_input
L2RAR2_RGB_CONF_00_882000__C8_strong_loss_clean,L2RAR2_RGB_CONF_00_882000,882000,88300007,C8_strong_loss_clean,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.1000000000000008,1.1400000000000008,1.2400000000000009,32.44081937964531,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C8_strong_loss_clean/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C8_strong_loss_clean/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C8_strong_loss_clean/candidate_input
L2RAR2_RGB_CONF_00_882000__C9_strong_loss_frame_dropout,L2RAR2_RGB_CONF_00_882000,882000,88300008,C9_strong_loss_frame_dropout,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.1000000000000008,1.1400000000000008,1.2400000000000009,32.44081937964531,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C9_strong_loss_frame_dropout/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C9_strong_loss_frame_dropout/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_00_882000__C9_strong_loss_frame_dropout/candidate_input
L2RAR2_RGB_CONF_01_882001__C10_brief_hold_strong_loss,L2RAR2_RGB_CONF_01_882001,882001,88300109,C10_brief_hold_strong_loss,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,0.7000000000000004,0.9100000000000006,1.0600000000000007,0.43410220392056215,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C10_brief_hold_strong_loss/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C10_brief_hold_strong_loss/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C10_brief_hold_strong_loss/candidate_input
L2RAR2_RGB_CONF_01_882001__C11_transport_strong_loss,L2RAR2_RGB_CONF_01_882001,882001,88300110,C11_transport_strong_loss,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.300000000000001,1.5700000000000012,1.6800000000000013,0.32316151103092206,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C11_transport_strong_loss/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C11_transport_strong_loss/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C11_transport_strong_loss/candidate_input
L2RAR2_RGB_CONF_01_882001__C12_commanded_release,L2RAR2_RGB_CONF_01_882001,882001,88300111,C12_commanded_release,True,True,True,True,True,False,COMMANDED_RELEASE,none,True,True,,,,0.7132035191272836,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C12_commanded_release/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C12_commanded_release/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C12_commanded_release/candidate_input
L2RAR2_RGB_CONF_01_882001__C1_hold_request_ends_without_hold,L2RAR2_RGB_CONF_01_882001,882001,88300100,C1_hold_request_ends_without_hold,True,True,True,True,False,False,MISSED_HOLD_RESOLVED,retry_grasp,True,False,,,,,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C1_hold_request_ends_without_hold/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C1_hold_request_ends_without_hold/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C1_hold_request_ends_without_hold/candidate_input
L2RAR2_RGB_CONF_01_882001__C2_touch_request_completes_without_hold,L2RAR2_RGB_CONF_01_882001,882001,88300101,C2_touch_request_completes_without_hold,True,True,True,True,False,False,TOUCH_ONLY_RESOLVED,none,True,False,,,,,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C2_touch_request_completes_without_hold/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C2_touch_request_completes_without_hold/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C2_touch_request_completes_without_hold/candidate_input
L2RAR2_RGB_CONF_01_882001__C3_stable_hold_clean,L2RAR2_RGB_CONF_01_882001,882001,88300102,C3_stable_hold_clean,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,,,0.00010441985182592795,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C3_stable_hold_clean/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C3_stable_hold_clean/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C3_stable_hold_clean/candidate_input
L2RAR2_RGB_CONF_01_882001__C4_stable_hold_camera_jitter,L2RAR2_RGB_CONF_01_882001,882001,88300103,C4_stable_hold_camera_jitter,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,,,0.00010441985182592795,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C4_stable_hold_camera_jitter/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C4_stable_hold_camera_jitter/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C4_stable_hold_camera_jitter/candidate_input
L2RAR2_RGB_CONF_01_882001__C5_weld_off_no_force_outcome_control,L2RAR2_RGB_CONF_01_882001,882001,88300104,C5_weld_off_no_force_outcome_control,True,True,True,True,True,False,WELD_OFF_CONTACT_SUPPORTED,none,True,False,,,,0.005178998400628016,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C5_weld_off_no_force_outcome_control/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C5_weld_off_no_force_outcome_control/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C5_weld_off_no_force_outcome_control/candidate_input
L2RAR2_RGB_CONF_01_882001__C6_weak_intervention_outcome,L2RAR2_RGB_CONF_01_882001,882001,88300105,C6_weak_intervention_outcome,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.1000000000000008,1.7900000000000014,1.9700000000000015,0.21486587290388284,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C6_weak_intervention_outcome/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C6_weak_intervention_outcome/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C6_weak_intervention_outcome/candidate_input
L2RAR2_RGB_CONF_01_882001__C7_medium_intervention_outcome,L2RAR2_RGB_CONF_01_882001,882001,88300106,C7_medium_intervention_outcome,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.1000000000000008,1.5200000000000011,1.7200000000000013,0.2229850377695275,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C7_medium_intervention_outcome/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C7_medium_intervention_outcome/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C7_medium_intervention_outcome/candidate_input
L2RAR2_RGB_CONF_01_882001__C8_strong_loss_clean,L2RAR2_RGB_CONF_01_882001,882001,88300107,C8_strong_loss_clean,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.1000000000000008,1.320000000000001,1.500000000000001,0.2914399928272071,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C8_strong_loss_clean/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C8_strong_loss_clean/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C8_strong_loss_clean/candidate_input
L2RAR2_RGB_CONF_01_882001__C9_strong_loss_frame_dropout,L2RAR2_RGB_CONF_01_882001,882001,88300108,C9_strong_loss_frame_dropout,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.1000000000000008,1.320000000000001,1.500000000000001,0.2914399928272071,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C9_strong_loss_frame_dropout/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C9_strong_loss_frame_dropout/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_01_882001__C9_strong_loss_frame_dropout/candidate_input
L2RAR2_RGB_CONF_02_882002__C10_brief_hold_strong_loss,L2RAR2_RGB_CONF_02_882002,882002,88300209,C10_brief_hold_strong_loss,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,0.7000000000000004,1.1500000000000008,1.320000000000001,0.2203360065647841,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C10_brief_hold_strong_loss/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C10_brief_hold_strong_loss/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C10_brief_hold_strong_loss/candidate_input
L2RAR2_RGB_CONF_02_882002__C11_transport_strong_loss,L2RAR2_RGB_CONF_02_882002,882002,88300210,C11_transport_strong_loss,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.300000000000001,1.5700000000000012,1.6800000000000013,0.33500146057751695,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C11_transport_strong_loss/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C11_transport_strong_loss/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C11_transport_strong_loss/candidate_input
L2RAR2_RGB_CONF_02_882002__C12_commanded_release,L2RAR2_RGB_CONF_02_882002,882002,88300211,C12_commanded_release,True,True,True,True,True,False,COMMANDED_RELEASE,none,True,True,,,,0.6865345936480189,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C12_commanded_release/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C12_commanded_release/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C12_commanded_release/candidate_input
L2RAR2_RGB_CONF_02_882002__C1_hold_request_ends_without_hold,L2RAR2_RGB_CONF_02_882002,882002,88300200,C1_hold_request_ends_without_hold,True,True,True,True,False,False,MISSED_HOLD_RESOLVED,retry_grasp,True,False,,,,,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C1_hold_request_ends_without_hold/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C1_hold_request_ends_without_hold/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C1_hold_request_ends_without_hold/candidate_input
L2RAR2_RGB_CONF_02_882002__C2_touch_request_completes_without_hold,L2RAR2_RGB_CONF_02_882002,882002,88300201,C2_touch_request_completes_without_hold,True,True,True,True,False,False,TOUCH_ONLY_RESOLVED,none,True,False,,,,,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C2_touch_request_completes_without_hold/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C2_touch_request_completes_without_hold/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C2_touch_request_completes_without_hold/candidate_input
L2RAR2_RGB_CONF_02_882002__C3_stable_hold_clean,L2RAR2_RGB_CONF_02_882002,882002,88300202,C3_stable_hold_clean,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,,,2.1640001287228204e-05,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C3_stable_hold_clean/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C3_stable_hold_clean/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C3_stable_hold_clean/candidate_input
L2RAR2_RGB_CONF_02_882002__C4_stable_hold_camera_jitter,L2RAR2_RGB_CONF_02_882002,882002,88300203,C4_stable_hold_camera_jitter,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,,,2.1640001287228204e-05,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C4_stable_hold_camera_jitter/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C4_stable_hold_camera_jitter/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C4_stable_hold_camera_jitter/candidate_input
L2RAR2_RGB_CONF_02_882002__C5_weld_off_no_force_outcome_control,L2RAR2_RGB_CONF_02_882002,882002,88300204,C5_weld_off_no_force_outcome_control,True,True,True,True,True,False,WELD_OFF_CONTACT_SUPPORTED,none,True,False,,,,0.005071369342006104,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C5_weld_off_no_force_outcome_control/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C5_weld_off_no_force_outcome_control/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C5_weld_off_no_force_outcome_control/candidate_input
L2RAR2_RGB_CONF_02_882002__C6_weak_intervention_outcome,L2RAR2_RGB_CONF_02_882002,882002,88300205,C6_weak_intervention_outcome,True,True,True,True,True,False,WELD_OFF_CONTACT_SUPPORTED,none,True,False,1.1000000000000008,,,0.07087136416305015,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C6_weak_intervention_outcome/reference/physical_reference.json,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C6_weak_intervention_outcome/reference/physics_trace.jsonl,../../../../../../graph_l2ra_r2_r17_rgb_confirm_v1_data/confirmation/L2RAR2_RGB_CONF_02_882002__C6_weak_intervention_outcome/candidate_input
