method,input_tier,eligible_for_selection,rollout_id,family_id,case_id,truth_action,reference_state,reference_resolved,physical_loss_onset,temporal_outcome,accurate,primary_action,primary_action_time,primary_action_capture_order,event_onset,deadline,actions_json,unknown,requested_phase_offset_ms,actual_phase_offset_ms,latency_from_physical_onset,latency_from_method_observable,time_provenance
O_B2_RAW,ONLINE_TRUE_RGB,False,L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,L2RAR2_R19_CONF_00_886000,T10_transport_strong_phase_30ms,recover_object,PHYSICAL_LOSS_CONFIRMED,True,1.6000000000000012,CORRECT_IN_WINDOW,True,recover_object,1.6000000000000012,36,1.6000000000000012,2.3500000000000014,"[{""action"": ""recover_object"", ""capture_order"": 36, ""reason_code"": ""historical_hold_established_then_observed_non_release_contact_loss"", ""time"": 1.6000000000000012}]",False,30,30.00000000000003,0.0,0.0,candidate row.time; frozen physical onset joined only after prediction
O_B2_RAW,ONLINE_TRUE_RGB,False,L2RAR2_R19_CONF_00_886000__T11_transport_strong_phase_40ms_rgb_dropout,L2RAR2_R19_CONF_00_886000,T11_transport_strong_phase_40ms_rgb_dropout,recover_object,PHYSICAL_LOSS_CONFIRMED,True,1.6100000000000012,EARLY_ACTION,False,recover_object,1.6000000000000012,36,1.6100000000000012,2.360000000000001,"[{""action"": ""recover_object"", ""capture_order"": 36, ""reason_code"": ""historical_hold_established_then_observed_non_release_contact_loss"", ""time"": 1.6000000000000012}]",False,40,40.000000000000036,-0.010000000000000009,0.0,candidate row.time; frozen physical onset joined only after prediction
O_B2_RAW,ONLINE_TRUE_RGB,False,L2RAR2_R19_CONF_00_886000__T12_transport_commanded_release,L2RAR2_R19_CONF_00_886000,T12_transport_commanded_release,none,COMMANDED_RELEASE,True,,CORRECT_NONE,True,,,,,,[],False,20,20.000000000000018,,,candidate row.time; frozen physical onset joined only after prediction
O_B2_RAW,ONLINE_TRUE_RGB,False,L2RAR2_R19_CONF_00_886000__T1_transport_stable_clean,L2RAR2_R19_CONF_00_886000,T1_transport_stable_clean,none,WELD_SUPPORTED_HOLD,True,,CORRECT_NONE,True,,,,,,[],False,,,,,candidate row.time; frozen physical onset joined only after prediction
O_B2_RAW,ONLINE_TRUE_RGB,False,L2RAR2_R19_CONF_00_886000__T2_transport_camera_jitter,L2RAR2_R19_CONF_00_886000,T2_transport_camera_jitter,none,WELD_SUPPORTED_HOLD,True,,CORRECT_NONE,True,,,,,,[],False,,,,,candidate row.time; frozen physical onset joined only after prediction
O_B2_RAW,ONLINE_TRUE_RGB,False,L2RAR2_R19_CONF_00_886000__T3_transport_single_contact_proxy_dropout,L2RAR2_R19_CONF_00_886000,T3_transport_single_contact_proxy_dropout,none,WELD_SUPPORTED_HOLD,True,,FALSE_RECOVERY,False,recover_object,1.300000000000001,29,,,"[{""action"": ""recover_object"", ""capture_order"": 29, ""reason_code"": ""historical_hold_established_then_observed_non_release_contact_loss"", ""time"": 1.300000000000001}]",False,,,,0.0,candidate row.time; frozen physical onset joined only after prediction
O_B2_RAW,ONLINE_TRUE_RGB,False,L2RAR2_R19_CONF_00_886000__T4_transport_same_time_contact_false_then_true,L2RAR2_R19_CONF_00_886000,T4_transport_same_time_contact_false_then_true,none,WELD_SUPPORTED_HOLD,True,,FALSE_RECOVERY,False,recover_object,1.300000000000001,29,,,"[{""action"": ""recover_object"", ""capture_order"": 29, ""reason_code"": ""historical_hold_established_then_observed_non_release_contact_loss"", ""time"": 1.300000000000001}]",False,,,,0.0,candidate row.time; frozen physical onset joined only after prediction
O_B2_RAW,ONLINE_TRUE_RGB,False,L2RAR2_R19_CONF_00_886000__T5_transport_weak_outcome,L2RAR2_R19_CONF_00_886000,T5_transport_weak_outcome,recover_object,PHYSICAL_LOSS_CONFIRMED,True,1.5800000000000012,CORRECT_IN_WINDOW,True,recover_object,1.6000000000000012,36,1.5800000000000012,2.330000000000001,"[{""action"": ""recover_object"", ""capture_order"": 36, ""reason_code"": ""historical_hold_established_then_observed_non_release_contact_loss"", ""time"": 1.6000000000000012}]",False,20,20.000000000000018,0.020000000000000018,0.0,candidate row.time; frozen physical onset joined only after prediction
O_B2_RAW,ONLINE_TRUE_RGB,False,L2RAR2_R19_CONF_00_886000__T6_transport_medium_outcome,L2RAR2_R19_CONF_00_886000,T6_transport_medium_outcome,recover_object,PHYSICAL_LOSS_CONFIRMED,True,1.5900000000000012,CORRECT_IN_WINDOW,True,recover_object,1.6000000000000012,36,1.5900000000000012,2.340000000000001,"[{""action"": ""recover_object"", ""capture_order"": 36, ""reason_code"": ""historical_hold_established_then_observed_non_release_contact_loss"", ""time"": 1.6000000000000012}]",False,20,20.000000000000018,0.010000000000000009,0.0,candidate row.time; frozen physical onset joined only after prediction
O_B2_RAW,ONLINE_TRUE_RGB,False,L2RAR2_R19_CONF_00_886000__T7_transport_strong_phase_00ms,L2RAR2_R19_CONF_00_886000,T7_transport_strong_phase_00ms,recover_object,PHYSICAL_LOSS_CONFIRMED,True,1.5200000000000011,CORRECT_IN_WINDOW,True,recover_object,1.6000000000000012,36,1.5200000000000011,2.2700000000000014,"[{""action"": ""recover_object"", ""capture_order"": 36, ""reason_code"": ""historical_hold_established_then_observed_non_release_contact_loss"", ""time"": 1.6000000000000012}]",False,0,0.0,0.08000000000000007,0.0,candidate row.time; frozen physical onset joined only after prediction
O_B2_RAW,ONLINE_TRUE_RGB,False,L2RAR2_R19_CONF_00_886000__T8_transport_strong_phase_10ms,L2RAR2_R19_CONF_00_886000,T8_transport_strong_phase_10ms,recover_object,PHYSICAL_LOSS_CONFIRMED,True,1.5800000000000012,CORRECT_IN_WINDOW,True,recover_object,1.6000000000000012,36,1.5800000000000012,2.330000000000001,"[{""action"": ""recover_object"", ""capture_order"": 36, ""reason_code"": ""historical_hold_established_then_observed_non_release_contact_loss"", ""time"": 1.6000000000000012}]",False,10,10.000000000000009,0.020000000000000018,0.0,candidate row.time; frozen physical onset joined only after prediction
O_B2_RAW,ONLINE_TRUE_RGB,False,L2RAR2_R19_CONF_00_886000__T9_transport_strong_phase_20ms,L2RAR2_R19_CONF_00_886000,T9_transport_strong_phase_20ms,recover_object,PHYSICAL_LOSS_CONFIRMED,True,1.5900000000000012,CORRECT_IN_WINDOW,True,recover_object,1.6000000000000012,36,1.5900000000000012,2.340000000000001,"[{""action"": ""recover_object"", ""capture_order"": 36, ""reason_code"": ""historical_hold_established_then_observed_non_release_contact_loss"", ""time"": 1.6000000000000012}]",False,20,20.000000000000018,0.010000000000000009,0.0,candidate row.time; frozen physical onset joined only after prediction
O_B2_RAW,ONLINE_TRUE_RGB,False,L2RAR2_R19_CONF_01_886001__T10_transport_strong_phase_30ms,L2RAR2_R19_CONF_01_886001,T10_transport_strong_phase_30ms,recover_object,PHYSICAL_LOSS_CONFIRMED,True,1.5500000000000012,CORRECT_IN_WINDOW,True,recover_object,1.6000000000000012,36,1.5500000000000012,2.300000000000001,"[{""action"": ""recover_object"", ""capture_order"": 36, ""reason_code"": ""historical_hold_established_then_observed_non_release_contact_loss"", ""time"": 1.6000000000000012}]",False,30,30.00000000000003,0.050000000000000044,0.0,candidate row.time; frozen physical onset joined only after prediction
O_B2_RAW,ONLINE_TRUE_RGB,False,L2RAR2_R19_CONF_01_886001__T11_transport_strong_phase_40ms_rgb_dropout,L2RAR2_R19_CONF_01_886001,T11_transport_strong_phase_40ms_rgb_dropout,recover_object,PHYSICAL_LOSS_CONFIRMED,True,1.5600000000000012,CORRECT_IN_WINDOW,True,recover_object,1.6000000000000012,36,1.5600000000000012,2.3100000000000014,"[{""action"": ""recover_object"", ""capture_order"": 36, ""reason_code"": ""historical_hold_established_then_observed_non_release_contact_loss"", ""time"": 1.6000000000000012}]",False,40,40.000000000000036,0.040000000000000036,0.0,candidate row.time; frozen physical onset joined only after prediction
O_B2_RAW,ONLINE_TRUE_RGB,False,L2RAR2_R19_CONF_01_886001__T12_transport_commanded_release,L2RAR2_R19_CONF_01_886001,T12_transport_commanded_release,none,COMMANDED_RELEASE,True,,CORRECT_NONE,True,,,,,,[],False,20,20.000000000000018,,,candidate row.time; frozen physical onset joined only after prediction
