rollout_id,status,rows,missing_frames,errors,output_sha256
L2RAR2_R21_PERF_00_888000__T11_transport_strong_phase_40ms_rgb_dropout,PASS,61,3,0,e84029074b3f815b0b3f6afd469c5f8c4c9ebe05a4d2062d7aad54488f01093c
L2RAR2_R21_PERF_00_888000__T12_transport_commanded_release,PASS,67,0,0,79597d5c9e661ed94d03a549e613f14ef585f7a8541a18bcc449d1e522947829
L2RAR2_R21_PERF_00_888000__T1_transport_stable_clean,PASS,56,0,0,414c782786f6d5b97e91f491101dae26d25fd838e9662bc6d3123500b6668e92
L2RAR2_R21_PERF_00_888000__T2_transport_camera_jitter,PASS,56,0,0,91acb2e1f137c7f323888a87186f82a4148f7ef55f81b4a4006afbdd8d83566b
L2RAR2_R21_PERF_00_888000__T3_transport_single_contact_proxy_dropout,PASS,56,0,0,414c782786f6d5b97e91f491101dae26d25fd838e9662bc6d3123500b6668e92
L2RAR2_R21_PERF_00_888000__T4_transport_same_time_contact_false_then_true,PASS,56,0,0,414c782786f6d5b97e91f491101dae26d25fd838e9662bc6d3123500b6668e92
L2RAR2_R21_PERF_00_888000__T7_transport_strong_phase_00ms,PASS,61,0,0,caddae6125efaea0a76629295f418b434fe96dab5c81c1e4aa28234b3c936628
L2RAR2_R21_PERF_00_888000__T9_transport_strong_phase_20ms,PASS,61,0,0,2b40d2261de11de50010e6052bcc37fad6df997d5c72c62dc62a4acee4874397
L2RAR2_R21_PERF_01_888001__T11_transport_strong_phase_40ms_rgb_dropout,PASS,61,3,0,49a7fbcf708ce72c2b4a2cd4a939f441d44f92197fc742fc21da9034bda2ea15
L2RAR2_R21_PERF_01_888001__T12_transport_commanded_release,PASS,67,0,0,2b7490c44ce1b1116dc01e20b108150a9be7627500198337a5d883d8fa8b859a
L2RAR2_R21_PERF_01_888001__T1_transport_stable_clean,PASS,56,0,0,fd39d0f8382908279f7c1674676d53f38d98e9172126b73be17c2c09ded6b362
L2RAR2_R21_PERF_01_888001__T2_transport_camera_jitter,PASS,56,0,0,3f52727ec4a1384a63553db2e162e3f0d047faba6988dc071fe2a52cfab3bc5a
L2RAR2_R21_PERF_01_888001__T3_transport_single_contact_proxy_dropout,PASS,56,0,0,fd39d0f8382908279f7c1674676d53f38d98e9172126b73be17c2c09ded6b362
L2RAR2_R21_PERF_01_888001__T4_transport_same_time_contact_false_then_true,PASS,56,0,0,fd39d0f8382908279f7c1674676d53f38d98e9172126b73be17c2c09ded6b362
L2RAR2_R21_PERF_01_888001__T7_transport_strong_phase_00ms,PASS,61,0,0,29f9c7069e781c721c41947c62c9690ca8d9c46a8209af53c6107463f1aa773f
L2RAR2_R21_PERF_01_888001__T9_transport_strong_phase_20ms,PASS,61,0,0,186256164d112007a111ca489618df418c6ef28135cd14769e1fe8f462af3c8c
L2RAR2_R21_PERF_02_888002__T11_transport_strong_phase_40ms_rgb_dropout,PASS,61,3,0,42a27e10f933601090e12dca991bbd4ce28bbf3b5b30d4c6737d9a8db32a06f3
L2RAR2_R21_PERF_02_888002__T12_transport_commanded_release,PASS,67,0,0,bcda6e2c3b48dbc3b57630f8d843aa715394c65449a624838e4ae5a90d136cff
L2RAR2_R21_PERF_02_888002__T1_transport_stable_clean,PASS,56,0,0,8845db48b9e9a15da340eca75b07ff17b7f568ec6f41419ca164dd9800a6027c
L2RAR2_R21_PERF_02_888002__T2_transport_camera_jitter,PASS,56,0,0,fb411d861cff8e80cf7b2c252e04c7ac1811aa931cfacd049e2e49cf21e860ab
L2RAR2_R21_PERF_02_888002__T3_transport_single_contact_proxy_dropout,PASS,56,0,0,8845db48b9e9a15da340eca75b07ff17b7f568ec6f41419ca164dd9800a6027c
L2RAR2_R21_PERF_02_888002__T4_transport_same_time_contact_false_then_true,PASS,56,0,0,8845db48b9e9a15da340eca75b07ff17b7f568ec6f41419ca164dd9800a6027c
L2RAR2_R21_PERF_02_888002__T7_transport_strong_phase_00ms,PASS,61,0,0,f16e3de6d6134a7f7f3057716dc6fe607bbae153690dba02f24a515da05825d6
L2RAR2_R21_PERF_02_888002__T9_transport_strong_phase_20ms,PASS,61,0,0,ab44eb8c03987646190eab409e129711ae85117626caec3aa0adc5e8447b83b7
L2RAR2_R21_PERF_03_888003__T11_transport_strong_phase_40ms_rgb_dropout,PASS,61,3,0,efcc9f1cccde87fc28a587ac987ca8bb3cba77b73ddf72657b6f329bba89f78b
L2RAR2_R21_PERF_03_888003__T12_transport_commanded_release,PASS,67,0,0,6c2965027beb98d0efdde0b25373c8ba0161063c3447ce843697cfda997914bb
L2RAR2_R21_PERF_03_888003__T1_transport_stable_clean,PASS,56,0,0,88c00d94064c0348041f3462991f169199c4cd5b0ad1d87e260f89732ead81ac
L2RAR2_R21_PERF_03_888003__T2_transport_camera_jitter,PASS,56,0,0,da814de1f2f52ed2875892b94707825c57c2e3e0f7d41684408fba35cd2210e5
L2RAR2_R21_PERF_03_888003__T3_transport_single_contact_proxy_dropout,PASS,56,0,0,88c00d94064c0348041f3462991f169199c4cd5b0ad1d87e260f89732ead81ac
L2RAR2_R21_PERF_03_888003__T4_transport_same_time_contact_false_then_true,PASS,56,0,0,88c00d94064c0348041f3462991f169199c4cd5b0ad1d87e260f89732ead81ac
L2RAR2_R21_PERF_03_888003__T7_transport_strong_phase_00ms,PASS,61,0,0,1a7125437dc552d65048177a54d5eae825326fafac6f4c30875e16e287baf164
L2RAR2_R21_PERF_03_888003__T9_transport_strong_phase_20ms,PASS,61,0,0,1d0671c8bf8a469bb15539408697f09915940a317b32878603698344d7a2ee6b
