rollout_id,case_id,fault_type,target_capture_order,source_capture_order,source_contact,injected_contact,source_time,next_later_source_time,duplicate_capture_order,same_jpeg_sha256,reference_unchanged
L2RAR2_R21_PERF_00_888000__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,,,,,,,,,,True
L2RAR2_R21_PERF_00_888000__T12_transport_commanded_release,T12_transport_commanded_release,,,,,,,,,,True
L2RAR2_R21_PERF_00_888000__T1_transport_stable_clean,T1_transport_stable_clean,,,,,,,,,,True
L2RAR2_R21_PERF_00_888000__T2_transport_camera_jitter,T2_transport_camera_jitter,,,,,,,,,,True
L2RAR2_R21_PERF_00_888000__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,T3_SINGLE_FALSE,29,29,True,False,1.300000000000001,1.350000000000001,,,True
L2RAR2_R21_PERF_00_888000__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,T4_SAME_TIME_FALSE_TRUE,29,29,True,"[False, True]",1.300000000000001,,30,b26bd876c61885d7924d77adb5769aac2648f640f00d0ca51078ba9d173b20df,True
L2RAR2_R21_PERF_00_888000__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,,,,,,,,,,True
L2RAR2_R21_PERF_00_888000__T9_transport_strong_phase_20ms,T9_transport_strong_phase_20ms,,,,,,,,,,True
L2RAR2_R21_PERF_01_888001__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,,,,,,,,,,True
L2RAR2_R21_PERF_01_888001__T12_transport_commanded_release,T12_transport_commanded_release,,,,,,,,,,True
L2RAR2_R21_PERF_01_888001__T1_transport_stable_clean,T1_transport_stable_clean,,,,,,,,,,True
L2RAR2_R21_PERF_01_888001__T2_transport_camera_jitter,T2_transport_camera_jitter,,,,,,,,,,True
L2RAR2_R21_PERF_01_888001__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,T3_SINGLE_FALSE,29,29,True,False,1.300000000000001,1.350000000000001,,,True
L2RAR2_R21_PERF_01_888001__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,T4_SAME_TIME_FALSE_TRUE,29,29,True,"[False, True]",1.300000000000001,,30,0b18a3452329901ee4cb934b688fc4d62968b54d594ffbf5bcb92ad1b9de62a5,True
L2RAR2_R21_PERF_01_888001__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,,,,,,,,,,True
L2RAR2_R21_PERF_01_888001__T9_transport_strong_phase_20ms,T9_transport_strong_phase_20ms,,,,,,,,,,True
L2RAR2_R21_PERF_02_888002__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,,,,,,,,,,True
L2RAR2_R21_PERF_02_888002__T12_transport_commanded_release,T12_transport_commanded_release,,,,,,,,,,True
L2RAR2_R21_PERF_02_888002__T1_transport_stable_clean,T1_transport_stable_clean,,,,,,,,,,True
L2RAR2_R21_PERF_02_888002__T2_transport_camera_jitter,T2_transport_camera_jitter,,,,,,,,,,True
L2RAR2_R21_PERF_02_888002__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,T3_SINGLE_FALSE,29,29,True,False,1.300000000000001,1.350000000000001,,,True
L2RAR2_R21_PERF_02_888002__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,T4_SAME_TIME_FALSE_TRUE,29,29,True,"[False, True]",1.300000000000001,,30,ba2ce1a7ef503da338f83f1446c25fc90cd600daac22a3bc4466f09e66b3dd19,True
L2RAR2_R21_PERF_02_888002__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,,,,,,,,,,True
L2RAR2_R21_PERF_02_888002__T9_transport_strong_phase_20ms,T9_transport_strong_phase_20ms,,,,,,,,,,True
L2RAR2_R21_PERF_03_888003__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,,,,,,,,,,True
L2RAR2_R21_PERF_03_888003__T12_transport_commanded_release,T12_transport_commanded_release,,,,,,,,,,True
L2RAR2_R21_PERF_03_888003__T1_transport_stable_clean,T1_transport_stable_clean,,,,,,,,,,True
L2RAR2_R21_PERF_03_888003__T2_transport_camera_jitter,T2_transport_camera_jitter,,,,,,,,,,True
L2RAR2_R21_PERF_03_888003__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,T3_SINGLE_FALSE,29,29,True,False,1.300000000000001,1.350000000000001,,,True
L2RAR2_R21_PERF_03_888003__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,T4_SAME_TIME_FALSE_TRUE,29,29,True,"[False, True]",1.300000000000001,,30,e3f21364e6792c241bfb0bde6ea5e1a4c200384a5dcb91e906515984ca5d6219,True
L2RAR2_R21_PERF_03_888003__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,,,,,,,,,,True
L2RAR2_R21_PERF_03_888003__T9_transport_strong_phase_20ms,T9_transport_strong_phase_20ms,,,,,,,,,,True
