dataset,rollout_id,case_id,reference_action,reference_resolved,temporal_outcome,accurate,primary_action,primary_action_time,primary_action_capture_order,event_onset,deadline,latency_from_physical_onset
R17,L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,C10_brief_hold_strong_loss,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,0.8000000000000005,19,0.7400000000000004,1.4900000000000004,0.06000000000000005
R17,L2RAR2_RGB_CONF_00_882000__C11_transport_strong_loss,C11_transport_strong_loss,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.400000000000001,32,1.340000000000001,2.0900000000000007,0.06000000000000005
R17,L2RAR2_RGB_CONF_00_882000__C12_commanded_release,C12_commanded_release,none,True,CORRECT_NONE,True,,,,,,
R17,L2RAR2_RGB_CONF_00_882000__C1_hold_request_ends_without_hold,C1_hold_request_ends_without_hold,retry_grasp,True,CORRECT_IN_WINDOW,True,retry_grasp,0.3000000000000001,8,0.3000000000000001,0.8,
R17,L2RAR2_RGB_CONF_00_882000__C2_touch_request_completes_without_hold,C2_touch_request_completes_without_hold,none,True,CORRECT_NONE,True,,,,,,
R17,L2RAR2_RGB_CONF_00_882000__C3_stable_hold_clean,C3_stable_hold_clean,none,True,CORRECT_NONE,True,,,,,,
R17,L2RAR2_RGB_CONF_00_882000__C4_stable_hold_camera_jitter,C4_stable_hold_camera_jitter,none,True,CORRECT_NONE,True,,,,,,
R17,L2RAR2_RGB_CONF_00_882000__C5_weld_off_no_force_outcome_control,C5_weld_off_no_force_outcome_control,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.300000000000001,29,1.1000000000000008,1.8500000000000008,0.20000000000000018
R17,L2RAR2_RGB_CONF_00_882000__C6_weak_intervention_outcome,C6_weak_intervention_outcome,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.2000000000000008,27,1.1400000000000008,1.8900000000000008,0.06000000000000005
R17,L2RAR2_RGB_CONF_00_882000__C7_medium_intervention_outcome,C7_medium_intervention_outcome,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.2000000000000008,27,1.1400000000000008,1.8900000000000008,0.06000000000000005
R17,L2RAR2_RGB_CONF_00_882000__C8_strong_loss_clean,C8_strong_loss_clean,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.2000000000000008,27,1.1400000000000008,1.8900000000000008,0.06000000000000005
R17,L2RAR2_RGB_CONF_00_882000__C9_strong_loss_frame_dropout,C9_strong_loss_frame_dropout,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.2000000000000008,27,1.1400000000000008,1.8900000000000008,0.06000000000000005
R17,L2RAR2_RGB_CONF_01_882001__C10_brief_hold_strong_loss,C10_brief_hold_strong_loss,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.0000000000000007,24,0.9100000000000006,1.6600000000000006,0.09000000000000008
R17,L2RAR2_RGB_CONF_01_882001__C11_transport_strong_loss,C11_transport_strong_loss,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,38,1.5700000000000012,2.320000000000001,0.08000000000000007
R17,L2RAR2_RGB_CONF_01_882001__C12_commanded_release,C12_commanded_release,none,True,CORRECT_NONE,True,,,,,,
R17,L2RAR2_RGB_CONF_01_882001__C1_hold_request_ends_without_hold,C1_hold_request_ends_without_hold,retry_grasp,True,CORRECT_IN_WINDOW,True,retry_grasp,0.3000000000000001,8,0.3000000000000001,0.8,
R17,L2RAR2_RGB_CONF_01_882001__C2_touch_request_completes_without_hold,C2_touch_request_completes_without_hold,none,True,CORRECT_NONE,True,,,,,,
R17,L2RAR2_RGB_CONF_01_882001__C3_stable_hold_clean,C3_stable_hold_clean,none,True,CORRECT_NONE,True,,,,,,
R17,L2RAR2_RGB_CONF_01_882001__C4_stable_hold_camera_jitter,C4_stable_hold_camera_jitter,none,True,CORRECT_NONE,True,,,,,,
R17,L2RAR2_RGB_CONF_01_882001__C5_weld_off_no_force_outcome_control,C5_weld_off_no_force_outcome_control,none,True,CORRECT_NONE,True,,,,,,
R17,L2RAR2_RGB_CONF_01_882001__C6_weak_intervention_outcome,C6_weak_intervention_outcome,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.9500000000000015,43,1.7900000000000014,2.299999999999995,0.16000000000000014
R17,L2RAR2_RGB_CONF_01_882001__C7_medium_intervention_outcome,C7_medium_intervention_outcome,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.7000000000000013,38,1.5200000000000011,2.2700000000000014,0.18000000000000016
