dataset,rollout_id,case_id,reference_action,reference_resolved,temporal_outcome,accurate,primary_action,primary_action_time,primary_action_capture_order,event_onset,deadline,latency_from_physical_onset
R20,L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,T10_transport_strong_phase_30ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.6000000000000012,2.3500000000000014,0.050000000000000044
R20,L2RAR2_R19_CONF_00_886000__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.6100000000000012,2.360000000000001,0.040000000000000036
R20,L2RAR2_R19_CONF_00_886000__T12_transport_commanded_release,T12_transport_commanded_release,none,True,CORRECT_NONE,True,,,,,,
R20,L2RAR2_R19_CONF_00_886000__T1_transport_stable_clean,T1_transport_stable_clean,none,True,CORRECT_NONE,True,,,,,,
R20,L2RAR2_R19_CONF_00_886000__T2_transport_camera_jitter,T2_transport_camera_jitter,none,True,CORRECT_NONE,True,,,,,,
R20,L2RAR2_R19_CONF_00_886000__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,none,True,CORRECT_NONE,True,,,,,,
R20,L2RAR2_R19_CONF_00_886000__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,none,True,CORRECT_NONE,True,,,,,,
R20,L2RAR2_R19_CONF_00_886000__T5_transport_weak_outcome,T5_transport_weak_outcome,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5800000000000012,2.330000000000001,0.07000000000000006
R20,L2RAR2_R19_CONF_00_886000__T6_transport_medium_outcome,T6_transport_medium_outcome,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5900000000000012,2.340000000000001,0.06000000000000005
R20,L2RAR2_R19_CONF_00_886000__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5200000000000011,2.2700000000000014,0.13000000000000012
R20,L2RAR2_R19_CONF_00_886000__T8_transport_strong_phase_10ms,T8_transport_strong_phase_10ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5800000000000012,2.330000000000001,0.07000000000000006
R20,L2RAR2_R19_CONF_00_886000__T9_transport_strong_phase_20ms,T9_transport_strong_phase_20ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5900000000000012,2.340000000000001,0.06000000000000005
R20,L2RAR2_R19_CONF_01_886001__T10_transport_strong_phase_30ms,T10_transport_strong_phase_30ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5500000000000012,2.300000000000001,0.10000000000000009
R20,L2RAR2_R19_CONF_01_886001__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5600000000000012,2.3100000000000014,0.09000000000000008
R20,L2RAR2_R19_CONF_01_886001__T12_transport_commanded_release,T12_transport_commanded_release,none,True,CORRECT_NONE,True,,,,,,
R20,L2RAR2_R19_CONF_01_886001__T1_transport_stable_clean,T1_transport_stable_clean,none,True,CORRECT_NONE,True,,,,,,
R20,L2RAR2_R19_CONF_01_886001__T2_transport_camera_jitter,T2_transport_camera_jitter,none,True,CORRECT_NONE,True,,,,,,
R20,L2RAR2_R19_CONF_01_886001__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,none,True,CORRECT_NONE,True,,,,,,
R20,L2RAR2_R19_CONF_01_886001__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,none,True,CORRECT_NONE,True,,,,,,
R20,L2RAR2_R19_CONF_01_886001__T5_transport_weak_outcome,T5_transport_weak_outcome,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5800000000000012,2.330000000000001,0.07000000000000006
R20,L2RAR2_R19_CONF_01_886001__T6_transport_medium_outcome,T6_transport_medium_outcome,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5800000000000012,2.330000000000001,0.07000000000000006
R20,L2RAR2_R19_CONF_01_886001__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6000000000000012,36,1.5200000000000011,2.2700000000000014,0.08000000000000007
R20,L2RAR2_R19_CONF_01_886001__T8_transport_strong_phase_10ms,T8_transport_strong_phase_10ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5300000000000011,2.280000000000001,0.1200000000000001
R20,L2RAR2_R19_CONF_01_886001__T9_transport_strong_phase_20ms,T9_transport_strong_phase_20ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5400000000000011,2.290000000000001,0.1100000000000001
R20,L2RAR2_R19_CONF_02_886002__T10_transport_strong_phase_30ms,T10_transport_strong_phase_30ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.450000000000001,32,1.370000000000001,2.120000000000001,0.08000000000000007
R20,L2RAR2_R19_CONF_02_886002__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.450000000000001,32,1.380000000000001,2.130000000000001,0.07000000000000006
R20,L2RAR2_R19_CONF_02_886002__T12_transport_commanded_release,T12_transport_commanded_release,none,True,CORRECT_NONE,True,,,,,,
R20,L2RAR2_R19_CONF_02_886002__T1_transport_stable_clean,T1_transport_stable_clean,none,True,CORRECT_NONE,True,,,,,,
R20,L2RAR2_R19_CONF_02_886002__T2_transport_camera_jitter,T2_transport_camera_jitter,none,True,CORRECT_NONE,True,,,,,,
R20,L2RAR2_R19_CONF_02_886002__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,none,True,CORRECT_NONE,True,,,,,,
R20,L2RAR2_R19_CONF_02_886002__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,none,True,CORRECT_NONE,True,,,,,,
R20,L2RAR2_R19_CONF_02_886002__T5_transport_weak_outcome,T5_transport_weak_outcome,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.450000000000001,32,1.360000000000001,2.110000000000001,0.09000000000000008
R20,L2RAR2_R19_CONF_02_886002__T6_transport_medium_outcome,T6_transport_medium_outcome,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.450000000000001,32,1.360000000000001,2.110000000000001,0.09000000000000008
R20,L2RAR2_R19_CONF_02_886002__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.400000000000001,31,1.340000000000001,2.0900000000000007,0.06000000000000005
R20,L2RAR2_R19_CONF_02_886002__T8_transport_strong_phase_10ms,T8_transport_strong_phase_10ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.450000000000001,32,1.350000000000001,2.100000000000001,0.10000000000000009
R20,L2RAR2_R19_CONF_02_886002__T9_transport_strong_phase_20ms,T9_transport_strong_phase_20ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.450000000000001,32,1.360000000000001,2.110000000000001,0.09000000000000008
R20,L2RAR2_R19_CONF_03_886003__T10_transport_strong_phase_30ms,T10_transport_strong_phase_30ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5500000000000012,2.300000000000001,0.10000000000000009
R20,L2RAR2_R19_CONF_03_886003__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5600000000000012,2.3100000000000014,0.09000000000000008
