family_id,case_id,rollout_seed,O_C3_CLP3_CANONICAL_TIME_overall_success,O_C3_RAW_overall_success,RECOVERY_DISABLED_overall_success,O_C3_CLP3_CANONICAL_TIME_final_task_success,O_C3_RAW_final_task_success,RECOVERY_DISABLED_final_task_success
L2RAR2_R23_L3_00_892000,L3C1_missed_grasp_retry,89300000,True,True,False,True,True,False
L2RAR2_R23_L3_00_892000,L3C2_transport_loss_recover,89300001,True,True,False,True,True,False
L2RAR2_R23_L3_00_892000,L3C3_stable_transport,89300002,True,True,True,True,True,True
L2RAR2_R23_L3_00_892000,L3C4_single_frame_contact_fault,89300003,True,False,True,True,True,True
L2RAR2_R23_L3_00_892000,L3C5_commanded_release,89300004,True,True,True,True,True,True
L2RAR2_R23_L3_01_892001,L3C1_missed_grasp_retry,89300100,True,True,False,True,True,False
L2RAR2_R23_L3_01_892001,L3C2_transport_loss_recover,89300101,False,False,False,False,False,False
L2RAR2_R23_L3_01_892001,L3C3_stable_transport,89300102,True,True,True,True,True,True
L2RAR2_R23_L3_01_892001,L3C4_single_frame_contact_fault,89300103,True,False,True,True,True,True
L2RAR2_R23_L3_01_892001,L3C5_commanded_release,89300104,True,True,True,True,True,True
L2RAR2_R23_L3_02_892002,L3C1_missed_grasp_retry,89300200,True,True,False,True,True,False
L2RAR2_R23_L3_02_892002,L3C2_transport_loss_recover,89300201,True,True,False,True,True,False
L2RAR2_R23_L3_02_892002,L3C3_stable_transport,89300202,True,True,True,True,True,True
L2RAR2_R23_L3_02_892002,L3C4_single_frame_contact_fault,89300203,True,False,True,True,True,True
L2RAR2_R23_L3_02_892002,L3C5_commanded_release,89300204,True,True,True,True,True,True
L2RAR2_R23_L3_03_892003,L3C1_missed_grasp_retry,89300300,True,True,False,True,True,False
L2RAR2_R23_L3_03_892003,L3C2_transport_loss_recover,89300301,True,True,False,True,True,False
L2RAR2_R23_L3_03_892003,L3C3_stable_transport,89300302,True,True,True,True,True,True
L2RAR2_R23_L3_03_892003,L3C4_single_frame_contact_fault,89300303,True,False,True,True,True,True
L2RAR2_R23_L3_03_892003,L3C5_commanded_release,89300304,True,True,True,True,True,True
