actual_recovery_success,arm_id,candidate_error,case_id,failure_stage,false_executed_action,family_id,family_seed,final_task_success,fusion_enabled,goal_verifications,inner_recovery_loops,outer_recovery_cycles,proposal_source,proposal_time_ns,rearmed_loss_episodes,recovery_executions,recovery_required,rollout_seed,schema,signal_exposed,signal_not_observed,supervision_success,supervisor_v2_enabled,task_duration_s
False,F0_S0_CLP3_BASELINE,False,R25C1_contact_absence_edge_missing,SIGNAL_NOT_OBSERVED,False,L2RAR2_R25_FACTORIAL_00_898000,898000,False,False,[],0,0,,,0,[],True,89900000,l2rar2_r25_factorial_outcome_v1,False,True,False,False,3.799999999999963
False,F0_S1_SUPERVISOR_ONLY,False,R25C1_contact_absence_edge_missing,SIGNAL_NOT_OBSERVED,False,L2RAR2_R25_FACTORIAL_00_898000,898000,False,False,[],0,0,,,0,[],True,89900002,l2rar2_r25_factorial_outcome_v1,False,True,False,True,3.799999999999963
True,F1_S0_FUSION_ONLY,False,R25C1_contact_absence_edge_missing,,False,L2RAR2_R25_FACTORIAL_00_898000,898000,True,True,[True],1,1,SUSTAINED_CONTACT_ABSENCE,2650000000,0,"[{'duration_s': 6.399999999999864, 'failure_stage': None, 'loop_count': 1, 'loops': [{'hold_verification': {'duration_s': 0.5, 'max_relative_drift_m': 2.7999176182739415e-05, 'passed': True, 'samples': 50}, 'loop': 1, 'relocation_error_m': 0.0, 'relocation_ok': True}], 'success': True}]",True,89900001,l2rar2_r25_factorial_outcome_v1,True,False,True,False,9.049999999999851
True,F1_S1_FUSION_SUPERVISOR,False,R25C1_contact_absence_edge_missing,,False,L2RAR2_R25_FACTORIAL_00_898000,898000,True,True,[True],1,1,SUSTAINED_CONTACT_ABSENCE,2650000000,1,"[{'duration_s': 6.399999999999864, 'failure_stage': None, 'loop_count': 1, 'loops': [{'hold_verification': {'duration_s': 0.5, 'max_relative_drift_m': 2.7999176182739415e-05, 'passed': True, 'samples': 50}, 'loop': 1, 'relocation_error_m': 0.0, 'relocation_ok': True}], 'success': True}]",True,89900003,l2rar2_r25_factorial_outcome_v1,True,False,True,True,9.049999999999851
False,F0_S0_CLP3_BASELINE,False,R25C2_rgb_detach_contact_masked,SIGNAL_NOT_OBSERVED,False,L2RAR2_R25_FACTORIAL_00_898000,898000,False,False,[],0,0,,,0,[],True,89900010,l2rar2_r25_factorial_outcome_v1,False,True,False,False,3.799999999999963
False,F0_S1_SUPERVISOR_ONLY,False,R25C2_rgb_detach_contact_masked,SIGNAL_NOT_OBSERVED,False,L2RAR2_R25_FACTORIAL_00_898000,898000,False,False,[],0,0,,,0,[],True,89900012,l2rar2_r25_factorial_outcome_v1,False,True,False,True,3.799999999999963
True,F1_S0_FUSION_ONLY,False,R25C2_rgb_detach_contact_masked,,False,L2RAR2_R25_FACTORIAL_00_898000,898000,True,True,[True],1,1,REAL_RGB_DETACH,2650000000,0,"[{'duration_s': 6.399999999999864, 'failure_stage': None, 'loop_count': 1, 'loops': [{'hold_verification': {'duration_s': 0.5, 'max_relative_drift_m': 2.7999176182739415e-05, 'passed': True, 'samples': 50}, 'loop': 1, 'relocation_error_m': 0.0, 'relocation_ok': True}], 'success': True}]",True,89900011,l2rar2_r25_factorial_outcome_v1,True,False,True,False,9.049999999999851
True,F1_S1_FUSION_SUPERVISOR,False,R25C2_rgb_detach_contact_masked,,False,L2RAR2_R25_FACTORIAL_00_898000,898000,True,True,[True],1,1,REAL_RGB_DETACH,2650000000,1,"[{'duration_s': 6.399999999999864, 'failure_stage': None, 'loop_count': 1, 'loops': [{'hold_verification': {'duration_s': 0.5, 'max_relative_drift_m': 2.7999176182739415e-05, 'passed': True, 'samples': 50}, 'loop': 1, 'relocation_error_m': 0.0, 'relocation_ok': True}], 'success': True}]",True,89900013,l2rar2_r25_factorial_outcome_v1,True,False,True,True,9.049999999999851
False,F0_S0_CLP3_BASELINE,False,R25C3_transient_relocation_error,RELOCATION_ERROR,False,L2RAR2_R25_FACTORIAL_00_898000,898000,False,False,[False],2,1,CLP3,2550000000,0,"[{'duration_s': 3.999999999999915, 'failure_stage': 'RELOCATION_ERROR', 'loop_count': 2, 'loops': [{'hold_verification': {'duration_s': 0.0, 'max_relative_drift_m': None, 'passed': False, 'samples': 0}, 'loop': 1, 'relocation_error_m': 0.25, 'relocation_ok': False}, {'hold_verification': {'duration_s': 0.0, 'max_relative_drift_m': None, 'passed': False, 'samples': 0}, 'loop': 2, 'relocation_error_m': 0.25, 'relocation_ok': False}], 'success': False}]",True,89900020,l2rar2_r25_factorial_outcome_v1,True,False,False,False,6.549999999999905
True,F0_S1_SUPERVISOR_ONLY,False,R25C3_transient_relocation_error,,False,L2RAR2_R25_FACTORIAL_00_898000,898000,True,False,[True],3,2,CLP3,2550000000,1,"[{'duration_s': 3.999999999999915, 'failure_stage': 'RELOCATION_ERROR', 'loop_count': 2, 'loops': [{'hold_verification': {'duration_s': 0.0, 'max_relative_drift_m': None, 'passed': False, 'samples': 0}, 'loop': 1, 'relocation_error_m': 0.25, 'relocation_ok': False}, {'hold_verification': {'duration_s': 0.0, 'max_relative_drift_m': None, 'passed': False, 'samples': 0}, 'loop': 2, 'relocation_error_m': 0.25, 'relocation_ok': False}], 'success': False}, {'duration_s': 6.399999999999864, 'failure_stage': None, 'loop_count': 1, 'loops': [{'hold_verification': {'duration_s': 0.5, 'max_relative_drift_m': 0.00010241106555734102, 'passed': True, 'samples': 50}, 'loop': 1, 'relocation_error_m': 0.0, 'relocation_ok': True}], 'success': True}]",True,89900022,l2rar2_r25_factorial_outcome_v1,True,False,True,True,12.949999999999768
