scope,method,family,episodes,changed,first_evidence_changed,score_changed,state_changed,source_changed,reason_changed
method,B1,,208,208,0,0,208,28,208
family,B1,L2RAR2_R24_BOUNDARY_00_896000,24,24,0,0,24,3,24
family,B1,L2RAR2_R24_BOUNDARY_01_896001,24,24,0,0,24,3,24
family,B1,L2RAR2_R24_BOUNDARY_02_896002,24,24,0,0,24,3,24
family,B1,L2RAR2_R24_BOUNDARY_03_896003,24,24,0,0,24,3,24
family,B1,L2RAR2_R25_FACTORIAL_00_898000,28,28,0,0,28,4,28
family,B1,L2RAR2_R25_FACTORIAL_01_898001,28,28,0,0,28,4,28
family,B1,L2RAR2_R25_FACTORIAL_02_898002,28,28,0,0,28,4,28
family,B1,L2RAR2_R25_FACTORIAL_03_898003,28,28,0,0,28,4,28
method,B2,,208,208,0,0,208,87,208
family,B2,L2RAR2_R24_BOUNDARY_00_896000,24,24,0,0,24,3,24
family,B2,L2RAR2_R24_BOUNDARY_01_896001,24,24,0,0,24,24,24
family,B2,L2RAR2_R24_BOUNDARY_02_896002,24,24,0,0,24,21,24
family,B2,L2RAR2_R24_BOUNDARY_03_896003,24,24,0,0,24,3,24
family,B2,L2RAR2_R25_FACTORIAL_00_898000,28,28,0,0,28,4,28
family,B2,L2RAR2_R25_FACTORIAL_01_898001,28,28,0,0,28,4,28
family,B2,L2RAR2_R25_FACTORIAL_02_898002,28,28,0,0,28,24,28
family,B2,L2RAR2_R25_FACTORIAL_03_898003,28,28,0,0,28,4,28
method,B3,,208,208,0,0,208,87,208
family,B3,L2RAR2_R24_BOUNDARY_00_896000,24,24,0,0,24,3,24
family,B3,L2RAR2_R24_BOUNDARY_01_896001,24,24,0,0,24,24,24
family,B3,L2RAR2_R24_BOUNDARY_02_896002,24,24,0,0,24,21,24
family,B3,L2RAR2_R24_BOUNDARY_03_896003,24,24,0,0,24,3,24
family,B3,L2RAR2_R25_FACTORIAL_00_898000,28,28,0,0,28,4,28
family,B3,L2RAR2_R25_FACTORIAL_01_898001,28,28,0,0,28,4,28
family,B3,L2RAR2_R25_FACTORIAL_02_898002,28,28,0,0,28,24,28
family,B3,L2RAR2_R25_FACTORIAL_03_898003,28,28,0,0,28,4,28
