episode_id,root_family_id,case_id,arm_id,reference_state,is_target_observability_subset
L2RAR2_R27_SHADOW_00_902000__R27S1_stable_hold__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S1_stable_hold,R27_SHADOW_ONLY,NO_LOSS,False
L2RAR2_R27_SHADOW_00_902000__R27S2_supported_recovery_after_slip__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S2_supported_recovery_after_slip,R27_SHADOW_ONLY,NO_LOSS,False
L2RAR2_R27_SHADOW_00_902000__R27S3_slow_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S3_slow_detachment,R27_SHADOW_ONLY,NO_LOSS,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,R27_SHADOW_ONLY,LOSS,False
L2RAR2_R27_SHADOW_00_902000__R27S5_contact_occluded_true_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S5_contact_occluded_true_detachment,R27_SHADOW_ONLY,LOSS,False
L2RAR2_R27_SHADOW_00_902000__R27S6_active_release__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S6_active_release,R27_SHADOW_ONLY,COMMANDED_RELEASE,False
L2RAR2_R27_SHADOW_01_902001__R27S1_stable_hold__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_01_902001,R27S1_stable_hold,R27_SHADOW_ONLY,NO_LOSS,False
L2RAR2_R27_SHADOW_01_902001__R27S2_supported_recovery_after_slip__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_01_902001,R27S2_supported_recovery_after_slip,R27_SHADOW_ONLY,NO_LOSS,False
L2RAR2_R27_SHADOW_01_902001__R27S3_slow_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_01_902001,R27S3_slow_detachment,R27_SHADOW_ONLY,NO_LOSS,False
L2RAR2_R27_SHADOW_01_902001__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_01_902001,R27S4_fast_detachment,R27_SHADOW_ONLY,LOSS,False
L2RAR2_R27_SHADOW_01_902001__R27S5_contact_occluded_true_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_01_902001,R27S5_contact_occluded_true_detachment,R27_SHADOW_ONLY,LOSS,False
L2RAR2_R27_SHADOW_01_902001__R27S6_active_release__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_01_902001,R27S6_active_release,R27_SHADOW_ONLY,COMMANDED_RELEASE,False
L2RAR2_R27_SHADOW_02_902002__R27S1_stable_hold__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_02_902002,R27S1_stable_hold,R27_SHADOW_ONLY,NO_LOSS,False
L2RAR2_R27_SHADOW_02_902002__R27S2_supported_recovery_after_slip__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_02_902002,R27S2_supported_recovery_after_slip,R27_SHADOW_ONLY,NO_LOSS,False
L2RAR2_R27_SHADOW_02_902002__R27S3_slow_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_02_902002,R27S3_slow_detachment,R27_SHADOW_ONLY,NO_LOSS,False
L2RAR2_R27_SHADOW_02_902002__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_02_902002,R27S4_fast_detachment,R27_SHADOW_ONLY,LOSS,False
L2RAR2_R27_SHADOW_02_902002__R27S5_contact_occluded_true_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_02_902002,R27S5_contact_occluded_true_detachment,R27_SHADOW_ONLY,LOSS,False
L2RAR2_R27_SHADOW_02_902002__R27S6_active_release__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_02_902002,R27S6_active_release,R27_SHADOW_ONLY,COMMANDED_RELEASE,False
L2RAR2_R27_SHADOW_03_902003__R27S1_stable_hold__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_03_902003,R27S1_stable_hold,R27_SHADOW_ONLY,NO_LOSS,False
L2RAR2_R27_SHADOW_03_902003__R27S2_supported_recovery_after_slip__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_03_902003,R27S2_supported_recovery_after_slip,R27_SHADOW_ONLY,NO_LOSS,False
L2RAR2_R27_SHADOW_03_902003__R27S3_slow_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_03_902003,R27S3_slow_detachment,R27_SHADOW_ONLY,NO_LOSS,False
L2RAR2_R27_SHADOW_03_902003__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_03_902003,R27S4_fast_detachment,R27_SHADOW_ONLY,LOSS,False
L2RAR2_R27_SHADOW_03_902003__R27S5_contact_occluded_true_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_03_902003,R27S5_contact_occluded_true_detachment,R27_SHADOW_ONLY,LOSS,False
L2RAR2_R27_SHADOW_03_902003__R27S6_active_release__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_03_902003,R27S6_active_release,R27_SHADOW_ONLY,COMMANDED_RELEASE,False
