episode_id,root_family_id,case_id,arm_id,reference_state,is_target_observability_subset
L2RAR2_R24_BOUNDARY_00_896000__R24C1_delayed_contact_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000,R24C1_delayed_contact_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,False
L2RAR2_R24_BOUNDARY_00_896000__R24C1_delayed_contact_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000,R24C1_delayed_contact_loss,O_C3_RAW,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_00_896000__R24C1_delayed_contact_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000,R24C1_delayed_contact_loss,RECOVERY_DISABLED,LOSS,False
L2RAR2_R24_BOUNDARY_00_896000__R24C2_loss_signal_missing__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000,R24C2_loss_signal_missing,O_C3_CLP3_CANONICAL_TIME,LOSS,True
L2RAR2_R24_BOUNDARY_00_896000__R24C2_loss_signal_missing__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000,R24C2_loss_signal_missing,O_C3_RAW,LOSS,False
L2RAR2_R24_BOUNDARY_00_896000__R24C2_loss_signal_missing__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000,R24C2_loss_signal_missing,RECOVERY_DISABLED,LOSS,False
L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000,R24C3_partial_slip,O_C3_CLP3_CANONICAL_TIME,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000,R24C3_partial_slip,O_C3_RAW,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_00_896000__R24C3_partial_slip__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000,R24C3_partial_slip,RECOVERY_DISABLED,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000,R24C4_multisource_missing_then_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,True
L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000,R24C4_multisource_missing_then_loss,O_C3_RAW,LOSS,False
L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000,R24C4_multisource_missing_then_loss,RECOVERY_DISABLED,LOSS,False
L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000,R24C5_active_release_conflict,O_C3_CLP3_CANONICAL_TIME,COMMANDED_RELEASE,False
L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000,R24C5_active_release_conflict,O_C3_RAW,COMMANDED_RELEASE,False
L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000,R24C5_active_release_conflict,RECOVERY_DISABLED,COMMANDED_RELEASE,False
L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000,R24C6_relocation_error,O_C3_CLP3_CANONICAL_TIME,LOSS,False
L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000,R24C6_relocation_error,O_C3_RAW,LOSS,False
L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000,R24C6_relocation_error,RECOVERY_DISABLED,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000,R24C7_regrasp_disturbance,O_C3_CLP3_CANONICAL_TIME,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000,R24C7_regrasp_disturbance,O_C3_RAW,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000,R24C7_regrasp_disturbance,RECOVERY_DISABLED,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000,R24C8_secondary_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,False
L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000,R24C8_secondary_loss,O_C3_RAW,LOSS,False
L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000,R24C8_secondary_loss,RECOVERY_DISABLED,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_01_896001__R24C1_delayed_contact_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001,R24C1_delayed_contact_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,False
L2RAR2_R24_BOUNDARY_01_896001__R24C1_delayed_contact_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001,R24C1_delayed_contact_loss,O_C3_RAW,LOSS,False
L2RAR2_R24_BOUNDARY_01_896001__R24C1_delayed_contact_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001,R24C1_delayed_contact_loss,RECOVERY_DISABLED,LOSS,False
L2RAR2_R24_BOUNDARY_01_896001__R24C2_loss_signal_missing__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001,R24C2_loss_signal_missing,O_C3_CLP3_CANONICAL_TIME,LOSS,True
L2RAR2_R24_BOUNDARY_01_896001__R24C2_loss_signal_missing__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001,R24C2_loss_signal_missing,O_C3_RAW,LOSS,False
L2RAR2_R24_BOUNDARY_01_896001__R24C2_loss_signal_missing__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001,R24C2_loss_signal_missing,RECOVERY_DISABLED,LOSS,False
L2RAR2_R24_BOUNDARY_01_896001__R24C3_partial_slip__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001,R24C3_partial_slip,O_C3_CLP3_CANONICAL_TIME,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_01_896001__R24C3_partial_slip__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001,R24C3_partial_slip,O_C3_RAW,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_01_896001__R24C3_partial_slip__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001,R24C3_partial_slip,RECOVERY_DISABLED,UNRESOLVED,False
L2RAR2_R24_BOUNDARY_01_896001__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001,R24C4_multisource_missing_then_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,True
L2RAR2_R24_BOUNDARY_01_896001__R24C4_multisource_missing_then_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001,R24C4_multisource_missing_then_loss,O_C3_RAW,LOSS,False
L2RAR2_R24_BOUNDARY_01_896001__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001,R24C4_multisource_missing_then_loss,RECOVERY_DISABLED,LOSS,False
L2RAR2_R24_BOUNDARY_01_896001__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001,R24C5_active_release_conflict,O_C3_CLP3_CANONICAL_TIME,COMMANDED_RELEASE,False
L2RAR2_R24_BOUNDARY_01_896001__R24C5_active_release_conflict__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001,R24C5_active_release_conflict,O_C3_RAW,COMMANDED_RELEASE,False
L2RAR2_R24_BOUNDARY_01_896001__R24C5_active_release_conflict__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001,R24C5_active_release_conflict,RECOVERY_DISABLED,COMMANDED_RELEASE,False
L2RAR2_R24_BOUNDARY_01_896001__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001,R24C6_relocation_error,O_C3_CLP3_CANONICAL_TIME,LOSS,False
L2RAR2_R24_BOUNDARY_01_896001__R24C6_relocation_error__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001,R24C6_relocation_error,O_C3_RAW,LOSS,False
L2RAR2_R24_BOUNDARY_01_896001__R24C6_relocation_error__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001,R24C6_relocation_error,RECOVERY_DISABLED,LOSS,False
L2RAR2_R24_BOUNDARY_01_896001__R24C7_regrasp_disturbance__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001,R24C7_regrasp_disturbance,O_C3_CLP3_CANONICAL_TIME,LOSS,False
L2RAR2_R24_BOUNDARY_01_896001__R24C7_regrasp_disturbance__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001,R24C7_regrasp_disturbance,O_C3_RAW,LOSS,False
L2RAR2_R24_BOUNDARY_01_896001__R24C7_regrasp_disturbance__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001,R24C7_regrasp_disturbance,RECOVERY_DISABLED,LOSS,False
L2RAR2_R24_BOUNDARY_01_896001__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001,R24C8_secondary_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,False
L2RAR2_R24_BOUNDARY_01_896001__R24C8_secondary_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001,R24C8_secondary_loss,O_C3_RAW,LOSS,False
L2RAR2_R24_BOUNDARY_01_896001__R24C8_secondary_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001,R24C8_secondary_loss,RECOVERY_DISABLED,LOSS,False
L2RAR2_R24_BOUNDARY_02_896002__R24C1_delayed_contact_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002,R24C1_delayed_contact_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,False
L2RAR2_R24_BOUNDARY_02_896002__R24C1_delayed_contact_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002,R24C1_delayed_contact_loss,O_C3_RAW,LOSS,False
L2RAR2_R24_BOUNDARY_02_896002__R24C1_delayed_contact_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002,R24C1_delayed_contact_loss,RECOVERY_DISABLED,LOSS,False
L2RAR2_R24_BOUNDARY_02_896002__R24C2_loss_signal_missing__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002,R24C2_loss_signal_missing,O_C3_CLP3_CANONICAL_TIME,LOSS,True
L2RAR2_R24_BOUNDARY_02_896002__R24C2_loss_signal_missing__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002,R24C2_loss_signal_missing,O_C3_RAW,LOSS,False
L2RAR2_R24_BOUNDARY_02_896002__R24C2_loss_signal_missing__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002,R24C2_loss_signal_missing,RECOVERY_DISABLED,LOSS,False
L2RAR2_R24_BOUNDARY_02_896002__R24C3_partial_slip__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002,R24C3_partial_slip,O_C3_CLP3_CANONICAL_TIME,UNRESOLVED,False
