episode_id,paired_condition_id,root_family_id,arm_id
L2RAR2_R27_SHADOW_00_902000__R27S1_stable_hold__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000::R27S1_stable_hold,L2RAR2_R27_SHADOW_00_902000,R27_SHADOW_ONLY
L2RAR2_R27_SHADOW_00_902000__R27S2_supported_recovery_after_slip__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000::R27S2_supported_recovery_after_slip,L2RAR2_R27_SHADOW_00_902000,R27_SHADOW_ONLY
L2RAR2_R27_SHADOW_00_902000__R27S3_slow_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000::R27S3_slow_detachment,L2RAR2_R27_SHADOW_00_902000,R27_SHADOW_ONLY
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000::R27S4_fast_detachment,L2RAR2_R27_SHADOW_00_902000,R27_SHADOW_ONLY
L2RAR2_R27_SHADOW_00_902000__R27S5_contact_occluded_true_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000::R27S5_contact_occluded_true_detachment,L2RAR2_R27_SHADOW_00_902000,R27_SHADOW_ONLY
L2RAR2_R27_SHADOW_00_902000__R27S6_active_release__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000::R27S6_active_release,L2RAR2_R27_SHADOW_00_902000,R27_SHADOW_ONLY
L2RAR2_R27_SHADOW_01_902001__R27S1_stable_hold__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_01_902001::R27S1_stable_hold,L2RAR2_R27_SHADOW_01_902001,R27_SHADOW_ONLY
L2RAR2_R27_SHADOW_01_902001__R27S2_supported_recovery_after_slip__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_01_902001::R27S2_supported_recovery_after_slip,L2RAR2_R27_SHADOW_01_902001,R27_SHADOW_ONLY
L2RAR2_R27_SHADOW_01_902001__R27S3_slow_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_01_902001::R27S3_slow_detachment,L2RAR2_R27_SHADOW_01_902001,R27_SHADOW_ONLY
L2RAR2_R27_SHADOW_01_902001__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_01_902001::R27S4_fast_detachment,L2RAR2_R27_SHADOW_01_902001,R27_SHADOW_ONLY
