method,horizon_ns,episodes,reference_loss_episodes,fully_observed_loss_episodes,on_time,early,late,missed,right_censored,all_no_loss_episodes,false_loss_events
B1,100000000,24,8,8,0,0,0,8,0,16,0
B1,250000000,24,8,8,0,0,0,8,0,16,0
B1,500000000,24,8,8,0,0,0,8,0,16,0
B1,750000000,24,8,8,0,0,0,8,0,16,0
B1,1000000000,24,8,8,0,0,0,8,0,16,0
B2,100000000,24,8,8,0,0,0,8,0,16,0
B2,250000000,24,8,8,0,0,0,8,0,16,0
B2,500000000,24,8,8,2,0,0,6,0,16,0
B2,750000000,24,8,8,2,0,0,6,0,16,0
B2,1000000000,24,8,8,2,0,0,6,0,16,0
B3,100000000,24,8,8,0,0,0,8,0,16,0
B3,250000000,24,8,8,0,0,0,8,0,16,0
B3,500000000,24,8,8,2,0,0,6,0,16,0
B3,750000000,24,8,8,2,0,0,6,0,16,0
B3,1000000000,24,8,8,2,0,0,6,0,16,0
