artifact_id,task_id,raw_path,resolved_path,exists,loader,provenance,data_role,raw_fields,action_semantics,timestamps_available,terminal_reason_available,goal_evaluator_id,source_policy_id,root_family_id,previously_used_as_test,reason
transport_dual_order__0052,transport_dual_order,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_dual_order__0052.json,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_dual_order__0052.json,true,json_states,deterministic_state_machine_probe,legacy_diagnostic,"states[eef_pos,object_pos,target_pos,gripper_state,action]",recorded_state_action_unverified,false,false,not_verified,scripted_oracle,d0369abdc1e18f99,false,legacy stage4 source; do not use for new U1 test
transport_dual_order__0072,transport_dual_order,artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_dual_order__0072.json,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage2/rounds/stage2_2_targeted_collection/jobs/synthetic/transport_dual_order__0072.json,true,json_states,deterministic_state_machine_probe,legacy_diagnostic,"states[eef_pos,object_pos,target_pos,gripper_state,action]",recorded_state_action_unverified,false,false,not_verified,scripted_oracle,f17b5015f86d31cb,false,legacy stage4 source; do not use for new U1 test
transport_dual_order__A_first__000,transport_dual_order,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_dual_order__A_first__000.npz,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_dual_order__A_first__000.npz,true,npz_rollout,deterministic_state_machine_probe,learnable,"observations,action_applied,env_rewards",actual_applied,false,true,TransportGraphEnv.info.success,scripted_env_controller,transport_dual_order__A_first_group_000,false,existing scripted environment rollout; mechanism-only evidence
transport_dual_order__A_first__001,transport_dual_order,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_dual_order__A_first__001.npz,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_dual_order__A_first__001.npz,true,npz_rollout,deterministic_state_machine_probe,learnable,"observations,action_applied,env_rewards",actual_applied,false,true,TransportGraphEnv.info.success,scripted_env_controller,transport_dual_order__A_first_group_001,false,existing scripted environment rollout; mechanism-only evidence
transport_dual_order__A_first__002,transport_dual_order,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_dual_order__A_first__002.npz,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_dual_order__A_first__002.npz,true,npz_rollout,deterministic_state_machine_probe,learnable,"observations,action_applied,env_rewards",actual_applied,false,true,TransportGraphEnv.info.success,scripted_env_controller,transport_dual_order__A_first_group_002,false,existing scripted environment rollout; mechanism-only evidence
transport_dual_order__A_first__003,transport_dual_order,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_dual_order__A_first__003.npz,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_dual_order__A_first__003.npz,true,npz_rollout,deterministic_state_machine_probe,learnable,"observations,action_applied,env_rewards",actual_applied,false,true,TransportGraphEnv.info.success,scripted_env_controller,transport_dual_order__A_first_group_003,false,existing scripted environment rollout; mechanism-only evidence
transport_dual_order__A_first__004,transport_dual_order,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_dual_order__A_first__004.npz,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_dual_order__A_first__004.npz,true,npz_rollout,deterministic_state_machine_probe,learnable,"observations,action_applied,env_rewards",actual_applied,false,true,TransportGraphEnv.info.success,scripted_env_controller,transport_dual_order__A_first_group_004,false,existing scripted environment rollout; mechanism-only evidence
transport_dual_order__A_first__005,transport_dual_order,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_dual_order__A_first__005.npz,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_dual_order__A_first__005.npz,true,npz_rollout,deterministic_state_machine_probe,learnable,"observations,action_applied,env_rewards",actual_applied,false,true,TransportGraphEnv.info.success,scripted_env_controller,transport_dual_order__A_first_group_005,false,existing scripted environment rollout; mechanism-only evidence
transport_dual_order__A_first__006,transport_dual_order,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_dual_order__A_first__006.npz,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_dual_order__A_first__006.npz,true,npz_rollout,deterministic_state_machine_probe,learnable,"observations,action_applied,env_rewards",actual_applied,false,true,TransportGraphEnv.info.success,scripted_env_controller,transport_dual_order__A_first_group_006,false,existing scripted environment rollout; mechanism-only evidence
transport_dual_order__A_first__007,transport_dual_order,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_dual_order__A_first__007.npz,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_dual_order__A_first__007.npz,true,npz_rollout,deterministic_state_machine_probe,learnable,"observations,action_applied,env_rewards",actual_applied,false,true,TransportGraphEnv.info.success,scripted_env_controller,transport_dual_order__A_first_group_007,false,existing scripted environment rollout; mechanism-only evidence
transport_dual_order__A_first__008,transport_dual_order,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_dual_order__A_first__008.npz,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_dual_order__A_first__008.npz,true,npz_rollout,deterministic_state_machine_probe,learnable,"observations,action_applied,env_rewards",actual_applied,false,true,TransportGraphEnv.info.success,scripted_env_controller,transport_dual_order__A_first_group_008,false,existing scripted environment rollout; mechanism-only evidence
transport_dual_order__A_first__009,transport_dual_order,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_dual_order__A_first__009.npz,/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/policy_data_v1/episodes/transport_dual_order__A_first__009.npz,true,npz_rollout,deterministic_state_machine_probe,learnable,"observations,action_applied,env_rewards",actual_applied,false,true,TransportGraphEnv.info.success,scripted_env_controller,transport_dual_order__A_first_group_009,false,existing scripted environment rollout; mechanism-only evidence
