root,path,name,size_bytes,mtime_utc,sha256,match_terms,status
/home/__compress_data/xushijie/graph_l2ra_r2_r13_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1,/home/__compress_data/xushijie/graph_l2ra_r2_r13_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/actual_commands.txt,actual_commands.txt,320,2026-09-10T06:42:11.933942+00:00,9233899d49ef0f9bcd4e625e7c76dd8ea6a72e96013808b4db0a2dd37bc5021a,command,FOUND_EXISTING_FILE
/home/__compress_data/xushijie/graph_l2ra_r2_r13_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1,/home/__compress_data/xushijie/graph_l2ra_r2_r13_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/event_chain_trace.csv,event_chain_trace.csv,11471,2026-09-10T06:42:11.936381+00:00,98284e7ba87d7b8d4989fa57b515c0ddfa0ce1bbea5e8651c3ca9290dadfef47,trace,FOUND_EXISTING_FILE
/home/__compress_data/xushijie/graph_l2ra_r2_r13_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1,/home/__compress_data/xushijie/graph_l2ra_r2_r13_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/physics_probe_manifest.json,physics_probe_manifest.json,3686,2026-09-10T06:42:11.936982+00:00,227495e117d575bd0b5f5bcaa3181f56b4b619a67721ef6dcb4461ac4fee48c9,"probe,manifest",FOUND_EXISTING_FILE
/home/__compress_data/xushijie/graph_l2ra_r2_r13_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1,/home/__compress_data/xushijie/graph_l2ra_r2_r13_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/physics_probe_trace.csv,physics_probe_trace.csv,648427,2026-09-10T06:42:11.938859+00:00,f4c32e559a29b218d4b624bbda0ac1eab91b8546fd019c132283bb598ac89476,"probe,trace",FOUND_EXISTING_FILE
/home/__compress_data/xushijie/graph_l2ra_r2_r13_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1,/home/__compress_data/xushijie/graph_l2ra_r2_r13_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/probe_cached_equivalence.json,probe_cached_equivalence.json,3349,2026-09-10T06:42:11.938974+00:00,a1a534818ac7f151cd7433196b6a0da36abf8275ac750cacff50abe0b23924d2,"probe,equivalence",FOUND_EXISTING_FILE
/home/__compress_data/xushijie/graph_l2ra_r2_r13_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1,/home/__compress_data/xushijie/graph_l2ra_r2_r13_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/probe_execution_ledger.csv,probe_execution_ledger.csv,677,2026-09-10T06:42:11.939047+00:00,25e92b3781c41ee3a3c15aa28c30a10be01b3476422956af9de8436398b98080,"probe,ledger",FOUND_EXISTING_FILE
/home/__compress_data/xushijie/graph_l2ra_r2_r13_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1,/home/__compress_data/xushijie/graph_l2ra_r2_r13_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/run_manifest.json,run_manifest.json,4543,2026-09-10T06:42:11.939366+00:00,e52d23916c13ab7d004396eb80a57c1e46a77597f53e6329757b99a91dd5e4cd,manifest,FOUND_EXISTING_FILE
/home/__compress_data/xushijie/graph_l2ra_r2_r13_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1,/home/__compress_data/xushijie/graph_l2ra_r2_r13_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/baseline_replay/actual_commands.txt,actual_commands.txt,451,2026-09-10T06:42:11.934089+00:00,4508ba574328e719ab9bdb5ebe151808eda75e1537c69b27ff7ae2d7a60c2c8f,command,FOUND_EXISTING_FILE
/home/__compress_data/xushijie/graph_l2ra_r2_r13_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1,/home/__compress_data/xushijie/graph_l2ra_r2_r13_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/baseline_replay/interface_repair_trace.jsonl,interface_repair_trace.jsonl,382190,2026-09-10T06:42:11.934757+00:00,dfd6f33318a6a57628b64a00902f7dc8118920958c691090416cfbdcf4a4c548,trace,FOUND_EXISTING_FILE
/home/__compress_data/xushijie/graph_l2ra_r2_r13_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1,/home/__compress_data/xushijie/graph_l2ra_r2_r13_worktree/artifacts/pathgraph_sarm/upgrade_v2/loss_observability_l2rar2_r11_v1/baseline_replay/run_manifest.json,run_manifest.json,2319,2026-09-10T06:42:11.934982+00:00,37c5e37fe05c9c65bbed8407335fa6dc03b737e8e1892bf722d3e05b40292abc,manifest,FOUND_EXISTING_FILE
