method_id,task_id,suite,provenance,metric,n_parent_groups,n_events,value,ci_low,ci_high,status,reason,input_id,checkpoint_sha256,scorer_version,split_version,label_source
time_fraction_oracle,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,1.0,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__000,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_A,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,0.7285230272524036,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__000,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_B,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.7285230272524035,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__000,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
manual_graph_topology_v2,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.6942140383315927,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__000,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
time_fraction_oracle,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,1.0,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__001,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_A,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,0.7285241588670687,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__001,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_B,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.7285241588670686,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__001,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
manual_graph_topology_v2,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.6942135414972963,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__001,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
time_fraction_oracle,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,1.0,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__002,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_A,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,0.7285224044034221,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__002,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_B,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.7285224044034222,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__002,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
manual_graph_topology_v2,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.6942162191601691,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__002,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
time_fraction_oracle,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,1.0,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__003,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_A,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,0.7285222737787632,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__003,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_B,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.7285222737787631,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__003,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
manual_graph_topology_v2,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.6942167311101344,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__003,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
time_fraction_oracle,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,1.0,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__004,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_A,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,0.7285245978814623,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__004,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_B,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.7285245978814623,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__004,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
manual_graph_topology_v2,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.6942123033353507,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__004,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
time_fraction_oracle,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,1.0,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__005,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_A,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,0.7285218850709163,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__005,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_B,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.7285218850709163,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__005,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
manual_graph_topology_v2,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.694219675914407,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__005,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
time_fraction_oracle,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,1.0,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__006,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_A,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,0.7285228825828306,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__006,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_B,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.7285228825828307,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__006,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
manual_graph_topology_v2,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.6942162759377144,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__006,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
time_fraction_oracle,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,1.0,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__007,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_A,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,0.728522766054616,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__007,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_B,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.7285227660546161,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__007,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
manual_graph_topology_v2,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.6942161390314763,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__007,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
time_fraction_oracle,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,1.0,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__008,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_A,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,0.7285244968944428,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__008,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_B,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.7285244968944427,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__008,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
manual_graph_topology_v2,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.6942110225826656,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__008,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
time_fraction_oracle,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,1.0,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__009,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_A,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,0.7285222136013412,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__009,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_B,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.7285222136013414,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__009,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
manual_graph_topology_v2,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.6942167718569454,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__009,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
time_fraction_oracle,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,1.0,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__010,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_A,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,0.7285236909666806,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__010,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
learned_fixed_chain_proxy_B,transport_dual_order,mechanism_legacy_recompute,deterministic_state_machine_probe,episode_signed_return,1,15,-0.7285236909666808,,,computed,mechanism-only; not a U1 independent test,transport_dual_order__A_first__010,ee3c4aea451a8be78008339826d945df9bca2b86990892fc371c301c3fa53f8a,baseline_spec_v2,legacy_existing,none
