artifact_id,status,reason,n_observations,n_actions,n_transitions
transport_dual_order__0052,canonicalized,recorded_state_action_unverified,120,120,119
transport_dual_order__0072,canonicalized,recorded_state_action_unverified,120,120,119
transport_dual_order__A_first__000,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__001,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__002,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__003,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__004,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__005,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__006,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__007,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__008,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__009,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__010,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__011,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__012,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__013,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__014,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__015,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__016,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__017,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__018,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__019,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__020,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__021,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__022,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__023,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__024,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__025,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__026,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__027,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__028,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__029,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__030,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__031,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__032,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__033,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__034,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__035,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__036,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__037,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__038,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__039,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__040,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__041,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__042,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__043,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__044,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__045,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__046,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__047,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__048,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__049,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__050,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__051,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__052,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__053,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__054,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__055,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__056,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__057,canonicalized,actual_applied,16,16,15
transport_dual_order__A_first__058,canonicalized,actual_applied,16,16,15
