method,case_id,events,root_families,estimable_events,reference_unresolved,correct,recall_or_specificity,false_emergency
D0_generic_attempt_end,K1_hold_request_ends_without_hold,8,8,8,0,8,1.0,0
D0_generic_attempt_end,K4_regular_hold_loss,8,8,3,5,3,,0
D0_generic_attempt_end,K5_brief_hold_loss,8,8,4,4,3,,0
D0_generic_attempt_end,K6_long_gap_after_loss,8,8,3,5,3,,0
D0_generic_attempt_end,K2_touch_request_completes_without_hold,8,8,8,0,0,0.0,8
D0_generic_attempt_end,K3_normal_hold_pause_resume,8,8,3,5,3,,0
D0_generic_attempt_end,K7_commanded_release,8,8,8,0,8,1.0,0
D0_generic_attempt_end,K8_acquisition_touch_then_continue,8,8,8,0,6,0.75,2
M1_requested_effect_gate,K1_hold_request_ends_without_hold,8,8,8,0,8,1.0,0
M1_requested_effect_gate,K4_regular_hold_loss,8,8,3,5,3,,0
M1_requested_effect_gate,K5_brief_hold_loss,8,8,4,4,3,,0
M1_requested_effect_gate,K6_long_gap_after_loss,8,8,3,5,3,,0
M1_requested_effect_gate,K2_touch_request_completes_without_hold,8,8,8,0,6,0.75,2
M1_requested_effect_gate,K3_normal_hold_pause_resume,8,8,3,5,3,,0
M1_requested_effect_gate,K7_commanded_release,8,8,8,0,8,1.0,0
M1_requested_effect_gate,K8_acquisition_touch_then_continue,8,8,8,0,6,0.75,2
