rollout_id,case_id,reason
L2RAR2_SELECT_01_820001:K3_normal_hold_pause_resume,K3_normal_hold_pause_resume,pause case did not establish frozen physical hold proxy
L2RAR2_SELECT_01_820001:K4_regular_hold_loss,K4_regular_hold_loss,held loss lacks frozen physical proxy support
L2RAR2_SELECT_01_820001:K5_brief_hold_loss,K5_brief_hold_loss,held loss lacks frozen physical proxy support
L2RAR2_SELECT_01_820001:K6_long_gap_after_loss,K6_long_gap_after_loss,held loss lacks frozen physical proxy support
L2RAR2_SELECT_03_820003:K3_normal_hold_pause_resume,K3_normal_hold_pause_resume,pause case did not establish frozen physical hold proxy
L2RAR2_SELECT_03_820003:K4_regular_hold_loss,K4_regular_hold_loss,held loss lacks frozen physical proxy support
L2RAR2_SELECT_03_820003:K6_long_gap_after_loss,K6_long_gap_after_loss,held loss lacks frozen physical proxy support
L2RAR2_SELECT_05_820005:K3_normal_hold_pause_resume,K3_normal_hold_pause_resume,pause case did not establish frozen physical hold proxy
L2RAR2_SELECT_05_820005:K4_regular_hold_loss,K4_regular_hold_loss,held loss lacks frozen physical proxy support
L2RAR2_SELECT_05_820005:K5_brief_hold_loss,K5_brief_hold_loss,held loss lacks frozen physical proxy support
L2RAR2_SELECT_05_820005:K6_long_gap_after_loss,K6_long_gap_after_loss,held loss lacks frozen physical proxy support
L2RAR2_SELECT_06_820006:K3_normal_hold_pause_resume,K3_normal_hold_pause_resume,pause case did not establish frozen physical hold proxy
L2RAR2_SELECT_06_820006:K4_regular_hold_loss,K4_regular_hold_loss,held loss lacks frozen physical proxy support
L2RAR2_SELECT_06_820006:K5_brief_hold_loss,K5_brief_hold_loss,held loss lacks frozen physical proxy support
L2RAR2_SELECT_06_820006:K6_long_gap_after_loss,K6_long_gap_after_loss,held loss lacks frozen physical proxy support
L2RAR2_SELECT_07_820007:K3_normal_hold_pause_resume,K3_normal_hold_pause_resume,pause case did not establish frozen physical hold proxy
L2RAR2_SELECT_07_820007:K4_regular_hold_loss,K4_regular_hold_loss,held loss lacks frozen physical proxy support
L2RAR2_SELECT_07_820007:K5_brief_hold_loss,K5_brief_hold_loss,held loss lacks frozen physical proxy support
L2RAR2_SELECT_07_820007:K6_long_gap_after_loss,K6_long_gap_after_loss,held loss lacks frozen physical proxy support
