rollout_id,root_family_id,case_id,original_reference_reason,original_reference_status,diagnostic_category,suggested_owner,dense_rows,action_end_rows,oracle_rows,event_names,contact_loss_time,oracle_hold_interval_count,oracle_verified_hold_interval_count,loss_inside_oracle_hold_interval,first_online_hold_evidence_time,first_online_hold_memory_time,online_hold_evidence_observed,online_hold_memory_observed,max_oracle_relative_drift_m,oracle_relative_drift_limit_m,relative_drift_excess_m,max_oracle_object_displacement_m,oracle_interval_summary,integrity_issues,online_feature_sources
L2RAR2_SELECT_01_820001:K3_normal_hold_pause_resume,L2RAR2_SELECT_01_820001,K3_normal_hold_pause_resume,pause case did not establish frozen physical hold proxy,reference_unresolved,physical_proxy_present_but_outside_frozen_condition,reference_proxy_or_collection_geometry,30,8,38,contact_established,,1,0,False,0.55,0.55,True,True,0.020417219461711274,0.02,0.0004172194617112733,0.6506191382431669,"[{""duration_seconds"": 1.05, ""end_time"": 1.5, ""maximum_relative_position_drift_m"": 0.020417219461711274, ""object_displacement_m"": 0.6506191382431669, ""object_displacement_pass"": true, ""relative_drift_pass"": false, ""sample_count"": 27, ""start_time"": 0.45, ""status"": ""reference_unresolved""}]",,dense observations only; oracle/events are reference-only
L2RAR2_SELECT_01_820001:K4_regular_hold_loss,L2RAR2_SELECT_01_820001,K4_regular_hold_loss,held loss lacks frozen physical proxy support,reference_unresolved,physical_proxy_present_but_outside_frozen_condition,reference_proxy_or_collection_geometry,28,6,34,"contact_established,contact_lost",0.85,1,0,True,0.55,0.55,True,True,0.020417219461711263,0.02,0.0004172194617112629,0.3571407173605525,"[{""duration_seconds"": 0.45, ""end_time"": 0.9, ""maximum_relative_position_drift_m"": 0.020417219461711263, ""object_displacement_m"": 0.3571407173605525, ""object_displacement_pass"": true, ""relative_drift_pass"": false, ""sample_count"": 10, ""start_time"": 0.45, ""status"": ""reference_unresolved""}]",,dense observations only; oracle/events are reference-only
L2RAR2_SELECT_01_820001:K5_brief_hold_loss,L2RAR2_SELECT_01_820001,K5_brief_hold_loss,held loss lacks frozen physical proxy support,reference_unresolved,physical_proxy_present_but_outside_frozen_condition,reference_proxy_or_collection_geometry,25,6,31,"contact_established,contact_lost",0.7,1,0,True,0.55,0.55,True,True,0.020417219461711263,0.02,0.0004172194617112629,0.3571407173605525,"[{""duration_seconds"": 0.3, ""end_time"": 0.75, ""maximum_relative_position_drift_m"": 0.020417219461711263, ""object_displacement_m"": 0.3571407173605525, ""object_displacement_pass"": true, ""relative_drift_pass"": false, ""sample_count"": 7, ""start_time"": 0.45, ""status"": ""reference_unresolved""}]",,dense observations only; oracle/events are reference-only
L2RAR2_SELECT_01_820001:K6_long_gap_after_loss,L2RAR2_SELECT_01_820001,K6_long_gap_after_loss,held loss lacks frozen physical proxy support,reference_unresolved,physical_proxy_present_but_outside_frozen_condition,reference_proxy_or_collection_geometry,43,11,54,"contact_established,contact_lost",0.85,1,0,True,0.55,0.55,True,True,0.020417219461711263,0.02,0.0004172194617112629,0.3571407173605525,"[{""duration_seconds"": 0.45, ""end_time"": 0.9, ""maximum_relative_position_drift_m"": 0.020417219461711263, ""object_displacement_m"": 0.3571407173605525, ""object_displacement_pass"": true, ""relative_drift_pass"": false, ""sample_count"": 10, ""start_time"": 0.45, ""status"": ""reference_unresolved""}]",,dense observations only; oracle/events are reference-only
L2RAR2_SELECT_03_820003:K3_normal_hold_pause_resume,L2RAR2_SELECT_03_820003,K3_normal_hold_pause_resume,pause case did not establish frozen physical hold proxy,reference_unresolved,physical_proxy_present_but_outside_frozen_condition,reference_proxy_or_collection_geometry,30,8,38,contact_established,,1,0,False,0.5,0.5,True,True,0.02079110043020108,0.02,0.0007911004302010791,0.6834014034986898,"[{""duration_seconds"": 1.05, ""end_time"": 1.5, ""maximum_relative_position_drift_m"": 0.02079110043020108, ""object_displacement_m"": 0.6834014034986898, ""object_displacement_pass"": true, ""relative_drift_pass"": false, ""sample_count"": 27, ""start_time"": 0.45, ""status"": ""reference_unresolved""}]",,dense observations only; oracle/events are reference-only
L2RAR2_SELECT_03_820003:K4_regular_hold_loss,L2RAR2_SELECT_03_820003,K4_regular_hold_loss,held loss lacks frozen physical proxy support,reference_unresolved,physical_proxy_present_but_outside_frozen_condition,reference_proxy_or_collection_geometry,28,6,34,"contact_established,contact_lost",0.85,1,0,True,0.5,0.5,True,True,0.020791100430201076,0.02,0.0007911004302010756,0.3791706485708564,"[{""duration_seconds"": 0.45, ""end_time"": 0.9, ""maximum_relative_position_drift_m"": 0.020791100430201076, ""object_displacement_m"": 0.3791706485708564, ""object_displacement_pass"": true, ""relative_drift_pass"": false, ""sample_count"": 10, ""start_time"": 0.45, ""status"": ""reference_unresolved""}]",,dense observations only; oracle/events are reference-only
L2RAR2_SELECT_03_820003:K6_long_gap_after_loss,L2RAR2_SELECT_03_820003,K6_long_gap_after_loss,held loss lacks frozen physical proxy support,reference_unresolved,physical_proxy_present_but_outside_frozen_condition,reference_proxy_or_collection_geometry,43,11,54,"contact_established,contact_lost",0.85,1,0,True,0.5,0.5,True,True,0.020791100430201076,0.02,0.0007911004302010756,0.3791706485708564,"[{""duration_seconds"": 0.45, ""end_time"": 0.9, ""maximum_relative_position_drift_m"": 0.020791100430201076, ""object_displacement_m"": 0.3791706485708564, ""object_displacement_pass"": true, ""relative_drift_pass"": false, ""sample_count"": 10, ""start_time"": 0.45, ""status"": ""reference_unresolved""}]",,dense observations only; oracle/events are reference-only
L2RAR2_SELECT_05_820005:K3_normal_hold_pause_resume,L2RAR2_SELECT_05_820005,K3_normal_hold_pause_resume,pause case did not establish frozen physical hold proxy,reference_unresolved,physical_proxy_present_but_outside_frozen_condition,reference_proxy_or_collection_geometry,30,8,38,contact_established,,1,0,False,0.55,0.55,True,True,0.020304816293229735,0.02,0.00030481629322973505,0.7315365802932249,"[{""duration_seconds"": 1.05, ""end_time"": 1.5, ""maximum_relative_position_drift_m"": 0.020304816293229735, ""object_displacement_m"": 0.7315365802932249, ""object_displacement_pass"": true, ""relative_drift_pass"": false, ""sample_count"": 27, ""start_time"": 0.45, ""status"": ""reference_unresolved""}]",,dense observations only; oracle/events are reference-only
L2RAR2_SELECT_05_820005:K4_regular_hold_loss,L2RAR2_SELECT_05_820005,K4_regular_hold_loss,held loss lacks frozen physical proxy support,reference_unresolved,physical_proxy_present_but_outside_frozen_condition,reference_proxy_or_collection_geometry,28,6,34,"contact_established,contact_lost",0.85,1,0,True,0.55,0.55,True,True,0.020304816293229715,0.02,0.00030481629322971424,0.3946858541461658,"[{""duration_seconds"": 0.45, ""end_time"": 0.9, ""maximum_relative_position_drift_m"": 0.020304816293229715, ""object_displacement_m"": 0.3946858541461658, ""object_displacement_pass"": true, ""relative_drift_pass"": false, ""sample_count"": 10, ""start_time"": 0.45, ""status"": ""reference_unresolved""}]",,dense observations only; oracle/events are reference-only
L2RAR2_SELECT_05_820005:K5_brief_hold_loss,L2RAR2_SELECT_05_820005,K5_brief_hold_loss,held loss lacks frozen physical proxy support,reference_unresolved,physical_proxy_present_but_outside_frozen_condition,reference_proxy_or_collection_geometry,25,6,31,"contact_established,contact_lost",0.7,1,0,True,0.55,0.55,True,True,0.020304816293229715,0.02,0.00030481629322971424,0.3946858541461658,"[{""duration_seconds"": 0.3, ""end_time"": 0.75, ""maximum_relative_position_drift_m"": 0.020304816293229715, ""object_displacement_m"": 0.3946858541461658, ""object_displacement_pass"": true, ""relative_drift_pass"": false, ""sample_count"": 7, ""start_time"": 0.45, ""status"": ""reference_unresolved""}]",,dense observations only; oracle/events are reference-only
