rollout_id,root_family_id,case_id,time,capture_order,source_phase,front_path,front_sha256,attempt_id,attempt_phase,attempt_active,attempt_end,attempt_end_reason,contact_present,gripper_command,object_centroid,gripper_centroid,object_confidence,gripper_confidence,observation_masked,hold_evidence,hold_memory,effective_motion_interval,object_displacement_norm,gripper_displacement_norm,direction_cosine,relative_vector_error,nearest_action_end_time,action_end_alignment_seconds
L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,0.05,0,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K2_touch_request_completes_without_hold/rgb/front/frame_00000.jpg,48b8f5d5943be4b137bdb4405118a66b15621ffe48d71769563c429ae450c7a2,1,inactive,False,False,,False,open,"[67.10828025477707,79.11677282377919]","[65.21231422505308,72.21549893842887]",1.0,1.0,False,false,false,False,,,,,,
L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,0.1,1,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K2_touch_request_completes_without_hold/rgb/front/frame_00001.jpg,6446d3c7aa8ea0d46202426b56c0f58442476fd8e40c64a9378480bf399ae427,1,inactive,False,False,,False,open,"[67.10828025477707,79.11677282377919]","[65.08811040339702,72.22505307855626]",1.0,1.0,False,false,false,True,0.0,0.0005190447774842971,,,,
L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,0.15,3,action_end,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K2_touch_request_completes_without_hold/rgb/front/frame_00003.jpg,0dd9adec54ca0159a45641c50d0306da3b8883d9f9a02682c6c4c49e26b78bf9,1,inactive,False,False,,False,open,"[67.10828025477707,79.11677282377919]","[65.1072186836518,72.22505307855626]",1.0,1.0,False,false,false,True,0.0,7.961783439487391e-05,,,0.15,0.0
L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,0.2,4,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K2_touch_request_completes_without_hold/rgb/front/frame_00004.jpg,7c6dc3758a7fbc1430431caf4c7e17f37c849a15cc2030b039c61951b9b2a3c3,1,acquiring,True,False,,False,open,"[67.53439153439153,79.19753086419752]","[65.88624338624338,71.53042328042326]",1.0,0.84,False,false,false,True,0.0018070688921627332,0.004348910391356887,0.6093994542128407,0.5766235383323667,0.15,0.05000000000000002
L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,0.25,5,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K2_touch_request_completes_without_hold/rgb/front/frame_00005.jpg,5a1ea756805b7ef8efd3246ecbf41ce08551ba848e73c248d03084072f840843,1,acquiring,True,False,,False,open,"[68.06734006734006,77.68013468013467]","[66.77631578947368,70.89181286549707]",1.0,0.76,False,false,false,True,0.006701115835488384,0.004564453814997213,0.8192653758917852,0.35083995853622674,0.15,0.1
L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,0.3,6,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K2_touch_request_completes_without_hold/rgb/front/frame_00006.jpg,7656d6173ff5ba0122d679a34e85b413d4ea750952054e31a48a30f158e98472,1,acquiring,True,False,,False,open,"[68.73366013071895,77.92647058823529]","[68.53275109170306,70.5589519650655]",1.0,0.7633333333333333,False,false,false,True,0.0029599872327550677,0.007448738416151562,0.856987585714218,0.4941491543726642,0.15,0.15
L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,0.35,8,action_end,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K2_touch_request_completes_without_hold/rgb/front/frame_00008.jpg,4b26009a4b7dc538d63a75e2fc6b025528ce273661e86933f5fd24726fb76edf,1,acquiring,True,False,,False,open,"[69.08333333333333,78.64545454545454]","[70.03799654576856,69.04835924006908]",1.0,0.6433333333333333,False,false,false,True,0.0033312735285943463,0.008885512414291656,-0.3283048103301784,0.8564877444174467,0.35,0.0
L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,0.4,9,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K2_touch_request_completes_without_hold/rgb/front/frame_00009.jpg,56f4353776b012e474d39253293655c67c2cc90a760b1c37ea277d240714544f,1,acquiring,True,False,,True,closed,"[69.0669710806697,78.67427701674276]","[70.03799654576856,69.04835924006908]",1.0,0.6433333333333333,False,unknown,false,True,0.00013809581538011623,0.0,,,0.35,0.050000000000000044
L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,0.45,11,action_end,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K2_touch_request_completes_without_hold/rgb/front/frame_00011.jpg,061ea9a6dfdfc608247daccbbb3ce22a1a0f122a84151909082adbac5c8c5746,1,acquiring,True,False,,True,closed,"[69.02576489533011,78.49919484702093]","[69.98514851485149,69.17161716171617]",1.0,0.6733333333333333,False,true,true,True,0.0007494409474821474,0.0005587906960784591,,,0.45,0.0
L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,0.5,12,control_tick,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data/dev_select/rollouts/L2RAR2_SELECT_05_820005/K2_touch_request_completes_without_hold/rgb/front/frame_00012.jpg,d13d4fb48089d316b25769edff346c08d28bf423cafd2b485dfe2db3f6ba33ba,1,post_contact_motion,True,False,,True,closed,"[68.82444444444444,78.87333333333333]","[68.24592592592592,73.25925925925925]",1.0,0.75,False,false,true,True,0.0017702672177691502,0.018509435061871603,0.9958282902626847,0.8258174441979895,0.45,0.04999999999999999
