segment_id,segment_kind,rollout_id,root_family_id,case_id,evidence_time,evidence_capture_order,contributing_intervals,mechanism_classes,sub_noise_interval_count,exact_static_repeat_count,direction_disagreement_count,direction_unavailable_count,directional_interval_pass_count,action_end_interval_count,raw_same_timestamp_control_action_end_count,merged_same_timestamp_double_count_count,minimum_pair_motion_norm,maximum_pair_motion_norm,maximum_stable_run_length,reference_label_status
L2RAR2_SELECT_00_820000:K5_brief_hold_loss:brief_hold_positive:16,brief_hold_positive,L2RAR2_SELECT_00_820000:K5_brief_hold_loss,L2RAR2_SELECT_00_820000,K5_brief_hold_loss,0.65,16,2,"{""directionally_consistent_effective_motion"": 2}",0,0,0,0,2,1,1,0,0.020392588662229743,0.11551373463209812,2,reference_labeled
L2RAR2_SELECT_02_820002:K5_brief_hold_loss:brief_hold_positive:15,brief_hold_positive,L2RAR2_SELECT_02_820002:K5_brief_hold_loss,L2RAR2_SELECT_02_820002,K5_brief_hold_loss,0.65,15,2,"{""directionally_consistent_effective_motion"": 2}",0,0,0,0,2,0,0,0,0.01471885783314359,0.016438508985936524,2,reference_labeled
L2RAR2_SELECT_03_820003:K5_brief_hold_loss:brief_hold_positive:12,brief_hold_positive,L2RAR2_SELECT_03_820003:K5_brief_hold_loss,L2RAR2_SELECT_03_820003,K5_brief_hold_loss,0.5,12,2,"{""directionally_consistent_effective_motion"": 1, ""sub_noise_motion_accepted_by_magnitude_score"": 1}",1,0,0,1,1,1,1,0,0.0,0.022064590313082725,3,reference_labeled
L2RAR2_SELECT_04_820004:K5_brief_hold_loss:brief_hold_positive_no_bcount2_onset,brief_hold_positive_no_bcount2_onset,L2RAR2_SELECT_04_820004:K5_brief_hold_loss,L2RAR2_SELECT_04_820004,K5_brief_hold_loss,,,0,"{""no_bcount2_evidence_onset"": 1}",0,0,0,0,0,0,0,0,,,1,reference_labeled
L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold:target_initial_false_hold:11,target_initial_false_hold,L2RAR2_SELECT_05_820005:K2_touch_request_completes_without_hold,L2RAR2_SELECT_05_820005,K2_touch_request_completes_without_hold,0.45,11,2,"{""sub_noise_motion_accepted_by_magnitude_score"": 2}",2,0,0,2,0,1,1,0,0.0,0.0007494409474821474,2,reference_labeled
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue:target_initial_false_hold:11,target_initial_false_hold,L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.45,11,2,"{""sub_noise_motion_accepted_by_magnitude_score"": 2}",2,0,0,2,0,1,1,0,0.0,0.0007494409474821474,4,reference_labeled
L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue:same_k8_later_hold:24,same_k8_later_hold,L2RAR2_SELECT_05_820005:K8_acquisition_touch_then_continue,L2RAR2_SELECT_05_820005,K8_acquisition_touch_then_continue,0.95,24,2,"{""directionally_consistent_effective_motion"": 1, ""sub_noise_motion_accepted_by_magnitude_score"": 1}",1,0,0,1,1,1,1,0,0.000250836338401599,0.016247860393634364,4,reference_labeled
L2RAR2_SELECT_07_820007:K2_touch_request_completes_without_hold:target_initial_false_hold:13,target_initial_false_hold,L2RAR2_SELECT_07_820007:K2_touch_request_completes_without_hold,L2RAR2_SELECT_07_820007,K2_touch_request_completes_without_hold,0.55,13,2,"{""exact_static_repeat_accepted_by_magnitude_score"": 1, ""sub_noise_motion_accepted_by_magnitude_score"": 1}",2,1,0,2,0,1,1,0,0.0,0.0006001595529275689,2,reference_labeled
L2RAR2_SELECT_07_820007:K8_acquisition_touch_then_continue:target_initial_false_hold:13,target_initial_false_hold,L2RAR2_SELECT_07_820007:K8_acquisition_touch_then_continue,L2RAR2_SELECT_07_820007,K8_acquisition_touch_then_continue,0.55,13,2,"{""exact_static_repeat_accepted_by_magnitude_score"": 1, ""sub_noise_motion_accepted_by_magnitude_score"": 1}",2,1,0,2,0,1,1,0,0.0,0.0006001595529275689,5,reference_labeled
L2RAR2_SELECT_07_820007:K8_acquisition_touch_then_continue:same_k8_later_hold:32,same_k8_later_hold,L2RAR2_SELECT_07_820007:K8_acquisition_touch_then_continue,L2RAR2_SELECT_07_820007,K8_acquisition_touch_then_continue,1.3,32,2,"{""directionally_consistent_effective_motion"": 2}",0,0,0,0,2,1,1,0,0.019727451945565577,0.02308460136695414,5,reference_labeled
