candidate_id,rollout_id,root_family_id,case_id,reference_status,reference_reason,expected_action,selected_action,selected_time,correct,hold_evidence_before_event,hold_memory_at_last_closed_observation,same_m1_interface
B_count2,L2RAR2_SELECT_00_820000:K1_hold_request_ends_without_hold,L2RAR2_SELECT_00_820000,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,retry_grasp,0.45,True,False,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_00_820000:K1_hold_request_ends_without_hold,L2RAR2_SELECT_00_820000,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,none,,False,False,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_00_820000:K1_hold_request_ends_without_hold,L2RAR2_SELECT_00_820000,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,none,,False,False,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_00_820000:K2_touch_request_completes_without_hold,L2RAR2_SELECT_00_820000,K2_touch_request_completes_without_hold,reference_labeled,,none,none,,True,False,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_00_820000:K2_touch_request_completes_without_hold,L2RAR2_SELECT_00_820000,K2_touch_request_completes_without_hold,reference_labeled,,none,none,,True,False,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_00_820000:K2_touch_request_completes_without_hold,L2RAR2_SELECT_00_820000,K2_touch_request_completes_without_hold,reference_labeled,,none,recover_object,0.5,False,True,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_00_820000:K3_normal_hold_pause_resume,L2RAR2_SELECT_00_820000,K3_normal_hold_pause_resume,reference_labeled,,none,none,,True,False,true,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_00_820000:K3_normal_hold_pause_resume,L2RAR2_SELECT_00_820000,K3_normal_hold_pause_resume,reference_labeled,,none,none,,True,True,true,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_00_820000:K3_normal_hold_pause_resume,L2RAR2_SELECT_00_820000,K3_normal_hold_pause_resume,reference_labeled,,none,none,,True,True,true,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_00_820000:K4_regular_hold_loss,L2RAR2_SELECT_00_820000,K4_regular_hold_loss,reference_labeled,,recover_object,recover_object,0.9,True,True,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_00_820000:K4_regular_hold_loss,L2RAR2_SELECT_00_820000,K4_regular_hold_loss,reference_labeled,,recover_object,recover_object,0.9,True,True,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_00_820000:K4_regular_hold_loss,L2RAR2_SELECT_00_820000,K4_regular_hold_loss,reference_labeled,,recover_object,recover_object,0.9,True,True,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_00_820000:K5_brief_hold_loss,L2RAR2_SELECT_00_820000,K5_brief_hold_loss,reference_labeled,,recover_object,recover_object,0.75,True,True,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_00_820000:K5_brief_hold_loss,L2RAR2_SELECT_00_820000,K5_brief_hold_loss,reference_labeled,,recover_object,recover_object,0.75,True,True,false,M1_requested_effect_gate
C3_vector_rho055,L2RAR2_SELECT_00_820000:K5_brief_hold_loss,L2RAR2_SELECT_00_820000,K5_brief_hold_loss,reference_labeled,,recover_object,recover_object,0.75,True,True,false,M1_requested_effect_gate
B_count2,L2RAR2_SELECT_00_820000:K6_long_gap_after_loss,L2RAR2_SELECT_00_820000,K6_long_gap_after_loss,reference_labeled,,recover_object,recover_object,0.9,True,True,false,M1_requested_effect_gate
C3_vector_rho035,L2RAR2_SELECT_00_820000:K6_long_gap_after_loss,L2RAR2_SELECT_00_820000,K6_long_gap_after_loss,reference_labeled,,recover_object,recover_object,0.9,True,True,false,M1_requested_effect_gate
