rollout_id,root_family_id,case_id,reference_status,anchor_time,anchor_relative_position_xyz_m,first_post_anchor_time,first_post_anchor_relative_position_xyz_m,current_probe_predicted_first_tick_relative_xyz_m,current_probe_first_tick_error_m,observed_peak_relative_position_xyz_m,observed_peak_delta_from_anchor_xyz_m,current_probe_delta_direction_cosine,observed_maximum_drift_m,frozen_relative_drift_limit_m,counterfactual_maximum_post_step_drift_m,current_mechanism_exact_match,reference_label_changed
L2RAR2_SELECT_00_820000:K3_normal_hold_pause_resume,L2RAR2_SELECT_00_820000,K3_normal_hold_pause_resume,reference_labeled,0.45,"[1.7393215545169483e-05,0.0016548202878585022,-0.127382376011417]",0.5,"[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]","[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]",0.0,"[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]","[-0.0012771675625249945,0.016961999440777815,-0.007252767704857943]",0.9999999999999999,0.01849170682744953,0.02,0.002924693566771775,True,False
L2RAR2_SELECT_00_820000:K4_regular_hold_loss,L2RAR2_SELECT_00_820000,K4_regular_hold_loss,reference_labeled,0.45,"[1.7393215545169483e-05,0.0016548202878585022,-0.127382376011417]",0.5,"[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]","[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]",0.0,"[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]","[-0.0012771675625249945,0.016961999440777815,-0.007252767704857943]",0.9999999999999999,0.018491706827449522,0.02,0.002924693566771775,True,False
L2RAR2_SELECT_00_820000:K5_brief_hold_loss,L2RAR2_SELECT_00_820000,K5_brief_hold_loss,reference_labeled,0.45,"[1.7393215545169483e-05,0.0016548202878585022,-0.127382376011417]",0.5,"[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]","[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]",0.0,"[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]","[-0.0012771675625249945,0.016961999440777815,-0.007252767704857943]",0.9999999999999999,0.018491706827449522,0.02,0.002924693566771775,True,False
L2RAR2_SELECT_00_820000:K6_long_gap_after_loss,L2RAR2_SELECT_00_820000,K6_long_gap_after_loss,reference_labeled,0.45,"[1.7393215545169483e-05,0.0016548202878585022,-0.127382376011417]",0.5,"[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]","[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]",0.0,"[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]","[-0.0012771675625249945,0.016961999440777815,-0.007252767704857943]",0.9999999999999999,0.018491706827449522,0.02,0.002924693566771775,True,False
L2RAR2_SELECT_00_820000:K7_commanded_release,L2RAR2_SELECT_00_820000,K7_commanded_release,reference_labeled,0.45,"[1.7393215545169483e-05,0.0016548202878585022,-0.127382376011417]",0.5,"[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]","[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]",0.0,"[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]","[-0.0012771675625249945,0.016961999440777815,-0.007252767704857943]",0.9999999999999999,0.018491706827449522,0.02,0.002924693566771775,True,False
L2RAR2_SELECT_00_820000:K8_acquisition_touch_then_continue,L2RAR2_SELECT_00_820000,K8_acquisition_touch_then_continue,reference_labeled,0.8,"[1.837468277249288e-05,0.0025240120275704034,-0.12777274095851054]",0.85,"[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]","[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]",0.0,"[-0.001259774346979825,0.018616819728636318,-0.13463514371627494]","[-0.001278149029752318,0.016092807701065914,-0.0068624027577643965]",1.0000000000000002,0.01754151351096922,0.02,0.002924693566771775,True,False
L2RAR2_SELECT_01_820001:K3_normal_hold_pause_resume,L2RAR2_SELECT_01_820001,K3_normal_hold_pause_resume,reference_unresolved,0.45,"[2.142092491347336e-05,-0.0002486141054822838,-0.12681525583456688]",0.5,"[-0.0006844525335635288,0.01820141931281853,-0.13553080860371913]","[-0.0006844525335635288,0.01820141931281853,-0.13553080860371913]",0.0,"[-0.0006844525335635288,0.01820141931281853,-0.13553080860371913]","[-0.0007058734584770021,0.018450033418300815,-0.008715552769152257]",0.9999999999999999,0.020417219461711274,0.02,0.003033742696516686,True,False
L2RAR2_SELECT_01_820001:K4_regular_hold_loss,L2RAR2_SELECT_01_820001,K4_regular_hold_loss,reference_unresolved,0.45,"[2.142092491347336e-05,-0.0002486141054822838,-0.12681525583456688]",0.5,"[-0.0006844525335635288,0.01820141931281853,-0.13553080860371913]","[-0.0006844525335635288,0.01820141931281853,-0.13553080860371913]",0.0,"[-0.0006844525335635288,0.01820141931281853,-0.13553080860371913]","[-0.0007058734584770021,0.018450033418300815,-0.008715552769152257]",0.9999999999999999,0.020417219461711263,0.02,0.003033742696516686,True,False
L2RAR2_SELECT_01_820001:K5_brief_hold_loss,L2RAR2_SELECT_01_820001,K5_brief_hold_loss,reference_unresolved,0.45,"[2.142092491347336e-05,-0.0002486141054822838,-0.12681525583456688]",0.5,"[-0.0006844525335635288,0.01820141931281853,-0.13553080860371913]","[-0.0006844525335635288,0.01820141931281853,-0.13553080860371913]",0.0,"[-0.0006844525335635288,0.01820141931281853,-0.13553080860371913]","[-0.0007058734584770021,0.018450033418300815,-0.008715552769152257]",0.9999999999999999,0.020417219461711263,0.02,0.003033742696516686,True,False
L2RAR2_SELECT_01_820001:K6_long_gap_after_loss,L2RAR2_SELECT_01_820001,K6_long_gap_after_loss,reference_unresolved,0.45,"[2.142092491347336e-05,-0.0002486141054822838,-0.12681525583456688]",0.5,"[-0.0006844525335635288,0.01820141931281853,-0.13553080860371913]","[-0.0006844525335635288,0.01820141931281853,-0.13553080860371913]",0.0,"[-0.0006844525335635288,0.01820141931281853,-0.13553080860371913]","[-0.0007058734584770021,0.018450033418300815,-0.008715552769152257]",0.9999999999999999,0.020417219461711263,0.02,0.003033742696516686,True,False
