boundary_error_sum,boundary_estimability,boundary_f1,boundary_fn,boundary_fp,boundary_mae,boundary_matched_count,boundary_precision,boundary_recall,boundary_tp,episode_id,frame_count,model,prediction_path,root_family_id,split,tolerance,unknown_gold_frame_count,unknown_predicted_frame_count
0.0,estimable,0.3846153846153846,0,16,0.0,5,0.23809523809523808,1.0,5,formal_u2_family_084_r00,28,weak_zero_gold,artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/weak_events_v1/posteriors/weak_zero_gold/formal_u2_family_084_r00.npz,u2_family_084,val,1,0,4
0.0,estimable,0.3846153846153846,0,16,0.0,5,0.23809523809523808,1.0,5,formal_u2_family_084_r00,28,weak_zero_gold,artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/weak_events_v1/posteriors/weak_zero_gold/formal_u2_family_084_r00.npz,u2_family_084,val,2,0,4
0.0,estimable,0.3846153846153846,0,16,0.0,5,0.23809523809523808,1.0,5,formal_u2_family_084_r01,29,weak_zero_gold,artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/weak_events_v1/posteriors/weak_zero_gold/formal_u2_family_084_r01.npz,u2_family_084,val,1,0,4
0.0,estimable,0.3846153846153846,0,16,0.0,5,0.23809523809523808,1.0,5,formal_u2_family_084_r01,29,weak_zero_gold,artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/weak_events_v1/posteriors/weak_zero_gold/formal_u2_family_084_r01.npz,u2_family_084,val,2,0,4
0.0,estimable,0.4166666666666667,0,14,0.0,5,0.2631578947368421,1.0,5,formal_u2_family_084_r02,27,weak_zero_gold,artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/weak_events_v1/posteriors/weak_zero_gold/formal_u2_family_084_r02.npz,u2_family_084,val,1,0,4
0.0,estimable,0.4166666666666667,0,14,0.0,5,0.2631578947368421,1.0,5,formal_u2_family_084_r02,27,weak_zero_gold,artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/weak_events_v1/posteriors/weak_zero_gold/formal_u2_family_084_r02.npz,u2_family_084,val,2,0,4
0.0,estimable,0.4166666666666667,0,14,0.0,5,0.2631578947368421,1.0,5,formal_u2_family_084_r03,26,weak_zero_gold,artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/weak_events_v1/posteriors/weak_zero_gold/formal_u2_family_084_r03.npz,u2_family_084,val,1,0,4
0.0,estimable,0.4166666666666667,0,14,0.0,5,0.2631578947368421,1.0,5,formal_u2_family_084_r03,26,weak_zero_gold,artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/weak_events_v1/posteriors/weak_zero_gold/formal_u2_family_084_r03.npz,u2_family_084,val,2,0,4
0.0,estimable,0.4,0,15,0.0,5,0.25,1.0,5,formal_u2_family_084_r04,29,weak_zero_gold,artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/weak_events_v1/posteriors/weak_zero_gold/formal_u2_family_084_r04.npz,u2_family_084,val,1,0,4
0.0,estimable,0.4,0,15,0.0,5,0.25,1.0,5,formal_u2_family_084_r04,29,weak_zero_gold,artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/weak_events_v1/posteriors/weak_zero_gold/formal_u2_family_084_r04.npz,u2_family_084,val,2,0,4
