corrected_rows_available,correction_note,model,old_boundary_f1_tol2,old_source,old_split
4,episode-local dynamic-program matching; historical checkpoint selection unchanged,causal_weak_only_s621,0.45885286783042395,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_3_causal_boundary_models/tables/u2_boundary_model_metrics.csv,val
4,episode-local dynamic-program matching; historical checkpoint selection unchanged,causal_weak_only_s621,0.40452948067161265,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_3_causal_boundary_models/tables/u2_boundary_model_metrics.csv,test
4,episode-local dynamic-program matching; historical checkpoint selection unchanged,causal_weak_only_s622,0.47018739352640543,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_3_causal_boundary_models/tables/u2_boundary_model_metrics.csv,val
4,episode-local dynamic-program matching; historical checkpoint selection unchanged,causal_weak_only_s622,0.4265129682997118,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_3_causal_boundary_models/tables/u2_boundary_model_metrics.csv,test
4,episode-local dynamic-program matching; historical checkpoint selection unchanged,causal_weak_only_s623,0.4850615114235501,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_3_causal_boundary_models/tables/u2_boundary_model_metrics.csv,val
4,episode-local dynamic-program matching; historical checkpoint selection unchanged,causal_weak_only_s623,0.42130947539650265,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_3_causal_boundary_models/tables/u2_boundary_model_metrics.csv,test
4,episode-local dynamic-program matching; historical checkpoint selection unchanged,causal_weak_plus_oracle30_s621,0.46153846153846156,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_3_causal_boundary_models/tables/u2_boundary_model_metrics.csv,val
4,episode-local dynamic-program matching; historical checkpoint selection unchanged,causal_weak_plus_oracle30_s621,0.4095049504950495,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_3_causal_boundary_models/tables/u2_boundary_model_metrics.csv,test
4,episode-local dynamic-program matching; historical checkpoint selection unchanged,causal_weak_plus_oracle30_s622,0.4625158831003812,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_3_causal_boundary_models/tables/u2_boundary_model_metrics.csv,val
4,episode-local dynamic-program matching; historical checkpoint selection unchanged,causal_weak_plus_oracle30_s622,0.4139311449159327,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_3_causal_boundary_models/tables/u2_boundary_model_metrics.csv,test
4,episode-local dynamic-program matching; historical checkpoint selection unchanged,causal_weak_plus_oracle30_s623,0.5062126092959044,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_3_causal_boundary_models/tables/u2_boundary_model_metrics.csv,val
4,episode-local dynamic-program matching; historical checkpoint selection unchanged,causal_weak_plus_oracle30_s623,0.43972835314091674,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_3_causal_boundary_models/tables/u2_boundary_model_metrics.csv,test
4,episode-local dynamic-program matching; historical checkpoint selection unchanged,offline_teacher_to_causal_s621,0.5239923224568138,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_3_causal_boundary_models/tables/u2_boundary_model_metrics.csv,val
4,episode-local dynamic-program matching; historical checkpoint selection unchanged,offline_teacher_to_causal_s621,0.43610291016448754,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_3_causal_boundary_models/tables/u2_boundary_model_metrics.csv,test
4,episode-local dynamic-program matching; historical checkpoint selection unchanged,offline_teacher_to_causal_s622,0.4633008061094612,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_3_causal_boundary_models/tables/u2_boundary_model_metrics.csv,val
4,episode-local dynamic-program matching; historical checkpoint selection unchanged,offline_teacher_to_causal_s622,0.4074074074074075,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_3_causal_boundary_models/tables/u2_boundary_model_metrics.csv,test
4,episode-local dynamic-program matching; historical checkpoint selection unchanged,offline_teacher_to_causal_s623,0.6309111880046135,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_3_causal_boundary_models/tables/u2_boundary_model_metrics.csv,val
4,episode-local dynamic-program matching; historical checkpoint selection unchanged,offline_teacher_to_causal_s623,0.5878339965889711,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_3_causal_boundary_models/tables/u2_boundary_model_metrics.csv,test
0,episode-local dynamic-program matching; historical checkpoint selection unchanged,multivariate_change_point_05,0.29197080291970806,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_2_segmentation_baselines/tables/baseline_test_metrics.csv,test
4,episode-local dynamic-program matching; historical checkpoint selection unchanged,sensor_hysteresis_01,0.5426114151681001,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_2_segmentation_baselines/tables/baseline_test_metrics.csv,test
4,episode-local dynamic-program matching; historical checkpoint selection unchanged,uniform_00,0.5428156748911466,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/rounds/u2_2_segmentation_baselines/tables/baseline_test_metrics.csv,test
