boundary_source,closed_full_input_cycle_residual,episode_id,partition_residual,root_family_id,segment_return_sum,split,whole_return_phi_last_minus_phi_first
gold,not_measured,formal_u2_family_102_r00,0.0,u2_family_102,0.6529590785503387,test,0.6529590785503387
best_causal,not_measured,formal_u2_family_102_r00,0.0,u2_family_102,0.6529590785503387,test,0.6529590785503387
best_rule,not_measured,formal_u2_family_102_r00,0.0,u2_family_102,0.6529590785503387,test,0.6529590785503387
uniform,not_measured,formal_u2_family_102_r00,0.0,u2_family_102,0.6529590785503387,test,0.6529590785503387
best_budget,not_measured,formal_u2_family_102_r00,0.0,u2_family_102,0.6529590785503387,test,0.6529590785503387
gold,not_measured,formal_u2_family_102_r01,0.0,u2_family_102,0.6543750762939453,test,0.6543750762939453
best_causal,not_measured,formal_u2_family_102_r01,0.0,u2_family_102,0.6543750762939453,test,0.6543750762939453
best_rule,not_measured,formal_u2_family_102_r01,0.0,u2_family_102,0.6543750762939453,test,0.6543750762939453
uniform,not_measured,formal_u2_family_102_r01,0.0,u2_family_102,0.6543750762939453,test,0.6543750762939453
best_budget,not_measured,formal_u2_family_102_r01,0.0,u2_family_102,0.6543750762939453,test,0.6543750762939453
gold,not_measured,formal_u2_family_102_r02,0.0,u2_family_102,0.6542413383722305,test,0.6542413383722305
best_causal,not_measured,formal_u2_family_102_r02,0.0,u2_family_102,0.6542413383722305,test,0.6542413383722305
best_rule,not_measured,formal_u2_family_102_r02,0.0,u2_family_102,0.6542413383722305,test,0.6542413383722305
uniform,not_measured,formal_u2_family_102_r02,0.0,u2_family_102,0.6542413383722305,test,0.6542413383722305
best_budget,not_measured,formal_u2_family_102_r02,0.0,u2_family_102,0.6542413383722305,test,0.6542413383722305
gold,not_measured,formal_u2_family_102_r03,0.0,u2_family_102,0.6554941684007645,test,0.6554941684007645
best_causal,not_measured,formal_u2_family_102_r03,0.0,u2_family_102,0.6554941684007645,test,0.6554941684007645
best_rule,not_measured,formal_u2_family_102_r03,0.0,u2_family_102,0.6554941684007645,test,0.6554941684007645
uniform,not_measured,formal_u2_family_102_r03,0.0,u2_family_102,0.6554941684007645,test,0.6554941684007645
best_budget,not_measured,formal_u2_family_102_r03,0.0,u2_family_102,0.6554941684007645,test,0.6554941684007645
gold,not_measured,formal_u2_family_102_r04,0.0,u2_family_102,0.6552379876375198,test,0.6552379876375198
best_causal,not_measured,formal_u2_family_102_r04,0.0,u2_family_102,0.6552379876375198,test,0.6552379876375198
best_rule,not_measured,formal_u2_family_102_r04,0.0,u2_family_102,0.6552379876375198,test,0.6552379876375198
uniform,not_measured,formal_u2_family_102_r04,0.0,u2_family_102,0.6552379876375198,test,0.6552379876375198
best_budget,not_measured,formal_u2_family_102_r04,0.0,u2_family_102,0.6552379876375198,test,0.6552379876375198
gold,not_measured,formal_u2_family_102_r05,0.0,u2_family_102,0.652591273188591,test,0.652591273188591
best_causal,not_measured,formal_u2_family_102_r05,0.0,u2_family_102,0.652591273188591,test,0.652591273188591
best_rule,not_measured,formal_u2_family_102_r05,0.0,u2_family_102,0.652591273188591,test,0.652591273188591
uniform,not_measured,formal_u2_family_102_r05,0.0,u2_family_102,0.652591273188591,test,0.652591273188591
best_budget,not_measured,formal_u2_family_102_r05,0.0,u2_family_102,0.652591273188591,test,0.652591273188591
gold,not_measured,formal_u2_family_103_r00,0.0,u2_family_103,0.6533918678760529,test,0.6533918678760529
best_causal,not_measured,formal_u2_family_103_r00,0.0,u2_family_103,0.6533918678760529,test,0.6533918678760529
best_rule,not_measured,formal_u2_family_103_r00,0.0,u2_family_103,0.6533918678760529,test,0.6533918678760529
uniform,not_measured,formal_u2_family_103_r00,0.0,u2_family_103,0.6533918678760529,test,0.6533918678760529
best_budget,not_measured,formal_u2_family_103_r00,0.0,u2_family_103,0.6533918678760529,test,0.6533918678760529
gold,not_measured,formal_u2_family_103_r01,0.0,u2_family_103,0.656619668006897,test,0.656619668006897
best_causal,not_measured,formal_u2_family_103_r01,0.0,u2_family_103,0.656619668006897,test,0.656619668006897
best_rule,not_measured,formal_u2_family_103_r01,0.0,u2_family_103,0.656619668006897,test,0.656619668006897
uniform,not_measured,formal_u2_family_103_r01,0.0,u2_family_103,0.656619668006897,test,0.656619668006897
best_budget,not_measured,formal_u2_family_103_r01,0.0,u2_family_103,0.656619668006897,test,0.656619668006897
gold,not_measured,formal_u2_family_103_r02,0.0,u2_family_103,0.6572242826223373,test,0.6572242826223373
best_causal,not_measured,formal_u2_family_103_r02,0.0,u2_family_103,0.6572242826223373,test,0.6572242826223373
best_rule,not_measured,formal_u2_family_103_r02,0.0,u2_family_103,0.6572242826223373,test,0.6572242826223373
uniform,not_measured,formal_u2_family_103_r02,0.0,u2_family_103,0.6572242826223373,test,0.6572242826223373
best_budget,not_measured,formal_u2_family_103_r02,0.0,u2_family_103,0.6572242826223373,test,0.6572242826223373
gold,not_measured,formal_u2_family_103_r03,0.0,u2_family_103,0.6568728685379028,test,0.6568728685379028
best_causal,not_measured,formal_u2_family_103_r03,0.0,u2_family_103,0.6568728685379028,test,0.6568728685379028
best_rule,not_measured,formal_u2_family_103_r03,0.0,u2_family_103,0.6568728685379028,test,0.6568728685379028
uniform,not_measured,formal_u2_family_103_r03,0.0,u2_family_103,0.6568728685379028,test,0.6568728685379028
best_budget,not_measured,formal_u2_family_103_r03,0.0,u2_family_103,0.6568728685379028,test,0.6568728685379028
gold,not_measured,formal_u2_family_103_r04,0.0,u2_family_103,0.6555084139108658,test,0.6555084139108658
best_causal,not_measured,formal_u2_family_103_r04,0.0,u2_family_103,0.6555084139108658,test,0.6555084139108658
best_rule,not_measured,formal_u2_family_103_r04,0.0,u2_family_103,0.6555084139108658,test,0.6555084139108658
uniform,not_measured,formal_u2_family_103_r04,0.0,u2_family_103,0.6555084139108658,test,0.6555084139108658
best_budget,not_measured,formal_u2_family_103_r04,0.0,u2_family_103,0.6555084139108658,test,0.6555084139108658
gold,not_measured,formal_u2_family_103_r05,0.0,u2_family_103,0.6549811363220215,test,0.6549811363220215
best_causal,not_measured,formal_u2_family_103_r05,0.0,u2_family_103,0.6549811363220215,test,0.6549811363220215
best_rule,not_measured,formal_u2_family_103_r05,0.0,u2_family_103,0.6549811363220215,test,0.6549811363220215
uniform,not_measured,formal_u2_family_103_r05,0.0,u2_family_103,0.6549811363220215,test,0.6549811363220215
best_budget,not_measured,formal_u2_family_103_r05,0.0,u2_family_103,0.6549811363220215,test,0.6549811363220215
gold,not_measured,formal_u2_family_104_r00,0.0,u2_family_104,0.6544375717639923,test,0.6544375717639923
best_causal,not_measured,formal_u2_family_104_r00,0.0,u2_family_104,0.6544375717639923,test,0.6544375717639923
best_rule,not_measured,formal_u2_family_104_r00,0.0,u2_family_104,0.6544375717639923,test,0.6544375717639923
uniform,not_measured,formal_u2_family_104_r00,0.0,u2_family_104,0.6544375717639923,test,0.6544375717639923
best_budget,not_measured,formal_u2_family_104_r00,0.0,u2_family_104,0.6544375717639923,test,0.6544375717639923
gold,not_measured,formal_u2_family_104_r01,0.0,u2_family_104,0.6572467684745789,test,0.6572467684745789
best_causal,not_measured,formal_u2_family_104_r01,0.0,u2_family_104,0.6572467684745789,test,0.6572467684745789
best_rule,not_measured,formal_u2_family_104_r01,0.0,u2_family_104,0.6572467684745789,test,0.6572467684745789
uniform,not_measured,formal_u2_family_104_r01,0.0,u2_family_104,0.6572467684745789,test,0.6572467684745789
best_budget,not_measured,formal_u2_family_104_r01,0.0,u2_family_104,0.6572467684745789,test,0.6572467684745789
gold,not_measured,formal_u2_family_104_r02,0.0,u2_family_104,0.6571903079748154,test,0.6571903079748154
