clip_id,episode_id,root_family_id,split,start_t,end_t,center_t,event_id,label_source,not_human_minutes
formal_u2_family_065_r02:t010,formal_u2_family_065_r02,u2_family_065,train,8,12,10,1,simulator_gold_oracle_budget,True
formal_u2_family_053_r04:t009,formal_u2_family_053_r04,u2_family_053,train,7,11,9,2,simulator_gold_oracle_budget,True
formal_u2_family_040_r03:t001,formal_u2_family_040_r03,u2_family_040,train,0,3,1,1,simulator_gold_oracle_budget,True
formal_u2_family_001_r00:t002,formal_u2_family_001_r00,u2_family_001,train,0,4,2,2,simulator_gold_oracle_budget,True
formal_u2_family_009_r04:t001,formal_u2_family_009_r04,u2_family_009,train,0,3,1,1,simulator_gold_oracle_budget,True
formal_u2_family_038_r00:t003,formal_u2_family_038_r00,u2_family_038,train,1,5,3,3,simulator_gold_oracle_budget,True
formal_u2_family_068_r00:t006,formal_u2_family_068_r00,u2_family_068,train,4,8,6,5,simulator_gold_oracle_budget,True
formal_u2_family_032_r03:t001,formal_u2_family_032_r03,u2_family_032,train,0,3,1,1,simulator_gold_oracle_budget,True
formal_u2_family_080_r04:t025,formal_u2_family_080_r04,u2_family_080,train,23,25,25,8,simulator_gold_oracle_budget,True
formal_u2_family_054_r05:t022,formal_u2_family_054_r05,u2_family_054,train,20,24,22,7,simulator_gold_oracle_budget,True
formal_u2_family_036_r02:t002,formal_u2_family_036_r02,u2_family_036,train,0,4,2,2,simulator_gold_oracle_budget,True
formal_u2_family_007_r04:t001,formal_u2_family_007_r04,u2_family_007,train,0,3,1,2,simulator_gold_oracle_budget,True
formal_u2_family_055_r00:t002,formal_u2_family_055_r00,u2_family_055,train,0,4,2,2,simulator_gold_oracle_budget,True
formal_u2_family_062_r02:t005,formal_u2_family_062_r02,u2_family_062,train,3,7,5,5,simulator_gold_oracle_budget,True
formal_u2_family_012_r01:t005,formal_u2_family_012_r01,u2_family_012,train,3,7,5,6,simulator_gold_oracle_budget,True
formal_u2_family_060_r01:t025,formal_u2_family_060_r01,u2_family_060,train,23,25,25,8,simulator_gold_oracle_budget,True
formal_u2_family_023_r01:t005,formal_u2_family_023_r01,u2_family_023,train,3,7,5,10,simulator_gold_oracle_budget,True
formal_u2_family_037_r01:t008,formal_u2_family_037_r01,u2_family_037,train,6,10,8,6,simulator_gold_oracle_budget,True
formal_u2_family_023_r01:t034,formal_u2_family_023_r01,u2_family_023,train,32,36,34,7,simulator_gold_oracle_budget,True
formal_u2_family_029_r03:t009,formal_u2_family_029_r03,u2_family_029,train,7,11,9,1,simulator_gold_oracle_budget,True
formal_u2_family_062_r01:t002,formal_u2_family_062_r01,u2_family_062,train,0,4,2,2,simulator_gold_oracle_budget,True
formal_u2_family_015_r02:t024,formal_u2_family_015_r02,u2_family_015,train,22,24,24,8,simulator_gold_oracle_budget,True
formal_u2_family_025_r01:t029,formal_u2_family_025_r01,u2_family_025,train,27,29,29,8,simulator_gold_oracle_budget,True
formal_u2_family_001_r01:t002,formal_u2_family_001_r01,u2_family_001,train,0,4,2,2,simulator_gold_oracle_budget,True
formal_u2_family_004_r01:t005,formal_u2_family_004_r01,u2_family_004,train,3,5,5,9,simulator_gold_oracle_budget,True
formal_u2_family_014_r00:t001,formal_u2_family_014_r00,u2_family_014,train,0,3,1,1,simulator_gold_oracle_budget,True
formal_u2_family_061_r04:t005,formal_u2_family_061_r04,u2_family_061,train,3,7,5,4,simulator_gold_oracle_budget,True
formal_u2_family_073_r05:t005,formal_u2_family_073_r05,u2_family_073,train,3,7,5,4,simulator_gold_oracle_budget,True
formal_u2_family_050_r03:t005,formal_u2_family_050_r03,u2_family_050,train,3,7,5,4,simulator_gold_oracle_budget,True
formal_u2_family_024_r01:t002,formal_u2_family_024_r01,u2_family_024,train,0,4,2,2,simulator_gold_oracle_budget,True
