clip_id,episode_id,start_t,end_t,root_family_id,strategy,seed,rank,budget,uncertainty,event_importance,model_disagreement,estimated_steps,predicted_event_id
formal_u2_family_074_r02:t007,formal_u2_family_074_r02,5,9,u2_family_074,entropy_x_event_importance,642,1,15,1.095541000366211,2.0,0.01743588803917344,5,5
formal_u2_family_025_r01:t006,formal_u2_family_025_r01,4,8,u2_family_025,entropy_x_event_importance,642,2,15,1.072252869606018,2.0,0.012002665134340186,5,5
formal_u2_family_031_r04:t006,formal_u2_family_031_r04,4,8,u2_family_031,entropy_x_event_importance,642,3,15,0.8383640050888062,2.0,0.01703958674710265,5,5
formal_u2_family_080_r01:t005,formal_u2_family_080_r01,3,7,u2_family_080,entropy_x_event_importance,642,4,15,0.8383640050888062,2.0,0.01933687395884409,5,5
formal_u2_family_080_r02:t005,formal_u2_family_080_r02,3,7,u2_family_080,entropy_x_event_importance,642,5,15,0.8383640050888062,2.0,0.016451941703168535,5,5
formal_u2_family_068_r03:t006,formal_u2_family_068_r03,4,8,u2_family_068,entropy_x_event_importance,642,6,15,0.8383640050888062,2.0,0.018983612166521713,5,5
formal_u2_family_056_r04:t005,formal_u2_family_056_r04,3,7,u2_family_056,entropy_x_event_importance,642,7,15,0.8383640050888062,2.0,0.016423760816331345,5,5
formal_u2_family_068_r00:t006,formal_u2_family_068_r00,4,8,u2_family_068,entropy_x_event_importance,642,8,15,0.8383640050888062,2.0,0.02109947507171634,5,5
formal_u2_family_080_r03:t005,formal_u2_family_080_r03,3,7,u2_family_080,entropy_x_event_importance,642,9,15,0.8383640050888062,2.0,0.015321776606553985,5,5
formal_u2_family_001_r01:t025,formal_u2_family_001_r01,23,25,u2_family_001,entropy_x_event_importance,642,10,15,1.6525201797485352,1.0,0.03933513315360182,3,0
formal_u2_family_030_r02:t024,formal_u2_family_030_r02,22,24,u2_family_030,entropy_x_event_importance,642,11,15,1.6525201797485352,1.0,0.022475327156000514,3,0
formal_u2_family_060_r04:t022,formal_u2_family_060_r04,20,23,u2_family_060,entropy_x_event_importance,642,12,15,1.6525201797485352,1.0,0.011236755508251003,4,0
formal_u2_family_033_r01:t024,formal_u2_family_033_r01,22,24,u2_family_033,entropy_x_event_importance,642,13,15,1.6525201797485352,1.0,0.04264661161115311,3,0
formal_u2_family_051_r03:t020,formal_u2_family_051_r03,18,20,u2_family_051,entropy_x_event_importance,642,14,15,1.6525201797485352,1.0,0.017999454976497305,3,0
formal_u2_family_055_r05:t022,formal_u2_family_055_r05,20,23,u2_family_055,entropy_x_event_importance,642,15,15,1.6525201797485352,1.0,0.038385895933190924,4,0
