clip_id,episode_id,start_t,end_t,root_family_id,strategy,seed,rank,budget,uncertainty,event_importance,model_disagreement,estimated_steps,predicted_event_id
formal_u2_family_067_r00:t004,formal_u2_family_067_r00,2,6,u2_family_067,random_stratified,643,1,15,0.11553627997636795,2.0,0.03031766222604192,5,3
formal_u2_family_050_r05:t004,formal_u2_family_050_r05,2,6,u2_family_050,random_stratified,643,2,15,0.11553627997636795,2.0,0.0248618843291382,5,3
formal_u2_family_031_r04:t005,formal_u2_family_031_r04,3,7,u2_family_031,random_stratified,643,3,15,0.33675917983055115,2.0,0.00684152423706173,5,4
formal_u2_family_001_r03:t004,formal_u2_family_001_r03,2,6,u2_family_001,random_stratified,643,4,15,0.11553627997636795,2.0,0.024951835600439377,5,3
formal_u2_family_026_r04:t006,formal_u2_family_026_r04,4,8,u2_family_026,random_stratified,643,5,15,0.7594584822654724,2.0,0.017624415469169676,5,5
formal_u2_family_014_r01:t006,formal_u2_family_014_r01,4,8,u2_family_014,random_stratified,643,6,15,0.8113319873809814,2.0,0.019168567223368436,5,5
formal_u2_family_044_r01:t005,formal_u2_family_044_r01,3,7,u2_family_044,random_stratified,643,7,15,0.11553627997636795,2.0,0.033500589526819266,5,3
formal_u2_family_019_r05:t005,formal_u2_family_019_r05,3,7,u2_family_019,random_stratified,643,8,15,0.33675917983055115,2.0,0.006644863687307872,5,4
formal_u2_family_026_r05:t004,formal_u2_family_026_r05,2,6,u2_family_026,random_stratified,643,9,15,0.11553627997636795,2.0,0.0247117597166666,5,3
formal_u2_family_008_r02:t007,formal_u2_family_008_r02,5,9,u2_family_008,random_stratified,643,10,15,0.7594584822654724,2.0,0.026371962546035316,5,5
formal_u2_family_026_r02:t006,formal_u2_family_026_r02,4,8,u2_family_026,random_stratified,643,11,15,0.7594584822654724,2.0,0.018314693808692755,5,5
formal_u2_family_080_r02:t005,formal_u2_family_080_r02,3,7,u2_family_080,random_stratified,643,12,15,0.8383640050888062,2.0,0.016451941703168535,5,5
formal_u2_family_056_r03:t004,formal_u2_family_056_r03,2,6,u2_family_056,random_stratified,643,13,15,0.33675917983055115,2.0,0.009701943772759854,5,4
formal_u2_family_056_r04:t003,formal_u2_family_056_r04,1,5,u2_family_056,random_stratified,643,14,15,0.19151626527309418,2.0,0.03012214310514985,5,3
formal_u2_family_068_r02:t005,formal_u2_family_068_r02,3,7,u2_family_068,random_stratified,643,15,15,0.33675917983055115,2.0,0.006886602365708778,5,4
