clip_id,episode_id,start_t,end_t,root_family_id,strategy,seed,rank,budget,uncertainty,event_importance,model_disagreement,estimated_steps,predicted_event_id,gold_event_ids,gold_boundaries,provenance,not_human_annotation
formal_u2_family_074_r02:t007,formal_u2_family_074_r02,5,9,u2_family_074,entropy_x_event_importance,641,1,60,1.095541000366211,2.0,0.01743588803917344,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_025_r01:t006,formal_u2_family_025_r01,4,8,u2_family_025,entropy_x_event_importance,641,2,60,1.072252869606018,2.0,0.012002665134340186,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_080_r03:t005,formal_u2_family_080_r03,3,7,u2_family_080,entropy_x_event_importance,641,3,60,0.8383640050888062,2.0,0.015321776606553985,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_068_r00:t006,formal_u2_family_068_r00,4,8,u2_family_068,entropy_x_event_importance,641,4,60,0.8383640050888062,2.0,0.02109947507171634,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_056_r04:t005,formal_u2_family_056_r04,3,7,u2_family_056,entropy_x_event_importance,641,5,60,0.8383640050888062,2.0,0.016423760816331345,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_080_r02:t005,formal_u2_family_080_r02,3,7,u2_family_080,entropy_x_event_importance,641,6,60,0.8383640050888062,2.0,0.016451941703168535,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_080_r01:t005,formal_u2_family_080_r01,3,7,u2_family_080,entropy_x_event_importance,641,7,60,0.8383640050888062,2.0,0.01933687395884409,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_068_r03:t006,formal_u2_family_068_r03,4,8,u2_family_068,entropy_x_event_importance,641,8,60,0.8383640050888062,2.0,0.018983612166521713,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_031_r04:t006,formal_u2_family_031_r04,4,8,u2_family_031,entropy_x_event_importance,641,9,60,0.8383640050888062,2.0,0.01703958674710265,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_013_r03:t025,formal_u2_family_013_r03,23,25,u2_family_013,entropy_x_event_importance,641,10,60,1.6525201797485352,1.0,0.019643744683759096,3,0,"[7, 0, 8]","[1, 0, 1]",simulator_gold_oracle_budget,True
formal_u2_family_060_r03:t025,formal_u2_family_060_r03,23,26,u2_family_060,entropy_x_event_importance,641,11,60,1.6525201797485352,1.0,0.04056395068930614,4,0,"[0, 7, 0, 8]","[0, 1, 0, 1]",simulator_gold_oracle_budget,True
