clip_id,episode_id,start_t,end_t,root_family_id,strategy,seed,rank,budget,uncertainty,event_importance,model_disagreement,estimated_steps,predicted_event_id,gold_event_ids,gold_boundaries,provenance,not_human_annotation
formal_u2_family_067_r00:t004,formal_u2_family_067_r00,2,6,u2_family_067,random_stratified,643,1,60,0.11553627997636795,2.0,0.03031766222604192,5,3,"[2, 0, 3, 4, 5]","[1, 0, 1, 1, 1]",simulator_gold_oracle_budget,True
formal_u2_family_050_r05:t004,formal_u2_family_050_r05,2,6,u2_family_050,random_stratified,643,2,60,0.11553627997636795,2.0,0.0248618843291382,5,3,"[2, 0, 3, 4, 5]","[1, 0, 1, 1, 1]",simulator_gold_oracle_budget,True
formal_u2_family_031_r04:t005,formal_u2_family_031_r04,3,7,u2_family_031,random_stratified,643,3,60,0.33675917983055115,2.0,0.00684152423706173,5,4,"[0, 3, 4, 5, 0]","[0, 1, 1, 1, 0]",simulator_gold_oracle_budget,True
formal_u2_family_001_r03:t004,formal_u2_family_001_r03,2,6,u2_family_001,random_stratified,643,4,60,0.11553627997636795,2.0,0.024951835600439377,5,3,"[2, 0, 3, 4, 5]","[1, 0, 1, 1, 1]",simulator_gold_oracle_budget,True
formal_u2_family_026_r04:t006,formal_u2_family_026_r04,4,8,u2_family_026,random_stratified,643,5,60,0.7594584822654724,2.0,0.017624415469169676,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_014_r01:t006,formal_u2_family_014_r01,4,8,u2_family_014,random_stratified,643,6,60,0.8113319873809814,2.0,0.019168567223368436,5,5,"[3, 4, 5, 6, 0]","[1, 1, 1, 1, 0]",simulator_gold_oracle_budget,True
formal_u2_family_044_r01:t005,formal_u2_family_044_r01,3,7,u2_family_044,random_stratified,643,7,60,0.11553627997636795,2.0,0.033500589526819266,5,3,"[0, 0, 3, 4, 5]","[0, 0, 1, 1, 1]",simulator_gold_oracle_budget,True
formal_u2_family_019_r05:t005,formal_u2_family_019_r05,3,7,u2_family_019,random_stratified,643,8,60,0.33675917983055115,2.0,0.006644863687307872,5,4,"[0, 3, 4, 0, 0]","[0, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_026_r05:t004,formal_u2_family_026_r05,2,6,u2_family_026,random_stratified,643,9,60,0.11553627997636795,2.0,0.0247117597166666,5,3,"[2, 0, 3, 4, 5]","[1, 0, 1, 1, 1]",simulator_gold_oracle_budget,True
formal_u2_family_008_r02:t007,formal_u2_family_008_r02,5,9,u2_family_008,random_stratified,643,10,60,0.7594584822654724,2.0,0.026371962546035316,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_026_r02:t006,formal_u2_family_026_r02,4,8,u2_family_026,random_stratified,643,11,60,0.7594584822654724,2.0,0.018314693808692755,5,5,"[3, 4, 5, 6, 0]","[1, 1, 1, 1, 0]",simulator_gold_oracle_budget,True
formal_u2_family_080_r02:t005,formal_u2_family_080_r02,3,7,u2_family_080,random_stratified,643,12,60,0.8383640050888062,2.0,0.016451941703168535,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_056_r03:t004,formal_u2_family_056_r03,2,6,u2_family_056,random_stratified,643,13,60,0.33675917983055115,2.0,0.009701943772759854,5,4,"[2, 3, 4, 5, 0]","[1, 1, 1, 1, 0]",simulator_gold_oracle_budget,True
formal_u2_family_056_r04:t003,formal_u2_family_056_r04,1,5,u2_family_056,random_stratified,643,14,60,0.19151626527309418,2.0,0.03012214310514985,5,3,"[1, 2, 3, 4, 5]","[1, 1, 1, 1, 1]",simulator_gold_oracle_budget,True
formal_u2_family_068_r02:t005,formal_u2_family_068_r02,3,7,u2_family_068,random_stratified,643,15,60,0.33675917983055115,2.0,0.006886602365708778,5,4,"[0, 3, 4, 5, 0]","[0, 1, 1, 1, 0]",simulator_gold_oracle_budget,True
formal_u2_family_067_r03:t004,formal_u2_family_067_r03,2,6,u2_family_067,random_stratified,643,16,60,0.11553627997636795,2.0,0.030532010455827232,5,3,"[2, 0, 3, 4, 5]","[1, 0, 1, 1, 1]",simulator_gold_oracle_budget,True
formal_u2_family_031_r03:t006,formal_u2_family_031_r03,4,8,u2_family_031,random_stratified,643,17,60,0.7594584822654724,2.0,0.0215325268412644,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_037_r05:t004,formal_u2_family_037_r05,2,6,u2_family_037,random_stratified,643,18,60,0.11553627997636795,2.0,0.02463703689908563,5,3,"[2, 0, 3, 4, 0]","[1, 0, 1, 1, 0]",simulator_gold_oracle_budget,True
formal_u2_family_056_r05:t005,formal_u2_family_056_r05,3,7,u2_family_056,random_stratified,643,19,60,0.8113319873809814,2.0,0.019776720320915087,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_007_r03:t005,formal_u2_family_007_r03,3,7,u2_family_007,random_stratified,643,20,60,0.33675917983055115,2.0,0.006741523639385796,5,4,"[0, 3, 4, 5, 0]","[0, 1, 1, 1, 0]",simulator_gold_oracle_budget,True
formal_u2_family_050_r02:t006,formal_u2_family_050_r02,4,8,u2_family_050,random_stratified,643,21,60,0.7594584822654724,2.0,0.019178978445459127,5,5,"[3, 4, 5, 6, 0]","[1, 1, 1, 1, 0]",simulator_gold_oracle_budget,True
formal_u2_family_068_r03:t004,formal_u2_family_068_r03,2,6,u2_family_068,random_stratified,643,22,60,0.11553627997636795,2.0,0.030667179774651415,5,3,"[2, 0, 3, 4, 5]","[1, 0, 1, 1, 1]",simulator_gold_oracle_budget,True
formal_u2_family_050_r00:t006,formal_u2_family_050_r00,4,8,u2_family_050,random_stratified,643,23,60,0.7594584822654724,2.0,0.01830406035799694,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_049_r00:t005,formal_u2_family_049_r00,3,7,u2_family_049,random_stratified,643,24,60,0.33675917983055115,2.0,0.005365189426863859,5,4,"[0, 3, 4, 5, 0]","[0, 1, 1, 1, 0]",simulator_gold_oracle_budget,True
formal_u2_family_043_r01:t005,formal_u2_family_043_r01,3,7,u2_family_043,random_stratified,643,25,60,0.33675917983055115,2.0,0.006864760144061915,5,4,"[0, 3, 4, 5, 0]","[0, 1, 1, 1, 0]",simulator_gold_oracle_budget,True
formal_u2_family_002_r01:t003,formal_u2_family_002_r01,1,5,u2_family_002,random_stratified,643,26,60,0.11553627997636795,2.0,0.028106118226253866,5,3,"[1, 2, 3, 4, 5]","[1, 1, 1, 1, 1]",simulator_gold_oracle_budget,True
formal_u2_family_080_r03:t004,formal_u2_family_080_r03,2,6,u2_family_080,random_stratified,643,27,60,0.33675917983055115,2.0,0.008965447318847613,5,4,"[2, 3, 4, 5, 0]","[1, 1, 1, 1, 0]",simulator_gold_oracle_budget,True
formal_u2_family_080_r04:t003,formal_u2_family_080_r04,1,5,u2_family_080,random_stratified,643,28,60,0.19151626527309418,2.0,0.03034135402866666,5,3,"[1, 2, 3, 4, 5]","[1, 1, 1, 1, 1]",simulator_gold_oracle_budget,True
formal_u2_family_038_r04:t005,formal_u2_family_038_r04,3,7,u2_family_038,random_stratified,643,29,60,0.8113319873809814,2.0,0.015110791867682131,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_038_r03:t004,formal_u2_family_038_r03,2,6,u2_family_038,random_stratified,643,30,60,0.33675917983055115,2.0,0.005984784078544238,5,4,"[2, 3, 4, 5, 0]","[1, 1, 1, 1, 0]",simulator_gold_oracle_budget,True
formal_u2_family_062_r03:t004,formal_u2_family_062_r03,2,6,u2_family_062,random_stratified,643,31,60,0.33675917983055115,2.0,0.004683421522061473,5,4,"[2, 3, 4, 5, 0]","[1, 1, 1, 1, 0]",simulator_gold_oracle_budget,True
formal_u2_family_038_r01:t005,formal_u2_family_038_r01,3,7,u2_family_038,random_stratified,643,32,60,0.8113319873809814,2.0,0.01547867177495107,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_038_r02:t005,formal_u2_family_038_r02,3,7,u2_family_038,random_stratified,643,33,60,0.8113319873809814,2.0,0.01642715798871795,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_056_r05:t003,formal_u2_family_056_r05,1,5,u2_family_056,random_stratified,643,34,60,0.19151626527309418,2.0,0.02986605581502831,5,3,"[1, 2, 3, 4, 5]","[1, 1, 1, 1, 1]",simulator_gold_oracle_budget,True
formal_u2_family_020_r03:t006,formal_u2_family_020_r03,4,8,u2_family_020,random_stratified,643,35,60,0.33675917983055115,2.0,0.009881588679318369,5,4,"[0, 3, 4, 5, 0]","[0, 1, 1, 1, 0]",simulator_gold_oracle_budget,True
formal_u2_family_080_r05:t005,formal_u2_family_080_r05,3,7,u2_family_080,random_stratified,643,36,60,0.8113319873809814,2.0,0.015243299353436077,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_019_r02:t004,formal_u2_family_019_r02,2,6,u2_family_019,random_stratified,643,37,60,0.11553627997636795,2.0,0.03073626120164321,5,3,"[2, 0, 3, 4, 0]","[1, 0, 1, 1, 0]",simulator_gold_oracle_budget,True
formal_u2_family_044_r02:t007,formal_u2_family_044_r02,5,9,u2_family_044,random_stratified,643,38,60,0.7594584822654724,2.0,0.025866533818235147,5,5,"[3, 4, 5, 0, 0]","[1, 1, 1, 0, 0]",simulator_gold_oracle_budget,True
formal_u2_family_008_r05:t006,formal_u2_family_008_r05,4,8,u2_family_008,random_stratified,643,39,60,0.33675917983055115,2.0,0.009648811946809908,5,4,"[0, 3, 4, 5, 0]","[0, 1, 1, 1, 0]",simulator_gold_oracle_budget,True
