root_family_id,scenario_for_analysis_only,split
u2_family_000,nominal_success,train
u2_family_001,grazing_contact,train
u2_family_002,slip_recovery,train
u2_family_003,obstacle_detour,train
u2_family_004,terminal_collision,train
u2_family_005,stagnation,train
u2_family_006,nominal_success,train
u2_family_007,grazing_contact,train
u2_family_008,slip_recovery,train
u2_family_009,obstacle_detour,train
u2_family_010,terminal_collision,train
u2_family_011,stagnation,train
u2_family_012,nominal_success,train
u2_family_013,grazing_contact,train
u2_family_014,slip_recovery,train
u2_family_015,obstacle_detour,train
u2_family_016,terminal_collision,train
u2_family_017,stagnation,train
u2_family_018,nominal_success,train
u2_family_019,grazing_contact,train
u2_family_020,slip_recovery,train
u2_family_021,obstacle_detour,train
u2_family_022,terminal_collision,train
u2_family_023,stagnation,train
u2_family_024,nominal_success,train
u2_family_025,grazing_contact,train
u2_family_026,slip_recovery,train
u2_family_027,obstacle_detour,train
u2_family_028,terminal_collision,train
u2_family_029,stagnation,train
u2_family_030,nominal_success,train
u2_family_031,grazing_contact,train
u2_family_032,slip_recovery,train
u2_family_033,obstacle_detour,train
u2_family_034,terminal_collision,train
u2_family_035,stagnation,train
u2_family_036,nominal_success,train
u2_family_037,grazing_contact,train
u2_family_038,slip_recovery,train
u2_family_039,obstacle_detour,train
u2_family_040,terminal_collision,train
u2_family_041,stagnation,train
u2_family_042,nominal_success,train
u2_family_043,grazing_contact,train
u2_family_044,slip_recovery,train
u2_family_045,obstacle_detour,train
u2_family_046,terminal_collision,train
u2_family_047,stagnation,train
u2_family_048,nominal_success,train
u2_family_049,grazing_contact,train
u2_family_050,slip_recovery,train
u2_family_051,obstacle_detour,train
u2_family_052,terminal_collision,train
u2_family_053,stagnation,train
u2_family_054,nominal_success,train
u2_family_055,grazing_contact,train
u2_family_056,slip_recovery,train
u2_family_057,obstacle_detour,train
u2_family_058,terminal_collision,train
u2_family_059,stagnation,train
u2_family_060,nominal_success,train
u2_family_061,grazing_contact,train
u2_family_062,slip_recovery,train
u2_family_063,obstacle_detour,train
u2_family_064,terminal_collision,train
u2_family_065,stagnation,train
u2_family_066,nominal_success,train
u2_family_067,grazing_contact,train
u2_family_068,slip_recovery,train
u2_family_069,obstacle_detour,train
u2_family_070,terminal_collision,train
u2_family_071,stagnation,train
u2_family_072,nominal_success,train
u2_family_073,grazing_contact,train
u2_family_074,slip_recovery,train
u2_family_075,obstacle_detour,train
u2_family_076,terminal_collision,train
u2_family_077,stagnation,train
u2_family_078,nominal_success,train
u2_family_079,grazing_contact,train
u2_family_080,slip_recovery,train
u2_family_081,obstacle_detour,train
u2_family_082,terminal_collision,train
u2_family_083,stagnation,train
u2_family_084,nominal_success,val
u2_family_085,grazing_contact,val
u2_family_086,slip_recovery,val
u2_family_087,obstacle_detour,val
u2_family_088,terminal_collision,val
u2_family_089,stagnation,val
u2_family_090,nominal_success,val
u2_family_091,grazing_contact,val
u2_family_092,slip_recovery,val
u2_family_093,obstacle_detour,val
u2_family_094,terminal_collision,val
u2_family_095,stagnation,val
u2_family_096,nominal_success,val
u2_family_097,grazing_contact,val
u2_family_098,slip_recovery,val
u2_family_099,obstacle_detour,val
u2_family_100,terminal_collision,val
u2_family_101,stagnation,val
u2_family_102,nominal_success,test
u2_family_103,grazing_contact,test
u2_family_104,slip_recovery,test
u2_family_105,obstacle_detour,test
u2_family_106,terminal_collision,test
u2_family_107,stagnation,test
u2_family_108,nominal_success,test
u2_family_109,grazing_contact,test
u2_family_110,slip_recovery,test
u2_family_111,obstacle_detour,test
u2_family_112,terminal_collision,test
u2_family_113,stagnation,test
u2_family_114,nominal_success,test
u2_family_115,grazing_contact,test
u2_family_116,slip_recovery,test
u2_family_117,obstacle_detour,test
u2_family_118,terminal_collision,test
u2_family_119,stagnation,test
