section,metric,value
dataset,episodes,720
dataset,root_families,120
dataset,restore_anchors_pass,40
boundary,best_causal_variant_by_val,offline_teacher_to_causal
boundary,best_causal_test_f1_tol2_mean,0.4771147713869553
boundary,best_causal_test_f1_tol2_std,0.0791619356830095
boundary,best_causal_test_mae_mean,1.3255963894261766
boundary,best_causal_recovery_recall_mean,1.0
boundary,best_causal_reestablished_recall_mean,0.736111111111111
boundary,locked_boundary_source,offline_teacher_to_causal_s623
boundary,locked_rule_test_f1_tol2,0.5428156748911466
segments,count,3794
segments,unknown_segment_rate,0.7092557327380501
decision,u2_decision,GO_U3_WITH_BOUNDARY_FALLBACK
