boundary_source,segment_id,root_family_id,episode_id,split,start_t,end_t,segment_return,dominant_gold_event,event_purity,contains_failure,contains_recovery,contains_success,mixed_failure_recovery
gold,formal_u2_family_000_r00_gold_0,u2_family_000,formal_u2_family_000_r00,train,0,1,-0.0020824968814849854,0,1.0,False,False,False,False
gold,formal_u2_family_000_r00_gold_1,u2_family_000,formal_u2_family_000_r00,train,2,2,0.0,2,1.0,False,False,False,False
gold,formal_u2_family_000_r00_gold_2,u2_family_000,formal_u2_family_000_r00,train,3,6,-0.003758549690246582,0,1.0,False,False,False,False
gold,formal_u2_family_000_r00_gold_3,u2_family_000,formal_u2_family_000_r00,train,7,23,0.9452172517776489,0,1.0,False,False,True,False
gold,formal_u2_family_000_r00_gold_4,u2_family_000,formal_u2_family_000_r00,train,24,25,0.005880892276763916,0,1.0,False,False,True,False
gold,formal_u2_family_000_r01_gold_0,u2_family_000,formal_u2_family_000_r01,train,0,1,0.017766237258911133,0,1.0,False,False,False,False
gold,formal_u2_family_000_r01_gold_1,u2_family_000,formal_u2_family_000_r01,train,2,2,0.0,2,1.0,False,False,False,False
gold,formal_u2_family_000_r01_gold_2,u2_family_000,formal_u2_family_000_r01,train,3,6,-0.0032167434692382812,0,1.0,False,False,False,False
gold,formal_u2_family_000_r01_gold_3,u2_family_000,formal_u2_family_000_r01,train,7,23,0.9373841285705566,0,1.0,False,False,True,False
gold,formal_u2_family_000_r01_gold_4,u2_family_000,formal_u2_family_000_r01,train,24,25,0.004845321178436279,0,1.0,False,False,True,False
gold,formal_u2_family_000_r02_gold_0,u2_family_000,formal_u2_family_000_r02,train,0,1,0.02345457673072815,0,1.0,False,False,False,False
gold,formal_u2_family_000_r02_gold_1,u2_family_000,formal_u2_family_000_r02,train,2,2,0.0,2,1.0,False,False,False,False
gold,formal_u2_family_000_r02_gold_2,u2_family_000,formal_u2_family_000_r02,train,3,5,-0.0036191344261169434,0,1.0,False,False,False,False
gold,formal_u2_family_000_r02_gold_3,u2_family_000,formal_u2_family_000_r02,train,6,24,0.9416772127151489,0,1.0,False,False,True,False
gold,formal_u2_family_000_r02_gold_4,u2_family_000,formal_u2_family_000_r02,train,25,26,0.005170553922653198,0,1.0,False,False,True,False
gold,formal_u2_family_000_r03_gold_0,u2_family_000,formal_u2_family_000_r03,train,0,1,-0.012780845165252686,0,1.0,False,False,False,False
gold,formal_u2_family_000_r03_gold_1,u2_family_000,formal_u2_family_000_r03,train,2,2,0.0,2,1.0,False,False,False,False
gold,formal_u2_family_000_r03_gold_2,u2_family_000,formal_u2_family_000_r03,train,3,6,-0.0032165050506591797,0,1.0,False,False,False,False
gold,formal_u2_family_000_r03_gold_3,u2_family_000,formal_u2_family_000_r03,train,7,24,0.9407204389572144,0,1.0,False,False,True,False
gold,formal_u2_family_000_r03_gold_4,u2_family_000,formal_u2_family_000_r03,train,25,26,0.006120353937149048,0,1.0,False,False,True,False
gold,formal_u2_family_000_r04_gold_0,u2_family_000,formal_u2_family_000_r04,train,0,1,0.00800672173500061,0,1.0,False,False,False,False
gold,formal_u2_family_000_r04_gold_1,u2_family_000,formal_u2_family_000_r04,train,2,2,0.0,2,1.0,False,False,False,False
gold,formal_u2_family_000_r04_gold_2,u2_family_000,formal_u2_family_000_r04,train,3,6,-0.0038920044898986816,0,1.0,False,False,False,False
gold,formal_u2_family_000_r04_gold_3,u2_family_000,formal_u2_family_000_r04,train,7,25,0.94476318359375,0,1.0,False,False,True,False
gold,formal_u2_family_000_r04_gold_4,u2_family_000,formal_u2_family_000_r04,train,26,27,0.0036127716302871704,0,1.0,False,False,True,False
gold,formal_u2_family_000_r05_gold_0,u2_family_000,formal_u2_family_000_r05,train,0,1,0.004364311695098877,0,1.0,False,False,False,False
gold,formal_u2_family_000_r05_gold_1,u2_family_000,formal_u2_family_000_r05,train,2,2,0.0,2,1.0,False,False,False,False
gold,formal_u2_family_000_r05_gold_2,u2_family_000,formal_u2_family_000_r05,train,3,6,-0.0021927356719970703,0,1.0,False,False,False,False
gold,formal_u2_family_000_r05_gold_3,u2_family_000,formal_u2_family_000_r05,train,7,22,0.9381198883056641,0,1.0,False,False,True,False
gold,formal_u2_family_000_r05_gold_4,u2_family_000,formal_u2_family_000_r05,train,23,24,0.007675737142562866,0,1.0,False,False,True,False
