root_family_id,anchor_index,continuation_steps,max_abs_state_error,gold_event_sequence_identical,pass
u2_family_000,0,12,0.0,True,True
u2_family_000,1,12,0.0,True,True
u2_family_001,0,12,0.0,True,True
u2_family_001,1,12,0.0,True,True
u2_family_002,0,12,0.0,True,True
u2_family_002,1,12,0.0,True,True
u2_family_003,0,12,0.0,True,True
u2_family_003,1,12,0.0,True,True
u2_family_004,0,2,0.0,True,True
u2_family_004,1,4,0.0,True,True
u2_family_005,0,12,0.0,True,True
u2_family_005,1,12,0.0,True,True
u2_family_006,0,12,0.0,True,True
u2_family_006,1,12,0.0,True,True
u2_family_007,0,12,0.0,True,True
u2_family_007,1,12,0.0,True,True
u2_family_008,0,12,0.0,True,True
u2_family_008,1,12,0.0,True,True
u2_family_009,0,12,0.0,True,True
u2_family_009,1,12,0.0,True,True
u2_family_010,0,4,0.0,True,True
u2_family_010,1,8,0.0,True,True
u2_family_011,0,12,0.0,True,True
u2_family_011,1,12,0.0,True,True
u2_family_012,0,12,0.0,True,True
u2_family_012,1,12,0.0,True,True
u2_family_013,0,12,0.0,True,True
u2_family_013,1,12,0.0,True,True
u2_family_014,0,12,0.0,True,True
u2_family_014,1,12,0.0,True,True
u2_family_015,0,12,0.0,True,True
u2_family_015,1,12,0.0,True,True
u2_family_016,0,2,0.0,True,True
u2_family_016,1,4,0.0,True,True
u2_family_017,0,12,0.0,True,True
u2_family_017,1,12,0.0,True,True
u2_family_018,0,12,0.0,True,True
u2_family_018,1,12,0.0,True,True
u2_family_019,0,12,0.0,True,True
u2_family_019,1,12,0.0,True,True
