method,split,event_id,event,precision,recall,f1,mae,tp,fp,fn
offline_teacher_s621,val,1,contact_on,1.0,1.0,1.0,0.0,108,0,0
offline_teacher_s621,val,2,transport_on,0.0,0.0,0.0,nan,0,0,108
offline_teacher_s621,val,3,contact_off_failure,1.0,1.0,1.0,0.0,25,0,0
offline_teacher_s621,val,4,recovery_start,1.0,1.0,1.0,0.0,25,0,0
offline_teacher_s621,val,5,contact_reestablished,1.0,1.0,1.0,0.0,23,0,0
offline_teacher_s621,val,6,detour_start,0.028225806451612902,0.11864406779661017,0.04560260586319219,1.5714285714285714,7,241,52
offline_teacher_s621,val,7,goal_enter,1.0,1.0,1.0,0.0,88,0,0
offline_teacher_s621,val,8,stable_success,0.0,0.0,0.0,nan,0,0,88
offline_teacher_s621,val,9,terminal_failure,0.23684210526315788,0.9,0.375,0.0,18,58,2
offline_teacher_s621,val,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,15
offline_teacher_s621,test,1,contact_on,1.0,1.0,1.0,0.0,108,0,0
offline_teacher_s621,test,2,transport_on,0.0,0.0,0.0,nan,0,0,108
offline_teacher_s621,test,3,contact_off_failure,1.0,1.0,1.0,0.0,27,0,0
offline_teacher_s621,test,4,recovery_start,1.0,1.0,1.0,0.0,27,0,0
offline_teacher_s621,test,5,contact_reestablished,1.0,1.0,1.0,0.0,24,0,0
offline_teacher_s621,test,6,detour_start,0.008032128514056224,0.08333333333333333,0.014652014652014649,1.5,2,247,22
offline_teacher_s621,test,7,goal_enter,1.0,1.0,1.0,0.0,87,0,0
offline_teacher_s621,test,8,stable_success,0.0,0.0,0.0,nan,0,0,87
offline_teacher_s621,test,9,terminal_failure,0.4,0.8571428571428571,0.5454545454545455,0.0,18,27,3
offline_teacher_s621,test,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,18
offline_teacher_s622,val,1,contact_on,1.0,1.0,1.0,0.0,108,0,0
offline_teacher_s622,val,2,transport_on,0.0,0.0,0.0,nan,0,0,108
offline_teacher_s622,val,3,contact_off_failure,1.0,1.0,1.0,0.0,25,0,0
offline_teacher_s622,val,4,recovery_start,1.0,1.0,1.0,0.0,25,0,0
offline_teacher_s622,val,5,contact_reestablished,1.0,1.0,1.0,0.0,23,0,0
offline_teacher_s622,val,6,detour_start,0.022123893805309734,0.0847457627118644,0.03508771929824561,1.8,5,221,54
offline_teacher_s622,val,7,goal_enter,1.0,1.0,1.0,0.0,88,0,0
offline_teacher_s622,val,8,stable_success,0.0,0.0,0.0,nan,0,0,88
offline_teacher_s622,val,9,terminal_failure,0.23376623376623376,0.9,0.37113402061855666,0.0,18,59,2
offline_teacher_s622,val,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,15
offline_teacher_s622,test,1,contact_on,1.0,1.0,1.0,0.0,108,0,0
offline_teacher_s622,test,2,transport_on,0.0,0.0,0.0,nan,0,0,108
offline_teacher_s622,test,3,contact_off_failure,1.0,1.0,1.0,0.0,27,0,0
offline_teacher_s622,test,4,recovery_start,1.0,1.0,1.0,0.0,27,0,0
offline_teacher_s622,test,5,contact_reestablished,1.0,1.0,1.0,0.0,24,0,0
offline_teacher_s622,test,6,detour_start,0.008583690987124463,0.08333333333333333,0.015564202334630352,2.0,2,231,22
offline_teacher_s622,test,7,goal_enter,1.0,1.0,1.0,0.0,87,0,0
offline_teacher_s622,test,8,stable_success,0.0,0.0,0.0,nan,0,0,87
offline_teacher_s622,test,9,terminal_failure,0.4,0.8571428571428571,0.5454545454545455,0.0,18,27,3
offline_teacher_s622,test,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,18
offline_teacher_s623,val,1,contact_on,1.0,1.0,1.0,0.0,108,0,0
offline_teacher_s623,val,2,transport_on,0.0,0.0,0.0,nan,0,0,108
offline_teacher_s623,val,3,contact_off_failure,1.0,1.0,1.0,0.0,25,0,0
offline_teacher_s623,val,4,recovery_start,1.0,1.0,1.0,0.0,25,0,0
offline_teacher_s623,val,5,contact_reestablished,1.0,1.0,1.0,0.0,23,0,0
offline_teacher_s623,val,6,detour_start,0.023622047244094488,0.1016949152542373,0.038338658146964855,1.6666666666666667,6,248,53
offline_teacher_s623,val,7,goal_enter,1.0,1.0,1.0,0.0,88,0,0
offline_teacher_s623,val,8,stable_success,0.0,0.0,0.0,nan,0,0,88
offline_teacher_s623,val,9,terminal_failure,0.23376623376623376,0.9,0.37113402061855666,0.0,18,59,2
offline_teacher_s623,val,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,15
offline_teacher_s623,test,1,contact_on,1.0,1.0,1.0,0.0,108,0,0
offline_teacher_s623,test,2,transport_on,0.0,0.0,0.0,nan,0,0,108
offline_teacher_s623,test,3,contact_off_failure,1.0,1.0,1.0,0.0,27,0,0
offline_teacher_s623,test,4,recovery_start,1.0,1.0,1.0,0.0,27,0,0
offline_teacher_s623,test,5,contact_reestablished,1.0,1.0,1.0,0.0,24,0,0
offline_teacher_s623,test,6,detour_start,0.0037313432835820895,0.041666666666666664,0.006849315068493151,2.0,1,267,23
offline_teacher_s623,test,7,goal_enter,1.0,1.0,1.0,0.0,87,0,0
offline_teacher_s623,test,8,stable_success,0.0,0.0,0.0,nan,0,0,87
offline_teacher_s623,test,9,terminal_failure,0.4,0.8571428571428571,0.5454545454545455,0.0,18,27,3
offline_teacher_s623,test,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,18
