key,method,clusters,seed,selection_split,silhouette,transition_entropy,support_balance,next_event_accuracy,selection_score,test_used_for_selection
raw_observable_kmeans_k5_s631,raw_observable_kmeans,5,631,val,0.43112546867334295,0.5186766065618095,0.21743205248359887,0.871244635193133,0.3738374202892645,False
raw_observable_kmeans_k5_s632,raw_observable_kmeans,5,632,val,0.43112546867334295,0.5186766065618095,0.21743205248359887,0.871244635193133,0.3738374202892645,False
raw_observable_kmeans_k5_s633,raw_observable_kmeans,5,633,val,0.43112546867334295,0.5176348840674803,0.21649484536082475,0.871244635193133,0.3739520440758529,False
raw_observable_kmeans_k7_s631,raw_observable_kmeans,7,631,val,0.4643832141367218,0.49735095757086406,0.2947813822284908,0.871244635193133,0.39747769397412536,False
raw_observable_kmeans_k7_s632,raw_observable_kmeans,7,632,val,0.4643832141367218,0.4974247822084412,0.2951977401129944,0.871244635193133,0.3975045648350603,False
raw_observable_kmeans_k7_s633,raw_observable_kmeans,7,633,val,0.4643832141367218,0.4974247822084412,0.2951977401129944,0.871244635193133,0.3975045648350603,False
raw_observable_kmeans_k9_s631,raw_observable_kmeans,9,631,val,0.5739665740430547,0.3653019896747945,0.48267898383371827,0.871244635193133,0.4810314236810786,False
raw_observable_kmeans_k9_s632,raw_observable_kmeans,9,632,val,0.574293121943032,0.3660911478874366,0.48729792147806006,0.871244635193133,0.48144977756797636,False
raw_observable_kmeans_k9_s633,raw_observable_kmeans,9,633,val,0.574293121943032,0.3660911478874366,0.48729792147806006,0.871244635193133,0.48144977756797636,False
raw_observable_kmeans_k11_s631,raw_observable_kmeans,11,631,val,0.6374494759094654,0.33407982450562973,0.18475750577367206,0.871244635193133,0.47970272456215063,False
raw_observable_kmeans_k11_s632,raw_observable_kmeans,11,632,val,0.6374494759094654,0.33425162430601113,0.18475750577367206,0.871244635193133,0.47966836460207435,False
raw_observable_kmeans_k11_s633,raw_observable_kmeans,11,633,val,0.6374494759094654,0.3334722765243472,0.18475750577367206,0.871244635193133,0.47982423415840714,False
history_embedding_kmeans_k5_s631,history_embedding_kmeans,5,631,val,0.48732434681296416,0.3870244795649825,0.3337730870712401,0.871244635193133,0.4314715564962615,False
history_embedding_kmeans_k5_s632,history_embedding_kmeans,5,632,val,0.4786991675714614,0.3804414624325344,0.28891820580474936,0.871244635193133,0.42528385906157606,False
