queue,name,budget,strategy,seed,clips,split,test_used
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget15_random_stratified_s641.csv,budget15_random_stratified_s641.csv,15,random_stratified,641,15,train,False
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget15_random_stratified_s642.csv,budget15_random_stratified_s642.csv,15,random_stratified,642,15,train,False
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget15_random_stratified_s643.csv,budget15_random_stratified_s643.csv,15,random_stratified,643,15,train,False
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget15_entropy_only_s641.csv,budget15_entropy_only_s641.csv,15,entropy_only,641,15,train,False
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget15_entropy_only_s642.csv,budget15_entropy_only_s642.csv,15,entropy_only,642,15,train,False
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget15_entropy_only_s643.csv,budget15_entropy_only_s643.csv,15,entropy_only,643,15,train,False
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget15_entropy_x_event_importance_s641.csv,budget15_entropy_x_event_importance_s641.csv,15,entropy_x_event_importance,641,15,train,False
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget15_entropy_x_event_importance_s642.csv,budget15_entropy_x_event_importance_s642.csv,15,entropy_x_event_importance,642,15,train,False
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget15_entropy_x_event_importance_s643.csv,budget15_entropy_x_event_importance_s643.csv,15,entropy_x_event_importance,643,15,train,False
/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u2_stochastic_boundary/budgeted_correction_v1/queues/budget15_expected_boundary_disagreement_s641.csv,budget15_expected_boundary_disagreement_s641.csv,15,expected_boundary_disagreement,641,15,train,False
