candidate_id,edge_id,edge_type_score,fallback_handles,fallback_status,family_support_score,from_cluster_handle,from_cluster_id,grounding_status,independent_continuation_status,node_pair_score,predicate_effect_score,score,support_root_families,to_cluster_handle,to_cluster_id,transition_handle
qwen:instruction_only_r01,e_approach_to_contact,0.75,F000;F001;F003,train_fragment_support,0.10714286,C10,10,grounded_candidate,not_run_u3g_required_u4,0.56720238,0.33333333,0.48759524,9,C03,3,T018
qwen:instruction_only_r01,e_approach_to_contact,0.75,F000;F001;F003,train_fragment_support,0.08333333,C10,10,grounded_candidate,not_run_u3g_required_u4,0.52791667,0.33333333,0.4695,7,C01,1,T021
qwen:instruction_only_r01,e_approach_to_contact,0.75,F000;F001;F003,train_fragment_support,0.33333333,C03,3,grounded_candidate,not_run_u3g_required_u4,0.48178572,0.16666667,0.42604762,28,C01,1,T008
qwen:instruction_only_r01,e_contact_to_lost,0.75,F002;F008;F016,train_fragment_support,0.27380952,C03,3,grounded_candidate,not_run_u3g_required_u4,0.46470238,0.33333333,0.4632619,23,C08,8,T010
qwen:instruction_only_r01,e_contact_to_lost,0.75,F002;F008;F016,train_fragment_support,0.04761905,C01,1,grounded_candidate,not_run_u3g_required_u4,0.42541666,0.33333333,0.42492857,4,C08,8,T025
qwen:instruction_only_r01,e_lost_to_recovery,0.75,F018;F023;F025,train_fragment_support,0.27380952,C03,3,grounded_candidate,not_run_u3g_required_u4,0.43553571,0.16666667,0.40159524,23,C08,8,T010
qwen:instruction_only_r01,e_recovery_to_contact,0.75,F018;F023;F025,train_fragment_support,0.10714286,C10,10,grounded_candidate,not_run_u3g_required_u4,0.46386905,0.33333333,0.44626191,9,C03,3,T018
qwen:instruction_only_r01,e_recovery_to_contact,0.75,F018;F023;F025,train_fragment_support,0.08333333,C10,10,grounded_candidate,not_run_u3g_required_u4,0.42458334,0.33333333,0.42816667,7,C01,1,T021
qwen:instruction_only_r01,e_recovery_to_contact,0.75,F018;F023;F025,train_fragment_support,0.16666667,C08,8,grounded_candidate,not_run_u3g_required_u4,0.40375,0.28571429,0.41388095,14,C01,1,T014
qwen:instruction_only_r01,e_approach_to_detour,0.75,F005;F015,train_fragment_support,0.10714286,C10,10,grounded_candidate,not_run_u3g_required_u4,0.50470238,0.2,0.42259524,9,C03,3,T018
qwen:instruction_only_r01,e_approach_to_detour,0.75,F005;F015,train_fragment_support,0.0952381,C00,0,grounded_candidate,not_run_u3g_required_u4,0.46678571,0.2,0.40623809,8,C00,0,T019
qwen:instruction_only_r01,e_detour_to_approach,0.75,F005;F015,train_fragment_support,0.10714286,C10,10,grounded_candidate,not_run_u3g_required_u4,0.48553572,0.2,0.41492857,9,C03,3,T018
qwen:instruction_only_r01,e_detour_to_approach,0.75,F005;F015,train_fragment_support,0.0952381,C00,0,grounded_candidate,not_run_u3g_required_u4,0.46678571,0.2,0.40623809,8,C00,0,T019
