denominator,eligible_family_count,false_terminal_claim_rate,graph_id,label_origin,numerator,provenance,root_family_id,scenario_for_analysis_only,split,terminal_claim_denominator,transition_coverage,typed_occurrence_coverage,unknown_rate
109,12,1.0,G0_raw_topology,simulator_info.events,48,confirmation_same_input_frozen_pipeline,u4b_v1_36,nominal_success,confirm,44,0.44036697247706424,0.0,1.0
130,12,1.0,G0_raw_topology,simulator_info.events,75,confirmation_same_input_frozen_pipeline,u4b_v1_37,grazing_contact,confirm,78,0.5769230769230769,0.0,1.0
112,12,1.0,G0_raw_topology,simulator_info.events,43,confirmation_same_input_frozen_pipeline,u4b_v1_38,slip_recovery,confirm,51,0.38392857142857145,0.0,1.0
109,12,1.0,G0_raw_topology,simulator_info.events,42,confirmation_same_input_frozen_pipeline,u4b_v1_39,obstacle_detour,confirm,38,0.3853211009174312,0.0,1.0
27,12,0.5,G0_raw_topology,simulator_info.events,8,confirmation_same_input_frozen_pipeline,u4b_v1_40,terminal_collision,confirm,8,0.2962962962962963,0.0,1.0
140,12,1.0,G0_raw_topology,simulator_info.events,41,confirmation_same_input_frozen_pipeline,u4b_v1_41,stagnation,confirm,71,0.29285714285714287,0.0,1.0
95,12,1.0,G0_raw_topology,simulator_info.events,58,confirmation_same_input_frozen_pipeline,u4b_v1_42,nominal_success,confirm,4,0.6105263157894737,0.0,1.0
98,12,1.0,G0_raw_topology,simulator_info.events,55,confirmation_same_input_frozen_pipeline,u4b_v1_43,grazing_contact,confirm,6,0.5612244897959183,0.0,1.0
100,12,1.0,G0_raw_topology,simulator_info.events,49,confirmation_same_input_frozen_pipeline,u4b_v1_44,slip_recovery,confirm,12,0.49,0.0,1.0
96,12,1.0,G0_raw_topology,simulator_info.events,57,confirmation_same_input_frozen_pipeline,u4b_v1_45,obstacle_detour,confirm,4,0.59375,0.0,1.0
33,12,0.5,G0_raw_topology,simulator_info.events,12,confirmation_same_input_frozen_pipeline,u4b_v1_46,terminal_collision,confirm,8,0.36363636363636365,0.0,1.0
121,12,1.0,G0_raw_topology,simulator_info.events,55,confirmation_same_input_frozen_pipeline,u4b_v1_47,stagnation,confirm,31,0.45454545454545453,0.0,1.0
109,12,1.0,G1_semantic_only,simulator_info.events,48,confirmation_same_input_frozen_pipeline,u4b_v1_36,nominal_success,confirm,44,0.44036697247706424,0.03669724770642202,0.963302752293578
130,12,1.0,G1_semantic_only,simulator_info.events,75,confirmation_same_input_frozen_pipeline,u4b_v1_37,grazing_contact,confirm,78,0.5769230769230769,0.023076923076923078,0.9769230769230769
112,12,1.0,G1_semantic_only,simulator_info.events,43,confirmation_same_input_frozen_pipeline,u4b_v1_38,slip_recovery,confirm,51,0.38392857142857145,0.03571428571428571,0.9642857142857143
109,12,1.0,G1_semantic_only,simulator_info.events,42,confirmation_same_input_frozen_pipeline,u4b_v1_39,obstacle_detour,confirm,38,0.3853211009174312,0.03669724770642202,0.963302752293578
27,12,0.5,G1_semantic_only,simulator_info.events,8,confirmation_same_input_frozen_pipeline,u4b_v1_40,terminal_collision,confirm,8,0.2962962962962963,0.0,1.0
140,12,1.0,G1_semantic_only,simulator_info.events,41,confirmation_same_input_frozen_pipeline,u4b_v1_41,stagnation,confirm,71,0.29285714285714287,0.02857142857142857,0.9714285714285714
95,12,1.0,G1_semantic_only,simulator_info.events,58,confirmation_same_input_frozen_pipeline,u4b_v1_42,nominal_success,confirm,4,0.6105263157894737,0.042105263157894736,0.9578947368421052
98,12,1.0,G1_semantic_only,simulator_info.events,55,confirmation_same_input_frozen_pipeline,u4b_v1_43,grazing_contact,confirm,6,0.5612244897959183,0.04081632653061224,0.9591836734693877
100,12,1.0,G1_semantic_only,simulator_info.events,49,confirmation_same_input_frozen_pipeline,u4b_v1_44,slip_recovery,confirm,12,0.49,0.04,0.96
96,12,1.0,G1_semantic_only,simulator_info.events,57,confirmation_same_input_frozen_pipeline,u4b_v1_45,obstacle_detour,confirm,4,0.59375,0.041666666666666664,0.9583333333333334
33,12,0.5,G1_semantic_only,simulator_info.events,12,confirmation_same_input_frozen_pipeline,u4b_v1_46,terminal_collision,confirm,8,0.36363636363636365,0.0,1.0
121,12,1.0,G1_semantic_only,simulator_info.events,55,confirmation_same_input_frozen_pipeline,u4b_v1_47,stagnation,confirm,31,0.45454545454545453,0.03305785123966942,0.9669421487603306
109,12,1.0,G2_evidence_edited,simulator_info.events,48,confirmation_same_input_frozen_pipeline,u4b_v1_36,nominal_success,confirm,40,0.44036697247706424,0.03669724770642202,0.963302752293578
130,12,1.0,G2_evidence_edited,simulator_info.events,75,confirmation_same_input_frozen_pipeline,u4b_v1_37,grazing_contact,confirm,69,0.5769230769230769,0.023076923076923078,0.9769230769230769
112,12,1.0,G2_evidence_edited,simulator_info.events,43,confirmation_same_input_frozen_pipeline,u4b_v1_38,slip_recovery,confirm,43,0.38392857142857145,0.03571428571428571,0.9642857142857143
109,12,1.0,G2_evidence_edited,simulator_info.events,42,confirmation_same_input_frozen_pipeline,u4b_v1_39,obstacle_detour,confirm,34,0.3853211009174312,0.03669724770642202,0.963302752293578
27,12,0.0,G2_evidence_edited,simulator_info.events,8,confirmation_same_input_frozen_pipeline,u4b_v1_40,terminal_collision,confirm,4,0.2962962962962963,0.0,1.0
140,12,1.0,G2_evidence_edited,simulator_info.events,41,confirmation_same_input_frozen_pipeline,u4b_v1_41,stagnation,confirm,33,0.29285714285714287,0.02857142857142857,0.9714285714285714
95,12,,G2_evidence_edited,simulator_info.events,58,confirmation_same_input_frozen_pipeline,u4b_v1_42,nominal_success,confirm,0,0.6105263157894737,0.042105263157894736,0.9578947368421052
98,12,,G2_evidence_edited,simulator_info.events,55,confirmation_same_input_frozen_pipeline,u4b_v1_43,grazing_contact,confirm,0,0.5612244897959183,0.04081632653061224,0.9591836734693877
100,12,,G2_evidence_edited,simulator_info.events,49,confirmation_same_input_frozen_pipeline,u4b_v1_44,slip_recovery,confirm,0,0.49,0.04,0.96
96,12,,G2_evidence_edited,simulator_info.events,57,confirmation_same_input_frozen_pipeline,u4b_v1_45,obstacle_detour,confirm,0,0.59375,0.041666666666666664,0.9583333333333334
33,12,0.0,G2_evidence_edited,simulator_info.events,12,confirmation_same_input_frozen_pipeline,u4b_v1_46,terminal_collision,confirm,4,0.36363636363636365,0.0,1.0
121,12,,G2_evidence_edited,simulator_info.events,55,confirmation_same_input_frozen_pipeline,u4b_v1_47,stagnation,confirm,0,0.45454545454545453,0.03305785123966942,0.9669421487603306
