dst,dwell_count,edge_id,eligible_family_count,failure_event_count,occurrence_count,proposed_semantic,provenance,raw_pair,recovery_achieved_count,recovery_attempt_count,semantic_status,src,unknown_count
C05,0,T000,42,0,208,progress,legacy_train_cache,"[3, 5]",0,0,mixed/unresolved,C03,190
C02,0,T001,35,0,206,progress,legacy_train_cache,"[9, 2]",0,0,proposed,C09,0
C02,0,T002,35,0,204,progress,legacy_train_cache,"[6, 2]",0,0,proposed,C06,0
C06,0,T003,35,0,196,progress,legacy_train_cache,"[1, 6]",1,0,proposed,C01,0
C07,0,T004,35,0,137,progress,legacy_train_cache,"[4, 7]",0,0,proposed,C04,0
C09,0,T005,35,0,137,progress,legacy_train_cache,"[7, 9]",0,0,proposed,C07,0
C04,0,T006,34,0,175,progress,legacy_train_cache,"[5, 4]",17,0,proposed,C05,5
C09,0,T007,30,0,69,progress,legacy_train_cache,"[4, 9]",0,0,proposed,C04,0
C01,0,T008,28,0,128,progress,legacy_train_cache,"[3, 1]",0,0,mixed/unresolved,C03,127
C06,0,T009,26,0,57,progress,legacy_train_cache,"[6, 6]",0,0,proposed,C06,0
C08,0,T010,23,0,96,progress,legacy_train_cache,"[3, 8]",0,0,mixed/unresolved,C03,95
C09,0,T011,22,0,33,progress,legacy_train_cache,"[9, 9]",0,0,proposed,C09,0
C01,0,T012,19,0,53,progress,legacy_train_cache,"[1, 1]",12,0,proposed,C01,0
C05,0,T013,16,0,55,progress,legacy_train_cache,"[5, 5]",1,0,proposed,C05,0
C01,0,T014,14,36,53,recovery_attempt,legacy_train_cache,"[8, 1]",25,53,proposed,C08,0
C05,0,T015,12,0,31,unknown,legacy_train_cache,"[10, 5]",0,0,mixed/unresolved,C10,31
C05,0,T016,11,35,35,failure_event,legacy_train_cache,"[8, 5]",17,35,proposed,C08,0
C04,0,T017,10,14,20,recovery_attempt,legacy_train_cache,"[8, 4]",6,20,proposed,C08,0
C03,0,T018,9,0,26,unknown,legacy_train_cache,"[10, 3]",0,0,mixed/unresolved,C10,26
C00,0,T019,8,0,125,recovery_achieved,legacy_train_cache,"[0, 0]",2,0,mixed/unresolved,C00,123
C00,0,T020,8,10,10,failure_event,legacy_train_cache,"[8, 0]",0,10,proposed,C08,0
C01,0,T021,7,0,27,unknown,legacy_train_cache,"[10, 1]",0,0,mixed/unresolved,C10,27
C04,0,T022,6,0,11,progress,legacy_train_cache,"[3, 4]",0,0,proposed,C03,0
C01,0,T023,5,0,9,progress,legacy_train_cache,"[5, 1]",0,0,proposed,C05,0
C06,0,T024,5,1,8,recovery_attempt,legacy_train_cache,"[8, 6]",7,8,proposed,C08,0
C08,0,T025,4,24,24,failure_event,legacy_train_cache,"[1, 8]",0,0,proposed,C01,0
C06,0,T026,3,0,3,unknown,legacy_train_cache,"[3, 6]",0,0,mixed/unresolved,C03,3
C01,0,T027,3,0,3,progress,legacy_train_cache,"[6, 1]",0,0,proposed,C06,0
C08,0,T028,1,6,6,failure_event,legacy_train_cache,"[5, 8]",0,0,mixed/unresolved,C05,0
C04,0,T029,1,0,2,recovery_achieved,legacy_train_cache,"[4, 4]",2,0,mixed/unresolved,C04,0
