episode_id,n_steps,path,rollout_seed,root_family_id,split,success,terminal_reason
u4b_u4b_v1_24_8401240,27,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/confirmation/u4b_u4b_v1_24_8401240.json,8401240,u4b_v1_24,confirm,True,stable_success
u4b_u4b_v1_24_8401241,27,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/confirmation/u4b_u4b_v1_24_8401241.json,8401241,u4b_v1_24,confirm,True,stable_success
u4b_u4b_v1_24_8401242,27,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/confirmation/u4b_u4b_v1_24_8401242.json,8401242,u4b_v1_24,confirm,True,stable_success
u4b_u4b_v1_24_8401243,27,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/confirmation/u4b_u4b_v1_24_8401243.json,8401243,u4b_v1_24,confirm,True,stable_success
u4b_u4b_v1_25_8401250,27,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/confirmation/u4b_u4b_v1_25_8401250.json,8401250,u4b_v1_25,confirm,True,stable_success
u4b_u4b_v1_25_8401251,29,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/confirmation/u4b_u4b_v1_25_8401251.json,8401251,u4b_v1_25,confirm,True,stable_success
u4b_u4b_v1_25_8401252,27,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/confirmation/u4b_u4b_v1_25_8401252.json,8401252,u4b_v1_25,confirm,True,stable_success
u4b_u4b_v1_25_8401253,31,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/confirmation/u4b_u4b_v1_25_8401253.json,8401253,u4b_v1_25,confirm,True,stable_success
u4b_u4b_v1_26_8401260,23,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/confirmation/u4b_u4b_v1_26_8401260.json,8401260,u4b_v1_26,confirm,True,stable_success
u4b_u4b_v1_26_8401261,30,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/confirmation/u4b_u4b_v1_26_8401261.json,8401261,u4b_v1_26,confirm,True,stable_success
u4b_u4b_v1_26_8401262,28,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/confirmation/u4b_u4b_v1_26_8401262.json,8401262,u4b_v1_26,confirm,True,stable_success
u4b_u4b_v1_26_8401263,31,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/confirmation/u4b_u4b_v1_26_8401263.json,8401263,u4b_v1_26,confirm,True,stable_success
u4b_u4b_v1_27_8401270,28,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/confirmation/u4b_u4b_v1_27_8401270.json,8401270,u4b_v1_27,confirm,True,stable_success
u4b_u4b_v1_27_8401271,27,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/confirmation/u4b_u4b_v1_27_8401271.json,8401271,u4b_v1_27,confirm,True,stable_success
u4b_u4b_v1_27_8401272,28,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/confirmation/u4b_u4b_v1_27_8401272.json,8401272,u4b_v1_27,confirm,True,stable_success
u4b_u4b_v1_27_8401273,25,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/confirmation/u4b_u4b_v1_27_8401273.json,8401273,u4b_v1_27,confirm,True,stable_success
u4b_u4b_v1_28_8401280,6,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/confirmation/u4b_u4b_v1_28_8401280.json,8401280,u4b_v1_28,confirm,False,terminal_collision
u4b_u4b_v1_28_8401281,7,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/confirmation/u4b_u4b_v1_28_8401281.json,8401281,u4b_v1_28,confirm,False,terminal_collision
u4b_u4b_v1_28_8401282,6,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/confirmation/u4b_u4b_v1_28_8401282.json,8401282,u4b_v1_28,confirm,False,terminal_collision
u4b_u4b_v1_28_8401283,7,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/data/confirmation/u4b_u4b_v1_28_8401283.json,8401283,u4b_v1_28,confirm,False,terminal_collision
