counterexample_ids,eligible_family_count,legacy_occurrences,node_id,observable_predicates,raw_cluster_id,role,role_source,semantic_status
,8,135,C00,contact_absent;object_stationary;collision_detected,0,failure_terminal,legacy_topology_only,unknown
,35,493,C01,contact_present;object_stationary,1,intermediate,legacy_topology_only,unknown
,70,410,C02,contact_present;object_inside_goal;object_stationary;object_moving,2,success_terminal,legacy_topology_only,unknown
,79,472,C03,contact_present;object_stationary,3,start,legacy_topology_only,unknown
,35,414,C04,collision_detected;contact_present;object_stationary,4,failure_terminal,legacy_topology_only,unknown
,54,519,C05,contact_present;object_stationary;collision_detected;object_moving,5,failure_terminal,legacy_topology_only,unknown
,35,471,C06,contact_present;object_stationary,6,intermediate,legacy_topology_only,unknown
,35,274,C07,contact_present;object_stationary;object_moving,7,intermediate,legacy_topology_only,unknown
,28,252,C08,object_stationary;contact_absent;contact_present;collision_detected,8,failure_terminal,legacy_topology_only,unknown
,35,445,C09,contact_present;object_stationary;object_inside_goal;object_moving,9,intermediate,legacy_topology_only,unknown
,14,84,C10,contact_absent;object_stationary,10,failure_terminal,legacy_topology_only,unknown
