episode_id,n_steps,path,rollout_seed,root_family_id,split,success,terminal_reason
u4b_u4b_v1_60_8700000,28,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_60_8700000.json,8700000,u4b_v1_60,confirm,True,stable_success
u4b_u4b_v1_60_8700001,28,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_60_8700001.json,8700001,u4b_v1_60,confirm,True,stable_success
u4b_u4b_v1_60_8700002,26,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_60_8700002.json,8700002,u4b_v1_60,confirm,True,stable_success
u4b_u4b_v1_60_8700003,24,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_60_8700003.json,8700003,u4b_v1_60,confirm,True,stable_success
u4b_u4b_v1_61_8700010,28,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_61_8700010.json,8700010,u4b_v1_61,confirm,True,stable_success
u4b_u4b_v1_61_8700011,29,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_61_8700011.json,8700011,u4b_v1_61,confirm,True,stable_success
u4b_u4b_v1_61_8700012,48,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_61_8700012.json,8700012,u4b_v1_61,confirm,False,horizon
u4b_u4b_v1_61_8700013,26,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_61_8700013.json,8700013,u4b_v1_61,confirm,True,stable_success
u4b_u4b_v1_62_8700020,25,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_62_8700020.json,8700020,u4b_v1_62,confirm,True,stable_success
u4b_u4b_v1_62_8700021,29,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_62_8700021.json,8700021,u4b_v1_62,confirm,True,stable_success
u4b_u4b_v1_62_8700022,28,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_62_8700022.json,8700022,u4b_v1_62,confirm,True,stable_success
u4b_u4b_v1_62_8700023,29,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_62_8700023.json,8700023,u4b_v1_62,confirm,True,stable_success
u4b_u4b_v1_63_8700030,25,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_63_8700030.json,8700030,u4b_v1_63,confirm,True,stable_success
u4b_u4b_v1_63_8700031,26,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_63_8700031.json,8700031,u4b_v1_63,confirm,True,stable_success
u4b_u4b_v1_63_8700032,25,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_63_8700032.json,8700032,u4b_v1_63,confirm,True,stable_success
u4b_u4b_v1_63_8700033,30,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_63_8700033.json,8700033,u4b_v1_63,confirm,True,stable_success
u4b_u4b_v1_64_8700040,6,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_64_8700040.json,8700040,u4b_v1_64,confirm,False,terminal_collision
u4b_u4b_v1_64_8700041,6,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_64_8700041.json,8700041,u4b_v1_64,confirm,False,terminal_collision
u4b_u4b_v1_64_8700042,7,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_64_8700042.json,8700042,u4b_v1_64,confirm,False,terminal_collision
u4b_u4b_v1_64_8700043,7,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_64_8700043.json,8700043,u4b_v1_64,confirm,False,terminal_collision
u4b_u4b_v1_65_8700050,35,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_65_8700050.json,8700050,u4b_v1_65,confirm,True,stable_success
u4b_u4b_v1_65_8700051,36,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_65_8700051.json,8700051,u4b_v1_65,confirm,True,stable_success
u4b_u4b_v1_65_8700052,39,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_65_8700052.json,8700052,u4b_v1_65,confirm,True,stable_success
u4b_u4b_v1_65_8700053,37,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_65_8700053.json,8700053,u4b_v1_65,confirm,True,stable_success
u4b_u4b_v1_66_8700060,21,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_66_8700060.json,8700060,u4b_v1_66,confirm,True,stable_success
u4b_u4b_v1_66_8700061,23,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_66_8700061.json,8700061,u4b_v1_66,confirm,True,stable_success
u4b_u4b_v1_66_8700062,23,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_66_8700062.json,8700062,u4b_v1_66,confirm,True,stable_success
u4b_u4b_v1_66_8700063,23,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_66_8700063.json,8700063,u4b_v1_66,confirm,True,stable_success
u4b_u4b_v1_67_8700070,25,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_67_8700070.json,8700070,u4b_v1_67,confirm,True,stable_success
u4b_u4b_v1_67_8700071,26,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_67_8700071.json,8700071,u4b_v1_67,confirm,True,stable_success
u4b_u4b_v1_67_8700072,23,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_67_8700072.json,8700072,u4b_v1_67,confirm,True,stable_success
u4b_u4b_v1_67_8700073,25,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_67_8700073.json,8700073,u4b_v1_67,confirm,True,stable_success
u4b_u4b_v1_68_8700080,25,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_68_8700080.json,8700080,u4b_v1_68,confirm,True,stable_success
u4b_u4b_v1_68_8700081,28,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_68_8700081.json,8700081,u4b_v1_68,confirm,True,stable_success
u4b_u4b_v1_68_8700082,27,artifacts/pathgraph_sarm/upgrade_v2/u4_bplus_v1/torch_recovery_v2/data/confirmation/u4b_u4b_v1_68_8700082.json,8700082,u4b_v1_68,confirm,True,stable_success
