failure_event_denominator,failure_event_precision,failure_event_recall,false_terminal_claim_rate,graph_id,recovery_achieved_denominator,recovery_achieved_precision,recovery_achieved_recall,root_family_id,terminal_claim_coverage,transition_coverage,typed_occurrence_coverage
0,,,,G0_raw_topology,0,,,u4r1_confirm_000,0.0,1.0,0.0
1,,0.0,,G0_raw_topology,0,,,u4r1_confirm_001,0.0,1.0,0.0
4,,0.0,,G0_raw_topology,4,,0.0,u4r1_confirm_002,0.0,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_003,0.0,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_004,0.0,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_005,0.0,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_006,0.0,1.0,0.0
2,,0.0,1.0,G0_raw_topology,1,,0.0,u4r1_confirm_007,0.030303030303030304,1.0,0.0
4,,0.0,1.0,G0_raw_topology,4,,0.0,u4r1_confirm_008,0.07407407407407407,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_009,0.0,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_010,0.0,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_011,0.0,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_012,0.0,1.0,0.0
1,,0.0,,G0_raw_topology,1,,0.0,u4r1_confirm_013,0.0,1.0,0.0
4,,0.0,,G0_raw_topology,4,,0.0,u4r1_confirm_014,0.0,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_015,0.0,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_016,0.0,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_017,0.0,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_018,0.0,1.0,0.0
1,,0.0,,G0_raw_topology,1,,0.0,u4r1_confirm_019,0.0,1.0,0.0
4,,0.0,1.0,G0_raw_topology,4,,0.0,u4r1_confirm_020,0.08163265306122448,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_021,0.0,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_022,0.0,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_023,0.0,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_024,0.0,1.0,0.0
3,,0.0,1.0,G0_raw_topology,2,,0.0,u4r1_confirm_025,0.11764705882352941,1.0,0.0
4,,0.0,1.0,G0_raw_topology,4,,0.0,u4r1_confirm_026,0.03636363636363636,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_027,0.0,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_028,0.0,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_029,0.0,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_030,0.0,1.0,0.0
1,,0.0,1.0,G0_raw_topology,1,,0.0,u4r1_confirm_031,0.022727272727272728,1.0,0.0
4,,0.0,,G0_raw_topology,4,,0.0,u4r1_confirm_032,0.0,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_033,0.0,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_034,0.0,1.0,0.0
0,,,,G0_raw_topology,0,,,u4r1_confirm_035,0.0,1.0,0.0
0,,,,G1_semantic_only,0,,,u4r1_confirm_000,0.0,1.0,0.3023255813953488
1,,0.0,,G1_semantic_only,0,,,u4r1_confirm_001,0.0,1.0,0.2833333333333333
4,,0.0,,G1_semantic_only,4,,0.0,u4r1_confirm_002,0.0,1.0,0.26229508196721313
0,,,,G1_semantic_only,0,,,u4r1_confirm_003,0.0,1.0,0.27906976744186046
0,,,,G1_semantic_only,0,,,u4r1_confirm_004,0.0,1.0,0.6
0,,,,G1_semantic_only,0,,,u4r1_confirm_005,0.0,1.0,0.3404255319148936
0,,,,G1_semantic_only,0,,,u4r1_confirm_006,0.0,1.0,0.2222222222222222
2,,0.0,1.0,G1_semantic_only,1,,0.0,u4r1_confirm_007,0.030303030303030304,1.0,0.3939393939393939
4,,0.0,1.0,G1_semantic_only,4,,0.0,u4r1_confirm_008,0.07407407407407407,1.0,0.09259259259259259
0,,,,G1_semantic_only,0,,,u4r1_confirm_009,0.0,1.0,0.1956521739130435
0,,,,G1_semantic_only,0,,,u4r1_confirm_010,0.0,1.0,0.2857142857142857
0,,,,G1_semantic_only,0,,,u4r1_confirm_011,0.0,1.0,0.23255813953488372
0,,,,G1_semantic_only,0,,,u4r1_confirm_012,0.0,1.0,0.3333333333333333
1,,0.0,,G1_semantic_only,1,,0.0,u4r1_confirm_013,0.0,1.0,0.29545454545454547
4,,0.0,,G1_semantic_only,4,,0.0,u4r1_confirm_014,0.0,1.0,0.26666666666666666
0,,,,G1_semantic_only,0,,,u4r1_confirm_015,0.0,1.0,0.2727272727272727
0,,,,G1_semantic_only,0,,,u4r1_confirm_016,0.0,1.0,0.5333333333333333
0,,,,G1_semantic_only,0,,,u4r1_confirm_017,0.0,1.0,0.2549019607843137
0,,,,G1_semantic_only,0,,,u4r1_confirm_018,0.0,1.0,0.2222222222222222
1,,0.0,,G1_semantic_only,1,,0.0,u4r1_confirm_019,0.0,1.0,0.23076923076923078
4,,0.0,1.0,G1_semantic_only,4,,0.0,u4r1_confirm_020,0.08163265306122448,1.0,0.08163265306122448
0,,,,G1_semantic_only,0,,,u4r1_confirm_021,0.0,1.0,0.21621621621621623
0,,,,G1_semantic_only,0,,,u4r1_confirm_022,0.0,1.0,0.3076923076923077
0,,,,G1_semantic_only,0,,,u4r1_confirm_023,0.0,1.0,0.20408163265306123
0,,,,G1_semantic_only,0,,,u4r1_confirm_024,0.0,1.0,0.3157894736842105
