dst_cluster_id,evaluator_semantics,family_count,occurrence_count,src_cluster_id
0,"['alternative', 'censored_unknown', 'dwell']",1,26,0
1,['recovery_achieved'],3,4,0
10,[],1,1,0
3,[],1,4,0
4,[],1,1,0
5,['recovery_achieved'],1,2,0
8,['recovery_achieved'],3,6,0
1,[],5,99,1
10,['failure_event'],1,2,1
5,[],4,6,1
6,[],5,33,1
0,['recovery_attempt'],4,13,10
10,['dwell'],2,80,10
3,[],12,49,10
2,['terminal_success'],10,78,2
0,[],1,4,3
1,['progress'],4,16,3
10,['failure_event'],1,4,3
3,['progress'],12,65,3
4,[],1,1,3
5,['progress'],7,28,3
0,[],1,2,4
4,[],5,146,4
7,[],5,19,4
1,[],1,2,5
10,['failure_event'],2,7,5
4,"['alternative', 'terminal_failure']",7,25,5
5,[],7,73,5
6,[],2,4,5
1,[],5,17,6
2,['progress'],5,20,6
6,[],5,182,6
7,[],5,53,7
9,[],5,19,7
1,[],1,2,8
4,['alternative'],1,2,8
5,[],2,2,8
2,['progress'],5,19,9
9,[],5,77,9
