alternative_denominator,alternative_f1,alternative_precision,alternative_recall,ambiguous_guard_rate,censored_occurrence_count,dwell_denominator,dwell_f1,dwell_precision,dwell_recall,failure_event_denominator,failure_event_f1,failure_event_precision,failure_event_recall,failure_terminal_denominator,failure_terminal_f1,failure_terminal_precision,failure_terminal_predicted_count,failure_terminal_recall,false_terminal_claim_denominator,false_terminal_claim_rate,graph_id,guard_ambiguous_count,mixed_pair_occurrence_rate,occurrence_count,progress_denominator,progress_f1,progress_precision,progress_recall,recovery_achieved_denominator,recovery_achieved_f1,recovery_achieved_precision,recovery_achieved_recall,recovery_attempt_denominator,recovery_attempt_f1,recovery_attempt_precision,recovery_attempt_recall,root_family_id,scenario_for_analysis_only,terminal_abstention_rate,terminal_actual_count,terminal_claim_count,terminal_claim_coverage,terminal_failure_denominator,terminal_failure_f1,terminal_failure_precision,terminal_failure_recall,terminal_success_denominator,terminal_success_f1,terminal_success_precision,terminal_success_recall,transition_coverage,typed_occurrence_coverage,unknown_rate
4,,,0.0,0.0,0,0,,,,0,,,,0,,,0,,0,,G1_single_label_v2,0,0.0,43,8,,,0.0,0,,0.0,,0,,,,u4r1_confirm_000,nominal_success,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.023255813953488372,0.9767441860465116
4,,,0.0,0.0,0,1,,,0.0,1,,,0.0,0,,,0,,0,,G1_single_label_v2,0,0.0,60,7,,,0.0,0,,,,1,,,0.0,u4r1_confirm_001,grazing_contact,1.0,3,0,0.0,0,,,,3,,,0.0,1.0,0.0,1.0
4,,,0.0,0.0,0,0,,,,4,,,0.0,0,,,0,,0,,G1_single_label_v2,0,0.0,61,8,,,0.0,4,,,0.0,4,,,0.0,u4r1_confirm_002,slip_recovery,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.0,1.0
4,,,0.0,0.0,0,0,,,,0,,,,0,,,0,,0,,G1_single_label_v2,0,0.0,43,8,,,0.0,0,,,,0,,,,u4r1_confirm_003,obstacle_detour,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.0,1.0
0,,,,0.0,0,0,,,,0,,,,4,,,0,0.0,0,,G1_single_label_v2,0,0.0,15,4,,,0.0,0,,0.0,,0,,,,u4r1_confirm_004,terminal_collision,1.0,4,0,0.0,4,,,0.0,0,,,,1.0,0.06666666666666667,0.9333333333333333
4,,,0.0,0.0,0,0,,,,0,,,,0,,,0,,0,,G1_single_label_v2,0,0.0,47,8,,,0.0,0,,0.0,,0,,,,u4r1_confirm_005,stagnation,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.0851063829787234,0.9148936170212766
0,,,,0.0,0,0,,,,0,,,,0,,,0,,0,,G1_single_label_v2,0,0.0,36,8,0.6666666666666666,1.0,0.5,0,,,,0,,,,u4r1_confirm_006,nominal_success,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.1111111111111111,0.8888888888888888
0,,,,0.0,0,1,,,0.0,2,,,0.0,0,,0.0,2,,2,1.0,G1_single_label_v2,0,0.0,66,7,0.6,1.0,0.42857142857142855,1,,,0.0,2,,,0.0,u4r1_confirm_007,grazing_contact,0.9696969696969697,3,2,0.030303030303030304,0,,,,3,,,0.0,1.0,0.045454545454545456,0.9545454545454546
0,,,,0.0,0,0,,,,4,,,0.0,0,,0.0,4,,4,1.0,G1_single_label_v2,0,0.0,54,8,0.6666666666666666,1.0,0.5,4,,,0.0,4,,,0.0,u4r1_confirm_008,slip_recovery,0.9259259259259259,4,4,0.07407407407407407,0,,,,4,,,0.0,1.0,0.07407407407407407,0.9259259259259259
0,,,,0.0,0,0,,,,0,,,,0,,,0,,0,,G1_single_label_v2,0,0.0,46,8,0.6666666666666666,1.0,0.5,0,,0.0,,0,,,,u4r1_confirm_009,obstacle_detour,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.10869565217391304,0.8913043478260869
