denominator,f1,graph_id,precision,recall,semantic
33,,G1_single_label_v2,,0.0,failure_event
33,,G1_single_label_v2,,0.0,recovery_attempt
30,,G1_single_label_v2,0.0,0.0,recovery_achieved
24,,G1_single_label_v2,,0.0,terminal_failure
117,,G1_single_label_v2,,0.0,terminal_success
261,0.36875,G1_single_label_v2,1.0,0.2260536398467433,progress
60,0.03278688524590164,G1_single_label_v2,1.0,0.016666666666666666,alternative
3,,G1_single_label_v2,,0.0,dwell
33,,G3_guard_rule_multigraph,,0.0,failure_event
33,,G3_guard_rule_multigraph,,0.0,recovery_attempt
30,,G3_guard_rule_multigraph,,0.0,recovery_achieved
24,,G3_guard_rule_multigraph,,0.0,terminal_failure
117,,G3_guard_rule_multigraph,,0.0,terminal_success
261,0.36875,G3_guard_rule_multigraph,1.0,0.2260536398467433,progress
60,0.03278688524590164,G3_guard_rule_multigraph,1.0,0.016666666666666666,alternative
3,,G3_guard_rule_multigraph,,0.0,dwell
