bootstrap_resamples,bootstrap_unit,ci_high,ci_low,comparison,effect,metric,paired_family_count,status
5000,root_family_id,0.0,0.0,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.0,transition_coverage,36,estimable
5000,root_family_id,-0.007265478874905253,-0.021291354769938334,G3_guard_rule_multigraph_minus_G1_single_label_v2,-0.01390138851638872,typed_occurrence_coverage,36,estimable
5000,root_family_id,0.021291354769938348,0.007265478874905261,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.013901388516388731,unknown_rate,36,estimable
5000,root_family_id,0.0,0.0,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.0,ambiguous_guard_rate,36,estimable
0,root_family_id,,,G3_guard_rule_multigraph_minus_G1_single_label_v2,,failure_event_precision,0,not_estimable
5000,root_family_id,0.0,0.0,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.0,failure_event_recall,12,estimable
0,root_family_id,,,G3_guard_rule_multigraph_minus_G1_single_label_v2,,recovery_attempt_precision,0,not_estimable
5000,root_family_id,0.0,0.0,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.0,recovery_attempt_recall,12,estimable
0,root_family_id,,,G3_guard_rule_multigraph_minus_G1_single_label_v2,,recovery_achieved_precision,0,not_estimable
5000,root_family_id,0.0,0.0,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.0,recovery_achieved_recall,11,estimable
5000,root_family_id,0.0,0.0,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.0,failure_terminal_precision,6,estimable
5000,root_family_id,0.0,0.0,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.0,failure_terminal_recall,6,estimable
5000,root_family_id,0.0,0.0,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.0,false_terminal_claim_rate,6,estimable
5000,root_family_id,0.0,0.0,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.0,terminal_claim_coverage,36,estimable
