alternative_denominator,alternative_f1,alternative_precision,alternative_recall,ambiguous_guard_rate,censored_occurrence_count,dwell_denominator,dwell_f1,dwell_precision,dwell_recall,failure_event_denominator,failure_event_f1,failure_event_precision,failure_event_recall,failure_terminal_denominator,failure_terminal_f1,failure_terminal_precision,failure_terminal_predicted_count,failure_terminal_recall,false_terminal_claim_denominator,false_terminal_claim_rate,graph_id,guard_ambiguous_count,mixed_pair_occurrence_rate,occurrence_count,progress_denominator,progress_f1,progress_precision,progress_recall,recovery_achieved_denominator,recovery_achieved_f1,recovery_achieved_precision,recovery_achieved_recall,recovery_attempt_denominator,recovery_attempt_f1,recovery_attempt_precision,recovery_attempt_recall,root_family_id,terminal_abstention_rate,terminal_actual_count,terminal_claim_count,terminal_claim_coverage,terminal_failure_denominator,terminal_failure_f1,terminal_failure_precision,terminal_failure_recall,terminal_success_denominator,terminal_success_f1,terminal_success_precision,terminal_success_recall,transition_coverage,typed_occurrence_coverage,unknown_rate
4,,,0.0,0.0,0,0,,,,0,,,,0,,,0,,0,,G0_raw_topology,0,0.0,41,8,,,0.0,0,,,,0,,,,u4b_v1_60,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.0,1.0
4,,,0.0,0.0,0,1,,,0.0,3,,,0.0,0,,0.0,4,,4,1.0,G0_raw_topology,0,0.0,73,7,,,0.0,2,,,0.0,3,,,0.0,u4b_v1_61,0.9452054794520548,3,4,0.0547945205479452,0,,,,3,,,0.0,1.0,0.0,1.0
4,,,0.0,0.0,0,0,,,,4,,,0.0,0,,0.0,4,,4,1.0,G0_raw_topology,0,0.0,56,8,,,0.0,4,,,0.0,4,,,0.0,u4b_v1_62,0.9285714285714286,4,4,0.07142857142857142,0,,,,4,,,0.0,1.0,0.0,1.0
4,,,0.0,0.0,0,0,,,,0,,,,0,,,0,,0,,G0_raw_topology,0,0.0,41,8,,,0.0,0,,,,0,,,,u4b_v1_63,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.0,1.0
0,,,,0.0,0,0,,,,0,,,,4,,,0,0.0,0,,G0_raw_topology,0,0.0,13,4,,,0.0,0,,,,0,,,,u4b_v1_64,1.0,4,0,0.0,4,,,0.0,0,,,,1.0,0.0,1.0
4,,,0.0,0.0,0,0,,,,0,,,,0,,,0,,0,,G0_raw_topology,0,0.0,61,8,,,0.0,0,,,,0,,,,u4b_v1_65,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.0,1.0
0,,,,0.0,0,0,,,,0,,,,0,,,0,,0,,G0_raw_topology,0,0.0,33,8,,,0.0,0,,,,0,,,,u4b_v1_66,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.0,1.0
0,,,,0.0,0,0,,,,2,,,0.0,0,,0.0,2,,2,1.0,G0_raw_topology,0,0.0,40,8,,,0.0,2,,,0.0,2,,,0.0,u4b_v1_67,0.95,4,2,0.05,0,,,,4,,,0.0,1.0,0.0,1.0
0,,,,0.0,0,0,,,,4,,,0.0,0,,0.0,4,,4,1.0,G0_raw_topology,0,0.0,51,8,,,0.0,4,,,0.0,4,,,0.0,u4b_v1_68,0.9215686274509803,4,4,0.0784313725490196,0,,,,4,,,0.0,1.0,0.0,1.0
0,,,,0.0,0,0,,,,0,,,,0,,,0,,0,,G0_raw_topology,0,0.0,39,8,,,0.0,0,,,,0,,,,u4b_v1_69,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.0,1.0
0,,,,0.0,0,0,,,,0,,,,4,,,0,0.0,0,,G0_raw_topology,0,0.0,29,4,,,0.0,0,,,,0,,,,u4b_v1_70,1.0,4,0,0.0,4,,,0.0,0,,,,1.0,0.0,1.0
