bootstrap_resamples,bootstrap_unit,ci_high,ci_low,comparison,effect,metric,paired_family_count,scenario,scope,status
5000,root_family_id,0.0,0.0,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.0,transition_coverage,36,,,estimable
5000,root_family_id,-0.2783871269099104,-0.3764616411613987,G3_guard_rule_multigraph_minus_G1_single_label_v2,-0.323983481275641,typed_occurrence_coverage,36,,,estimable
5000,root_family_id,0.3764616411613987,0.27838712690991035,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.3239834812756409,unknown_rate,36,,,estimable
5000,root_family_id,0.0,0.0,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.0,ambiguous_guard_rate,36,,,estimable
0,root_family_id,,,G3_guard_rule_multigraph_minus_G1_single_label_v2,,failure_event_precision,0,,,not_estimable
5000,root_family_id,0.0,0.0,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.0,failure_event_recall,12,,,estimable
0,root_family_id,,,G3_guard_rule_multigraph_minus_G1_single_label_v2,,recovery_attempt_precision,0,,,not_estimable
5000,root_family_id,-0.2916666666666667,-0.7916666666666666,G3_guard_rule_multigraph_minus_G1_single_label_v2,-0.5416666666666666,recovery_attempt_recall,12,,,estimable
0,root_family_id,,,G3_guard_rule_multigraph_minus_G1_single_label_v2,,recovery_achieved_precision,0,,,not_estimable
5000,root_family_id,0.0,0.0,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.0,recovery_achieved_recall,11,,,estimable
5000,root_family_id,0.0,0.0,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.0,failure_terminal_precision,6,,,estimable
5000,root_family_id,0.0,0.0,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.0,failure_terminal_recall,6,,,estimable
5000,root_family_id,0.0,0.0,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.0,false_terminal_claim_rate,6,,,estimable
5000,root_family_id,0.0,0.0,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.0,terminal_claim_coverage,36,,,estimable
5000,root_family_id,-0.23257575757575763,-0.34336349924585213,G3_guard_rule_multigraph_minus_G1_single_label_v2,-0.2895756204579734,typed_occurrence_coverage,6,grazing_contact,scenario,estimable
5000,root_family_id,0.34336349924585224,0.23257575757575752,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.28957562045797336,unknown_rate,6,grazing_contact,scenario,estimable
5000,root_family_id,-0.24020072704283227,-0.34450180808809944,G3_guard_rule_multigraph_minus_G1_single_label_v2,-0.2893697529560442,typed_occurrence_coverage,6,nominal_success,scenario,estimable
5000,root_family_id,0.3445018080880993,0.24020072704283227,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.2893697529560442,unknown_rate,6,nominal_success,scenario,estimable
5000,root_family_id,-0.22460755069450722,-0.303421815049722,G3_guard_rule_multigraph_minus_G1_single_label_v2,-0.2642576889290742,typed_occurrence_coverage,6,obstacle_detour,scenario,estimable
5000,root_family_id,0.3034218150497221,0.22460755069450722,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.2642576889290742,unknown_rate,6,obstacle_detour,scenario,estimable
5000,root_family_id,-0.1354223248056191,-0.2583513364679968,G3_guard_rule_multigraph_minus_G1_single_label_v2,-0.19734085621473743,typed_occurrence_coverage,6,slip_recovery,scenario,estimable
5000,root_family_id,0.2583513364679968,0.13542232480561908,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.19734085621473743,unknown_rate,6,slip_recovery,scenario,estimable
5000,root_family_id,-0.2507336267840469,-0.40482838690481965,G3_guard_rule_multigraph_minus_G1_single_label_v2,-0.32448029021933694,typed_occurrence_coverage,6,stagnation,scenario,estimable
5000,root_family_id,0.40482838690481965,0.250733626784047,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.32448029021933694,unknown_rate,6,stagnation,scenario,estimable
5000,root_family_id,-0.44871794871794873,-0.6868131868131867,G3_guard_rule_multigraph_minus_G1_single_label_v2,-0.5788766788766789,typed_occurrence_coverage,6,terminal_collision,scenario,estimable
5000,root_family_id,0.6868131868131867,0.4487179487179487,G3_guard_rule_multigraph_minus_G1_single_label_v2,0.5788766788766788,unknown_rate,6,terminal_collision,scenario,estimable
