dst_cluster_id,evaluator_semantics,family_count,occurrence_count,src_cluster_id
10,[],1,2,0
0,['alternative'],1,2,10
10,"['censored_unknown', 'dwell', 'recovery_attempt', 'terminal_failure']",11,138,10
3,['recovery_achieved'],24,105,10
4,['recovery_achieved'],1,1,10
6,['recovery_achieved'],4,9,10
2,['terminal_success'],20,154,2
10,['failure_event'],8,22,3
3,['progress'],24,248,3
4,"['alternative', 'terminal_failure']",12,43,3
6,[],13,37,3
4,[],1,2,4
2,['progress'],10,38,6
3,[],7,11,6
4,"['alternative', 'terminal_failure']",5,11,6
6,[],12,54,6
7,[],1,1,6
2,['progress'],10,39,7
7,[],10,157,7
