cluster_pair,feature_group,majority_label,validation_rows
0->0,pair_only,none,288
0->1,pair_only,recovery_achieved,25
0->10,pair_only,none,11
0->3,pair_only,none,62
0->4,pair_only,none,10
0->5,pair_only,recovery_achieved,31
0->8,pair_only,recovery_achieved,57
1->0,pair_only,failure_event,28
1->1,pair_only,none,986
1->10,pair_only,failure_event,28
1->3,pair_only,progress,1
1->4,pair_only,alternative,8
1->5,pair_only,none,39
1->6,pair_only,none,335
10->0,pair_only,recovery_attempt,85
10->1,pair_only,none,1
10->10,pair_only,none,748
10->3,pair_only,none,189
10->4,pair_only,recovery_achieved,1
10->6,pair_only,recovery_achieved,9
10->8,pair_only,none,2
2->2,pair_only,none,974
3->0,pair_only,none,60
3->1,pair_only,none,199
3->10,pair_only,failure_event,33
3->3,pair_only,none,925
3->4,pair_only,alternative,44
3->5,pair_only,progress,295
3->6,pair_only,none,37
3->8,pair_only,recovery_achieved,1
4->0,pair_only,none,11
4->3,pair_only,none,1
4->4,pair_only,none,1600
4->6,pair_only,none,4
4->7,pair_only,none,202
5->0,pair_only,failure_event,19
5->1,pair_only,none,36
5->10,pair_only,failure_event,39
5->4,pair_only,alternative,275
5->5,pair_only,none,809
5->6,pair_only,none,21
6->1,pair_only,none,152
6->2,pair_only,progress,242
6->3,pair_only,none,11
6->4,pair_only,terminal_failure,11
6->6,pair_only,none,1964
6->7,pair_only,none,5
7->2,pair_only,progress,39
7->7,pair_only,none,748
7->9,pair_only,none,206
8->1,pair_only,none,26
8->3,pair_only,none,1
8->4,pair_only,alternative,8
8->5,pair_only,none,25
8->8,pair_only,none,1
9->2,pair_only,progress,206
9->9,pair_only,none,844
0->0,current,none,288
0->1,current,recovery_achieved,25
0->10,current,none,11
0->3,current,none,62
0->4,current,none,10
0->5,current,recovery_achieved,31
0->8,current,recovery_achieved,57
1->0,current,failure_event,28
1->1,current,none,986
1->10,current,failure_event,28
1->3,current,progress,1
1->4,current,alternative,8
1->5,current,none,39
1->6,current,none,335
10->0,current,recovery_attempt,85
10->1,current,none,1
10->10,current,none,748
10->3,current,none,189
10->4,current,recovery_achieved,1
10->6,current,recovery_achieved,9
10->8,current,none,2
2->2,current,none,974
3->0,current,none,60
3->1,current,none,199
3->10,current,failure_event,33
3->3,current,none,925
3->4,current,alternative,44
3->5,current,progress,295
3->6,current,none,37
3->8,current,recovery_achieved,1
4->0,current,none,11
4->3,current,none,1
4->4,current,none,1600
4->6,current,none,4
4->7,current,none,202
5->0,current,failure_event,19
5->1,current,none,36
5->10,current,failure_event,39
5->4,current,alternative,275
5->5,current,none,809
5->6,current,none,21
6->1,current,none,152
6->2,current,progress,242
6->3,current,none,11
6->4,current,terminal_failure,11
6->6,current,none,1964
6->7,current,none,5
7->2,current,progress,39
7->7,current,none,748
7->9,current,none,206
8->1,current,none,26
8->3,current,none,1
8->4,current,alternative,8
8->5,current,none,25
8->8,current,none,1
9->2,current,progress,206
9->9,current,none,844
0->0,past8,none,288
0->1,past8,recovery_achieved,25
0->10,past8,none,11
0->3,past8,none,62
0->4,past8,none,10
0->5,past8,recovery_achieved,31
0->8,past8,recovery_achieved,57
1->0,past8,failure_event,28
1->1,past8,none,986
1->10,past8,failure_event,28
1->3,past8,progress,1
1->4,past8,alternative,8
1->5,past8,none,39
1->6,past8,none,335
10->0,past8,recovery_attempt,85
10->1,past8,none,1
10->10,past8,none,748
10->3,past8,none,189
10->4,past8,recovery_achieved,1
10->6,past8,recovery_achieved,9
10->8,past8,none,2
2->2,past8,none,974
3->0,past8,none,60
3->1,past8,none,199
3->10,past8,failure_event,33
3->3,past8,none,925
3->4,past8,alternative,44
3->5,past8,progress,295
3->6,past8,none,37
3->8,past8,recovery_achieved,1
4->0,past8,none,11
4->3,past8,none,1
4->4,past8,none,1600
4->6,past8,none,4
4->7,past8,none,202
5->0,past8,failure_event,19
5->1,past8,none,36
5->10,past8,failure_event,39
5->4,past8,alternative,275
5->5,past8,none,809
5->6,past8,none,21
6->1,past8,none,152
6->2,past8,progress,242
6->3,past8,none,11
6->4,past8,terminal_failure,11
6->6,past8,none,1964
6->7,past8,none,5
7->2,past8,progress,39
7->7,past8,none,748
7->9,past8,none,206
8->1,past8,none,26
8->3,past8,none,1
8->4,past8,alternative,8
8->5,past8,none,25
8->8,past8,none,1
9->2,past8,progress,206
9->9,past8,none,844
