case_id,root_family_id,split,view_id,source_kind,path,size_bytes,width,height,sha256
F01_A,F01,dev,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F01/F01_A_view_1.jpg,17120,640,480,cffec74079ead2f25c2635d832afa61e31dc70245fcfc2bba2ae8a5fd0e38aaa
F01_A,F01,dev,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F01/F01_A_view_2.jpg,21897,640,480,99f88230f02ba01fdfbac48c6b390d91d13671fb0adcbd4f97edf67dfb5856f2
F01_B,F01,dev,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F01/F01_B_view_1.jpg,18721,640,480,a7a7552843429b1abad3f0ee24dd01813d14cd04dbaf22766b4114c4d4978ba9
F01_B,F01,dev,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F01/F01_B_view_2.jpg,23376,640,480,547350277c4248bd3e69f2c0ef30be76b8b0b4437a5118f2db8cfc7ee4da51b0
F02_A,F02,confirm,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F02/F02_A_view_1.jpg,17213,640,480,81054c0a09ae3f8739d78dfc6d1b26f03b37279b496a5f63bbe57e543920d6d3
F02_A,F02,confirm,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F02/F02_A_view_2.jpg,21861,640,480,ef7779301adfc49ebce6230338100c32ee76081b60b708deb239a7a8dc740056
F02_B,F02,confirm,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F02/F02_B_view_1.jpg,15639,640,480,f989dab7c4b69d5596f0238d64a6c5caf9eb6545b80966b8438416e5037d8a34
F02_B,F02,confirm,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F02/F02_B_view_2.jpg,20004,640,480,86c951c0bdfec9f02ff2f22c9e55f3f80141420d8514241778dd20f8c11fd2ce
F03_A,F03,confirm,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F03/F03_A_view_1.jpg,17297,640,480,3be8507c20789fdcb7c284bbfd49942cacfb011708de4b12c4990e34e0af5009
F03_A,F03,confirm,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F03/F03_A_view_2.jpg,21674,640,480,d830619fb352621f47278ae1beab380cdc5a6b522852e223bbdf58f5317d88ec
F03_B,F03,confirm,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F03/F03_B_view_1.jpg,18242,640,480,1ddef3f646b15c3be6979be7300143d791751f987162f4e8c2fd4fb403616ed0
F03_B,F03,confirm,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F03/F03_B_view_2.jpg,23536,640,480,ac98c9921f6bfee9e8810e951e4bc2dd7b29900b6fcf8577bd03613136d8f5bd
F04_A,F04,confirm,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F04/F04_A_view_1.jpg,17362,640,480,9d29aabab064a5b8dc48e91e17d286e700c8d5a694940f69b34cedf4c3c1ec78
F04_A,F04,confirm,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F04/F04_A_view_2.jpg,21904,640,480,162cb7f4ec7119c2f42356980c363e0905297ad2ca34e0bc9076045c73499d80
F04_B,F04,confirm,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F04/F04_B_view_1.jpg,18178,640,480,9251dafa1dbb466f5c0389ae5726dcf9f23094c13d247f95a247642d25e3deda
F04_B,F04,confirm,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F04/F04_B_view_2.jpg,22530,640,480,1a45d684e5aae1313c2e8e8067252d8cc8f29fd9422d2204b897b097edce81dc
F05_A,F05,dev,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F05/F05_A_view_1.jpg,17123,640,480,5734d9be593c4c79f52e5f4c3d59fd48db00cfebabefbcf9c8efcec4ddd57778
F05_A,F05,dev,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F05/F05_A_view_2.jpg,22014,640,480,c67fcbfacccbec95c532c5227857b524ff56c9270019f4f7698082561da4f724
F05_B,F05,dev,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F05/F05_B_view_1.jpg,17905,640,480,5f0dc5c1c7393421bb74595003044bb7e038e1b65f787eac700d712570f090a9
F05_B,F05,dev,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F05/F05_B_view_2.jpg,22667,640,480,dfb94dbec171d3c10d569189af257f8aa054f00d1a4d3f7f39e1280baa16f0bd
F06_A,F06,confirm,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F06/F06_A_view_1.jpg,16927,640,480,7f236ef873b44a81a6c7b57a20d2b915dba5c51e79050bc59c8b5c79e3c3d3bc
F06_A,F06,confirm,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F06/F06_A_view_2.jpg,22109,640,480,848f8af59bc158dbaa7d91e2fb868cf4e0bb2944c1f35e6c967b7b02f11f8e03
F06_B,F06,confirm,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F06/F06_B_view_1.jpg,15550,640,480,cc44ddd43f1e9665bd7db442969e40b976cc28f956c8d5b1290d64667b4ed1d4
F06_B,F06,confirm,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F06/F06_B_view_2.jpg,20615,640,480,41e8e402a4b4593633a9ac6297ca20bc9874feaf3c3a4a781073a64ca4263041
F07_A,F07,confirm,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F07/F07_A_view_1.jpg,17207,640,480,9a1cc91f3183f3c620578d4d5625053a10d0642363ff842ffc3f4d9fd43e0c61
F07_A,F07,confirm,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F07/F07_A_view_2.jpg,22233,640,480,fa5a99f095a737f7f6837693582113ab621140f5baff4ceaeb8414673eb8b9b7
F07_B,F07,confirm,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F07/F07_B_view_1.jpg,18366,640,480,2e88fb24ca93a996427f27b394919dc5b48b0064079bdf2a0c2fc0193ede39b6
F07_B,F07,confirm,view_2,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F07/F07_B_view_2.jpg,23569,640,480,4bd9cb73c869ea1ec9463eaf3948010c642dc19b6ba2e1406f88d514c4ba74b8
F08_A,F08,confirm,view_1,simulator_rgb,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/prepared/images/F08/F08_A_view_1.jpg,17334,640,480,796bd0db24a1d762afbad4d8645c51f30658ae05e55615492d97c047044de5b7
