blind_id,request_id,case_id,root_family_id,condition,split,input_view_count,candidate_sha256
E001,confirm_F02_B_V1,F02_B,F02,V1,confirm,1,323a9b0d4cd147a5ff570d387b01c8d0063c690992fcafd795d1ee5d5873925e
E002,confirm_F10_B_V2,F10_B,F10,V2,confirm,2,b82d64473cd7d235b36782ff80468de8212a02b4c884946a7ba2944a348c0f02
E003,confirm_F07_B_V2,F07_B,F07,V2,confirm,2,356fe72555573a0d5b3128532c29d4822ab81fdddb8cc136f2fde117981c7547
E004,confirm_F12_A_V2,F12_A,F12,V2,confirm,2,2bffd720d196d8b0f1ac24fd5fc107cca8f87f640cd1bbdbd3fdbc250ac006f2
E005,confirm_F08_B_V1,F08_B,F08,V1,confirm,1,2bbb699aef4ed9bef38c2178f77c78f5bae5975495a7ca149a00ab8f3bdf4a59
E006,confirm_F03_B_T,F03_B,F03,T,confirm,0,83aa3b8e690a0120f3811462e5921c11e4ea129a16e138a7fe5428f7623a6bb6
E007,confirm_F12_A_T,F12_A,F12,T,confirm,0,c4037a0941058d870631ece71ff811684c64200046a79d1a1a3ce275cb636498
E008,confirm_F08_A_V1,F08_A,F08,V1,confirm,1,aeef684afb1dfd081a038e743ae2bcc5f163e27bbd7f6e9507d9de45712e8056
E009,confirm_F12_A_V1,F12_A,F12,V1,confirm,1,02d11e1e560e80e4ffaa06c100ee6a2af460a2e6babe97cdeb077b7e4333d104
E010,confirm_F06_B_T,F06_B,F06,T,confirm,0,f37018e094b03a7b272af923d7f339af806da5374e977b2c4cf973544ef5da0a
E011,confirm_F11_A_T,F11_A,F11,T,confirm,0,d7bb58f7a46a6ec41f40ca1eaa8bf5b3eb2c94523f1aaa39255531a1260e88c3
E012,confirm_F11_B_T,F11_B,F11,T,confirm,0,5bde82be13f340412d5730f2201a6539b24006d0acbb2b938e572ad5c2e4ef1a
E013,confirm_F06_A_V2,F06_A,F06,V2,confirm,2,a09f4b94419a8c88db36da72c8eb31ebd50017afaaefe3de6afc9f5aaabdac8f
E014,confirm_F03_B_V2,F03_B,F03,V2,confirm,2,cbf293a4e81ed47cd5cf9b15c8cbb524ca3299bd9a3944fc0456bec37aae300e
E015,confirm_F12_B_T,F12_B,F12,T,confirm,0,9c15f4e507b6d43aee726835268e043603bb04ee0c8e049d8173c98eb0b4d73e
E016,confirm_F03_A_T,F03_A,F03,T,confirm,0,cfac0ab404cdd5e329bc4a69a6fb5b1b5b78132535bead1b7d50813017726719
E017,confirm_F10_B_V1,F10_B,F10,V1,confirm,1,94d3ea09d5c89be746e4356af8f7abb550cebd24e6d2d7fe8eaa90ef26ad66d5
E018,confirm_F04_B_V2,F04_B,F04,V2,confirm,2,ddcb63680523e0dc83b2d05f344fb4ff24d212b6ffb72ba6b40ef33a3fc0df1f
E019,confirm_F02_A_V2,F02_A,F02,V2,confirm,2,8924b4034368823d14ba19fdd5a582a3432d45dd668fe83532624879c92a9842
E020,confirm_F03_A_V2,F03_A,F03,V2,confirm,2,0db527fa511702384a5556c70c77f3f5d91c1f1c73505f40764a37a27b233504
E021,confirm_F10_A_V2,F10_A,F10,V2,confirm,2,f63836107e9b685f42c116a39815c6b59c4f4c4d8bd74901c6ce6ff0632b78ff
E022,confirm_F07_B_T,F07_B,F07,T,confirm,0,4734c04335919cc9be4f31ac5236bc73805c971affa1a57b5699233d6621de0c
E023,confirm_F07_A_V1,F07_A,F07,V1,confirm,1,3c27a9ddd838457558b215205e539b90cee9d9d5202e4532377826d181cd2031
E024,confirm_F07_A_T,F07_A,F07,T,confirm,0,dbe159e94a76e55c3c82a908a2c4d51f298d7288bc89107d165e14fe86f997c3
E025,confirm_F12_B_V1,F12_B,F12,V1,confirm,1,bf437e6fe3183f3c9b8ebc26b7d61336cfb57ebb8014d181f73683f94190250b
E026,confirm_F11_A_V2,F11_A,F11,V2,confirm,2,399de9b06686be42a028f8ae0a455d41943246b091fe3035c4dba93b9d79aab8
E027,confirm_F02_B_V2,F02_B,F02,V2,confirm,2,1e4fa456017c96280a533691fd6fc16d5da136fb78a03184e7bf93457e13737f
E028,confirm_F08_B_V2,F08_B,F08,V2,confirm,2,876acea391eb7ff4c776d848a221647f2707837dde4f0808e175adf198c89b24
E029,confirm_F06_A_V1,F06_A,F06,V1,confirm,1,3b9dd9033a5eb82490e72eef5119739ecaf8826ae7b51891f7eccf746c1b0e3e
E030,confirm_F08_A_T,F08_A,F08,T,confirm,0,d1c906cd2c831d1226cd266bc319ad8c5b953f239908ef8358cef791304d9b23
E031,confirm_F02_A_V1,F02_A,F02,V1,confirm,1,065c85bedf7eb95d6ce7658be320044c80fb52836f891f5ec78f61beef19e747
E032,confirm_F11_A_V1,F11_A,F11,V1,confirm,1,ab3552e297ab53c34c022ca473506d2e92303e6e68e48460834867e00497739d
E033,confirm_F02_B_T,F02_B,F02,T,confirm,0,7f0d976e64c79f097bc502600171da03b995f8c2393aa6e5f250d73a948a988a
E034,confirm_F10_A_V1,F10_A,F10,V1,confirm,1,a77527e6c24dfbdced2c52a05f0ec035a3c775979eced2f39df53e5ff80c045c
E035,confirm_F11_B_V2,F11_B,F11,V2,confirm,2,5275bb766f6042c83fe0a3e616e6cae32aa0c12f3e1d575df3a4428964904ae4
E036,confirm_F02_A_T,F02_A,F02,T,confirm,0,b8ee53dd6b558a554723e96d15b39072d1260fe8773d680ed7e295157ddcd9d3
