blind_id,goal_correct,objects_correct,scene_specific,order_sensible,checks_observable,scene_ready,unsupported_visual_assertion,recovery_branch_conditional,review_status,reviewer,note
E001,,,,,,,,,pending,,
E002,,,,,,,,,pending,,
E003,,,,,,,,,pending,,
E004,,,,,,,,,pending,,
E005,,,,,,,,,pending,,
E006,,,,,,,,,pending,,
E007,,,,,,,,,pending,,
E008,,,,,,,,,pending,,
E009,,,,,,,,,pending,,
E010,,,,,,,,,pending,,
E011,,,,,,,,,pending,,
E012,,,,,,,,,pending,,
E013,,,,,,,,,pending,,
E014,,,,,,,,,pending,,
E015,,,,,,,,,pending,,
E016,,,,,,,,,pending,,
E017,,,,,,,,,pending,,
E018,,,,,,,,,pending,,
E019,,,,,,,,,pending,,
E020,,,,,,,,,pending,,
E021,,,,,,,,,pending,,
E022,,,,,,,,,pending,,
E023,,,,,,,,,pending,,
E024,,,,,,,,,pending,,
E025,,,,,,,,,pending,,
E026,,,,,,,,,pending,,
E027,,,,,,,,,pending,,
E028,,,,,,,,,pending,,
E029,,,,,,,,,pending,,
E030,,,,,,,,,pending,,
E031,,,,,,,,,pending,,
E032,,,,,,,,,pending,,
E033,,,,,,,,,pending,,
E034,,,,,,,,,pending,,
E035,,,,,,,,,pending,,
E036,,,,,,,,,pending,,
E037,,,,,,,,,pending,,
E038,,,,,,,,,pending,,
E039,,,,,,,,,pending,,
E040,,,,,,,,,pending,,
E041,,,,,,,,,pending,,
E042,,,,,,,,,pending,,
E043,,,,,,,,,pending,,
E044,,,,,,,,,pending,,
E045,,,,,,,,,pending,,
E046,,,,,,,,,pending,,
E047,,,,,,,,,pending,,
E048,,,,,,,,,pending,,
E049,,,,,,,,,pending,,
E050,,,,,,,,,pending,,
E051,,,,,,,,,pending,,
E052,,,,,,,,,pending,,
E053,,,,,,,,,pending,,
E054,,,,,,,,,pending,,
