request_id,condition,prompt_tokens,completion_tokens,total_tokens,latency_seconds,response_id
confirm_F02_A_T,T,1309,1428,2737,26.092521,chatcmpl-0d40e044-7f82-9ddf-92a1-60c231320049
confirm_F02_A_V1,V1,1611,1118,2729,21.094081,chatcmpl-bcabc946-046e-9912-b8e4-882cca1a91e5
confirm_F02_A_V2,V2,1913,1498,3411,27.462515,chatcmpl-81303338-a5b6-9b67-bf29-c3e305292a3b
confirm_F02_B_T,T,1309,1491,2800,26.595783,chatcmpl-950cc747-76b9-9391-8757-f8153d99b454
confirm_F02_B_V1,V1,1611,1708,3319,30.8115,chatcmpl-d61f355c-816b-9db5-a3e9-20ef6fa44746
confirm_F02_B_V2,V2,1913,1244,3157,23.629606,chatcmpl-9bda0908-decf-9af3-aa7c-e49aad5d123f
confirm_F03_A_T,T,1309,1479,2788,26.818476,chatcmpl-c8bb5864-eb28-9bbb-91a5-be9604dc4c7c
confirm_F03_A_V1,V1,1611,1290,2901,23.628028,chatcmpl-67567774-4e42-9814-8920-c8c84ea82c9e
confirm_F03_A_V2,V2,1913,1686,3599,31.35393,chatcmpl-e8391d87-dcfe-901a-a779-583aaf1dcc3c
confirm_F03_B_T,T,1309,1608,2917,29.608566,chatcmpl-4369bfa5-df23-9951-9190-44ad2e6253cd
confirm_F03_B_V1,V1,1611,1613,3224,29.773202,chatcmpl-793465d5-273b-90aa-b6b5-c42923382a3d
confirm_F03_B_V2,V2,1913,1755,3668,31.563572,chatcmpl-909f3527-7f17-922c-adde-b13724a312a1
confirm_F04_A_T,T,1309,1546,2855,28.276028,chatcmpl-64b92b88-a5f6-9e46-9baf-1c166457722a
confirm_F04_A_V1,V1,1611,1494,3105,27.054296,chatcmpl-a769de29-0e8a-9013-8166-970aef9329d0
confirm_F04_A_V2,V2,1913,1123,3036,21.446134,chatcmpl-d46b28d8-3a9d-9ccc-aa9b-2d02b2860c3c
confirm_F04_B_T,T,1309,1468,2777,26.267026,chatcmpl-c3406dfd-bbd6-9ac2-abd3-7f045a0de7fd
confirm_F04_B_V1,V1,1611,1402,3013,25.601683,chatcmpl-c809a980-d41f-97ed-9b1e-f118f8b70529
confirm_F04_B_V2,V2,1913,1439,3352,26.264594,chatcmpl-865d7877-459c-9699-b4ca-66b26b2adb5b
confirm_F06_A_T,T,1307,1560,2867,28.095698,chatcmpl-32e6cc2b-76bf-9575-b8dd-a0247d53bcae
confirm_F06_A_V1,V1,1609,1164,2773,21.086854,chatcmpl-85caf2a8-fb01-9ab7-bd28-338e1fdd4fc0
confirm_F06_A_V2,V2,1911,1156,3067,22.018036,chatcmpl-ef3fe357-c373-9c76-83d5-dfb6a94cc01d
confirm_F06_B_T,T,1307,1566,2873,28.090065,chatcmpl-ae5a8127-c5f3-9dd1-8f43-d2949d495604
confirm_F06_B_V1,V1,1609,1432,3041,27.128713,chatcmpl-20401377-ea34-96af-8f71-8bb1dddbea2e
confirm_F06_B_V2,V2,1911,1500,3411,27.066678,chatcmpl-07ff67b6-14f6-9aea-8c8f-7b2405ce52fd
confirm_F07_A_T,T,1307,1462,2769,26.990762,chatcmpl-314d8ed4-d023-9fcc-b61d-ad281bbb8ff8
confirm_F07_A_V1,V1,1609,1166,2775,21.864966,chatcmpl-ee4be358-6b7c-9b7f-83c9-ea22e061fb33
confirm_F07_A_V2,V2,1911,1207,3118,22.151492,chatcmpl-9d46727d-bdc2-9e2d-9ec6-1184ceb40443
confirm_F07_B_T,T,1307,1642,2949,29.565292,chatcmpl-490f23ca-942e-9c29-a245-51cfcb48dee1
confirm_F07_B_V1,V1,1609,1194,2803,21.979134,chatcmpl-81699111-0c8d-996c-a1cd-13d4c8b3b0d1
confirm_F07_B_V2,V2,1911,1664,3575,30.421345,chatcmpl-e41f4414-560f-9065-9ff7-a7133e977c83
confirm_F08_A_T,T,1307,1564,2871,28.455462,chatcmpl-c31b9f6b-0b5a-9e4e-9243-3feb35488a31
confirm_F08_A_V1,V1,1609,1261,2870,23.079679,chatcmpl-37cae7a6-5c55-99f1-be45-86eedc7ada01
confirm_F08_A_V2,V2,1911,1196,3107,21.774688,chatcmpl-6d808d21-be12-9117-bfc0-9e7d19feb317
confirm_F08_B_T,T,1307,1631,2938,28.888699,chatcmpl-20b07390-f514-9355-b874-ef5d9fea3733
confirm_F08_B_V1,V1,1609,1539,3148,27.239332,chatcmpl-fc360e92-d157-99ad-be15-86f61dddc2f5
confirm_F08_B_V2,V2,1911,1408,3319,25.759813,chatcmpl-d1181a39-0a54-9da0-8ba1-1809c612bd93
confirm_F10_A_T,T,1309,1289,2598,23.530271,chatcmpl-9dcfae3b-bb54-9d21-8a36-f92761adc374
confirm_F10_A_V1,V1,1611,1235,2846,22.610311,chatcmpl-8899443e-c414-971a-8ca5-e11858a20078
confirm_F10_A_V2,V2,1913,1154,3067,21.583128,chatcmpl-ca95c9c9-b709-9e46-9fa5-32b5aa3896d8
confirm_F10_B_T,T,1309,1396,2705,25.237182,chatcmpl-18a0a527-bdd5-9e8b-89df-e9cd3a047c7f
confirm_F10_B_V1,V1,1611,1308,2919,24.586119,chatcmpl-b050620d-1d38-99d5-897a-95ae9b6a916e
confirm_F10_B_V2,V2,1913,1287,3200,23.478171,chatcmpl-1c2f9fed-ca5a-9828-93a8-e4979cd41185
confirm_F11_A_T,T,1309,1495,2804,26.516189,chatcmpl-78c02760-c198-9204-9edd-ba2e7312d169
confirm_F11_A_V1,V1,1611,1177,2788,21.761694,chatcmpl-0cecdd64-1a69-954a-8356-a53bcf4ce24c
confirm_F11_A_V2,V2,1913,1349,3262,25.165862,chatcmpl-1f80132f-195c-96b1-ae03-34a441a665c9
confirm_F11_B_T,T,1309,1578,2887,27.763903,chatcmpl-6396012b-7a30-97c4-a8f3-308d8e781481
confirm_F11_B_V1,V1,1611,1372,2983,25.348626,chatcmpl-74c0ec09-8e76-94f8-b763-3a39e70302b4
confirm_F11_B_V2,V2,1913,1590,3503,28.740352,chatcmpl-c2b2469c-84dd-911a-8c8c-8ec9c13bfaf2
confirm_F12_A_T,T,1309,1673,2982,30.328924,chatcmpl-b230d800-6c9b-9509-8134-73e5856961fd
confirm_F12_A_V1,V1,1611,1191,2802,21.754939,chatcmpl-3e4e024f-2556-9bbf-bc46-3e7f503a41e5
confirm_F12_A_V2,V2,1913,1429,3342,26.029146,chatcmpl-a87e2c7b-a371-93a0-991c-f670823937c9
confirm_F12_B_T,T,1309,1866,3175,33.16305,chatcmpl-84fa6cb3-ca06-9736-a713-ff8556afd7db
confirm_F12_B_V1,V1,1611,1610,3221,29.12076,chatcmpl-30c7cc85-c685-9068-99ce-66c70369250f
confirm_F12_B_V2,V2,1913,1727,3640,31.24354,chatcmpl-987fa3a8-5b9f-923b-9cef-789d71e7541c
