rollout_id,root_family_id,split,scenario,rollout_seed,path,active_object,frames,front_frames,side_frames,termination_type,final_goal_stable,missed_grasp,contact_loss,recovery_attempt,recovery_achieved,target_blocked,ambiguous_or_occluded
L2C_00_00_220799_r00,L2C_00_00_220799,fresh_confirmation,normal_pick_place,2290000,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_00_220799/rollout_00,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_00_00_220799_r01,L2C_00_00_220799,fresh_confirmation,normal_pick_place,2290001,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_00_220799/rollout_01,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_00_00_220799_r02,L2C_00_00_220799,fresh_confirmation,normal_pick_place,2290002,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_00_220799/rollout_02,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_00_00_220799_r03,L2C_00_00_220799,fresh_confirmation,normal_pick_place,2290003,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_00_220799/rollout_03,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_00_01_220799_r00,L2C_00_01_220799,fresh_confirmation,normal_pick_place,2290100,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_01_220799/rollout_00,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_00_01_220799_r01,L2C_00_01_220799,fresh_confirmation,normal_pick_place,2290101,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_01_220799/rollout_01,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_00_01_220799_r02,L2C_00_01_220799,fresh_confirmation,normal_pick_place,2290102,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_01_220799/rollout_02,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_00_01_220799_r03,L2C_00_01_220799,fresh_confirmation,normal_pick_place,2290103,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_01_220799/rollout_03,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_00_02_220799_r00,L2C_00_02_220799,fresh_confirmation,normal_pick_place,2290200,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_02_220799/rollout_00,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
L2C_00_02_220799_r01,L2C_00_02_220799,fresh_confirmation,normal_pick_place,2290201,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_02_220799/rollout_01,True,13,13,13,goal_terminal,True,False,False,False,False,False,False
