rollout_id	root_family_id	scenario	path	size_bytes	purpose	recovery_method
L2C_00_00_220799_r00	L2C_00_00_220799	normal_pick_place	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_00_220799/rollout_00	102754	fresh dynamic rollout; raw payload externalized	rerun the sealed family and rollout seeds only in a new protocol; this confirmation remains one-shot
L2C_00_00_220799_r01	L2C_00_00_220799	normal_pick_place	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_00_220799/rollout_01	102754	fresh dynamic rollout; raw payload externalized	rerun the sealed family and rollout seeds only in a new protocol; this confirmation remains one-shot
L2C_00_00_220799_r02	L2C_00_00_220799	normal_pick_place	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_00_220799/rollout_02	102754	fresh dynamic rollout; raw payload externalized	rerun the sealed family and rollout seeds only in a new protocol; this confirmation remains one-shot
L2C_00_00_220799_r03	L2C_00_00_220799	normal_pick_place	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_00_220799/rollout_03	102754	fresh dynamic rollout; raw payload externalized	rerun the sealed family and rollout seeds only in a new protocol; this confirmation remains one-shot
L2C_00_01_220799_r00	L2C_00_01_220799	normal_pick_place	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_01_220799/rollout_00	102601	fresh dynamic rollout; raw payload externalized	rerun the sealed family and rollout seeds only in a new protocol; this confirmation remains one-shot
L2C_00_01_220799_r01	L2C_00_01_220799	normal_pick_place	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_01_220799/rollout_01	102601	fresh dynamic rollout; raw payload externalized	rerun the sealed family and rollout seeds only in a new protocol; this confirmation remains one-shot
L2C_00_01_220799_r02	L2C_00_01_220799	normal_pick_place	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_01_220799/rollout_02	102601	fresh dynamic rollout; raw payload externalized	rerun the sealed family and rollout seeds only in a new protocol; this confirmation remains one-shot
L2C_00_01_220799_r03	L2C_00_01_220799	normal_pick_place	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_01_220799/rollout_03	102601	fresh dynamic rollout; raw payload externalized	rerun the sealed family and rollout seeds only in a new protocol; this confirmation remains one-shot
L2C_00_02_220799_r00	L2C_00_02_220799	normal_pick_place	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_02_220799/rollout_00	103615	fresh dynamic rollout; raw payload externalized	rerun the sealed family and rollout seeds only in a new protocol; this confirmation remains one-shot
L2C_00_02_220799_r01	L2C_00_02_220799	normal_pick_place	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/fresh_confirmation_v1/data/L2C_00_02_220799/rollout_01	103615	fresh dynamic rollout; raw payload externalized	rerun the sealed family and rollout seeds only in a new protocol; this confirmation remains one-shot
